"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name"
"66",86388,1,327,"mei","7",0,6,0,0,0,2.75,"ale","Alê","Alê","Alexandre Egea","https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png","América-MG"
"67",85300,1,327,"ata","5",0,3,0,0,0,1.41,"berrio","Berrío ","Berrío ","Orlando Enrique Berrío Meléndez","https://s.glbimg.com/es/sde/f/2021/07/15/7297312d93a89be46c96c93414cfdf94_FORMATO.png","América-MG"
"68",90264,1,327,"ata","6",0,5,0,0,0,2.3,"rodolfo","Rodolfo","Rodolfo","Rodolfo José da Silva Bardella","https://s.glbimg.com/es/sde/f/2021/06/04/7a6c7a20ebefb1d7e3fc2038c8e83e0c_FORMATO.png","América-MG"
"69",71631,1,275,"gol","7",0,17,0,0,0,7.65,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras"
"70",69012,1,262,"gol","2",0,11,0,0,0,4.98,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/01/2fd2f63bbb9898c81a8c533681d2fe20_FORMATO.png","Flamengo"
"71",95662,1,327,"mei","7",0,5,0,0,0,2.3,"lucas-kal","Lucas Kal","L. Kal","Lucas Kal Schenfeld Progioli","https://s.glbimg.com/es/sde/f/2022/02/24/38a9d99d34c06f3714df211deaf2bd0f_FORMATO.png","América-MG"
"72",93886,1,327,"mei","6",0,4,0,0,0,1.85,"matheusinho","Matheusinho","Matheusinho","Matheus Leonardo Sales Cardoso","https://s.glbimg.com/es/sde/f/2022/02/24/d160f8f8c1464cbcc27b4195e6255175_FORMATO.png","América-MG"
"73",88423,1,280,"lat","2",0,9,0,0,0,4.08,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/02/21/f7330d78d35bfcae393cdc94fda2c5d3_FORMATO.png","Bragantino"
"74",82453,1,290,"gol","7",0,5,0,0,0,2.3,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás"
"75",90061,1,354,"lat","7",0,7,0,0,0,3.19,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará"
"76",90285,1,262,"ata","7",0,16,0,0,0,7.2,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/03/03/5197ca4684cd0d15e482bc6dd94b53f5_FORMATO.png","Flamengo"
"77",42500,1,264,"lat","6",0,12,0,0,0,5.42,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2021/08/06/1dbfc9287c7d5ed6dcd220b9228fc055_FORMATO.png","Corinthians"
"78",70986,1,293,"mei","5",0,6,0,0,0,2.75,"leo-cittadini","Léo Cittadini","L. Cittadini","Leonardo Cittadini","https://s.glbimg.com/es/sde/f/2021/05/02/a520539e5df2a4364ad4c1b0050888cc_FORMATO.png","Athlético-PR"
