Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
28,83433,Patrick,290,4,2,0.0,4.43,11.04,0.0,True,266,290,26/09/2015,29.0,28.0,NA,NA,1.0,5.0,NA,NA,NA,64.0,29.0,NA,6.0,NA,NA,NA,NA,NA
28,52190,Ralf,264,4,7,0.2,1.93,10.86,-0.6,True,316,264,27/09/2015,13.0,26.0,NA,NA,1.0,NA,1.0,NA,NA,29.0,21.0,NA,4.0,NA,NA,NA,NA,NA
28,80583,Lucas Lima,277,4,7,0.8,4.08,10.84,-2.15,False,277,285,27/09/2015,58.0,120.0,6.0,NA,4.0,3.0,3.0,NA,NA,32.0,28.0,NA,4.0,NA,NA,NA,NA,NA
28,82499,Christiano ,267,2,6,0.0,3.24,10.84,0.0,True,262,267,27/09/2015,20.0,49.0,NA,1.0,5.0,12.0,NA,4.0,NA,26.0,20.0,NA,3.0,1.0,5.0,NA,NA,NA
28,36540,Juan,285,3,6,0.0,2.03,10.83,0.0,True,277,285,27/09/2015,3.0,10.0,NA,NA,2.0,3.0,NA,1.0,NA,3.0,6.0,NA,1.0,NA,2.0,NA,NA,NA
28,50427,Kadu,293,3,7,-4.0,2.69,10.83,-0.69,False,293,303,27/09/2015,9.0,48.0,1.0,1.0,NA,6.0,1.0,2.0,NA,25.0,37.0,NA,7.0,NA,9.0,NA,NA,NA
28,68744,Emerson,262,5,2,0.0,3.85,10.77,0.0,False,262,267,27/09/2015,57.0,65.0,1.0,2.0,6.0,17.0,4.0,4.0,NA,14.0,27.0,NA,5.0,NA,NA,NA,NA,NA
28,50317,David Braz,277,3,3,-1.2,3.77,10.77,-2.15,False,277,285,27/09/2015,11.0,88.0,1.0,NA,NA,5.0,2.0,2.0,NA,38.0,14.0,NA,5.0,2.0,10.0,NA,NA,NA
28,73580,Falcão,292,6,7,0.0,0.0,10.68,0.0,False,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,36940,Oswaldo De Oliveira,262,6,7,1.24,3.54,10.67,0.18,False,262,267,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,69705,Nikão,293,4,5,0.9,3.09,10.65,-0.34,False,293,303,27/09/2015,29.0,63.0,4.0,1.0,5.0,3.0,4.0,4.0,NA,28.0,35.0,NA,6.0,NA,NA,NA,NA,NA
28,68821,Rafael Galhardo,284,2,7,0.0,4.32,10.55,0.0,False,284,314,26/09/2015,31.0,95.0,1.0,2.0,8.0,11.0,2.0,4.0,NA,27.0,25.0,NA,6.0,NA,9.0,NA,NA,NA
28,72204,Diego Oliveira,303,5,7,0.8,1.79,10.49,0.66,True,293,303,27/09/2015,29.0,37.0,NA,1.0,8.0,15.0,2.0,2.0,NA,13.0,21.0,NA,3.0,1.0,NA,NA,NA,NA
28,37187,Pc Gusmão,317,6,7,1.01,3.41,10.46,-0.16,False,317,282,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,69018,Deivid,293,4,2,-0.5,3.17,10.45,-0.65,False,293,303,27/09/2015,10.0,17.0,NA,NA,NA,3.0,NA,NA,NA,18.0,8.0,NA,NA,NA,NA,NA,NA,NA
