,atletas.preco_num,atletas.foto,atletas.posicao_id,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.pontos_num,atletas.status_id,atletas.clube_id,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.rodada_id,atletas.nome,atletas.slug,atletas.minimo_para_valorizar,atletas.atleta_id,CA,DS,FC,FD,FF,FS,PI,SG,A,G,DE,DP,GS,GC,PC,FT,I,CV,PP,PS
64,11.11,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,4,5.87,Eduardo,Eduardo,19.4,7,263,4.05,Botafogo,7,25,Carlos Eduardo de Oliveira Alves,eduardo,,68708,2.0,12.0,9.0,1.0,7.0,11.0,29.0,,,2.0,,,,,,2.0,,,,
65,5.4,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,2,3.0,Dodô,Dodô,0.0,6,282,0.0,Atlético-MG,2,25,José Rodolfo Pires Ribeiro,dodo,,68727,,4.0,,1.0,,1.0,5.0,,,,,,,,,,,,,
66,3.62,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,4,1.66,Camacho,Camacho,0.0,7,277,0.0,Santos,14,25,Guilherme de Aguiar Camacho,camacho,,68770,3.0,26.0,17.0,1.0,,4.0,32.0,,,,,,,,,,,,,
67,4.0,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,5,3.06,H. Almeida,Henrique Almeida,1.6,7,327,-0.39,América-MG,18,25,Henrique Almeida Caixeta Nascentes,henrique-almeida,,68773,4.0,12.0,20.0,12.0,9.0,7.0,47.0,,,4.0,,,,,,1.0,7.0,,1.0,
68,6.37,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,2,2.52,N. Paraíba,Nino Paraíba,4.0,7,354,-0.26,Ceará,20,25,Severino do Ramo Clementino da Silva,nino-paraiba,,68808,7.0,31.0,19.0,,3.0,17.0,179.0,5.0,,1.0,,,,,,,1.0,,,
69,2.04,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,3,1.04,P. Miranda,Paulo Miranda,0.0,6,286,0.0,Juventude,12,25,Jonathan Doin,paulo-miranda,,68817,3.0,12.0,11.0,2.0,2.0,5.0,42.0,1.0,,,,,,,3.0,,,,,
70,3.8,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,3,3.1,R. Chaves,Renato Chaves,3.1,7,286,-0.2,Juventude,1,25,Renato de Araújo Chaves Júnior,renato-chaves,,68827,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,
71,6.57,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,1,9.25,M. Lomba,Marcelo Lomba,0.0,6,275,0.0,Palmeiras,2,25,Marcelo Lomba do Nascimento,marcelo-lomba,,68872,1.0,,,,,1.0,,2.0,,,9.0,,,,,,,,,
72,4.68,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,5,2.45,Vinicius,Vinicius,1.5,7,290,-0.23,Goiás,16,25,Vinicius Santos Silva,vinicius,,68917,,18.0,10.0,4.0,9.0,11.0,113.0,,3.0,,,,,,,,5.0,,,
73,12.02,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,5,4.75,Dudu,Dudu,1.4,7,275,-0.34,Palmeiras,24,25,Eduardo Pereira Rodrigues,dudu,,68920,1.0,18.0,9.0,12.0,14.0,43.0,165.0,,5.0,4.0,,,,,,3.0,4.0,,,
74,8.09,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,3,4.63,Gil,Gil,4.5,7,264,-0.54,Corinthians,15,25,Carlos Gilberto do Nascimento Silva,gil,,68923,1.0,24.0,6.0,5.0,1.0,5.0,57.0,7.0,1.0,,,,,,,,2.0,,,
75,5.0,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,1,0.0,Rafael,Rafael,0.0,6,282,0.0,Atlético-MG,0,25,Rafael Pires Monteiro,rafael,,68928,,,,,,,,,,,,,,,,,,,,
76,5.96,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,3,2.44,L. Castán,Luciano Castán,1.1,7,294,-0.43,Coritiba,22,25,Luciano Castán da Silva,luciano-castan,,68942,3.0,31.0,16.0,,6.0,14.0,124.0,4.0,,1.0,,,,,,,1.0,1.0,,
77,7.44,https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png,5,5.5,Marinho,Marinho,1.8,7,262,-0.23,Flamengo,14,25,Mário Sérgio Santos Costa,marinho,,68952,4.0,11.0,14.0,5.0,14.0,39.0,59.0,,4.0,2.0,,,,,,1.0,,,,1.0
