,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.nome,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.preco_num,atletas.media_num,atletas.rodada_id,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,PC,PI,I,CV,FT,G,PP,PS,GC,DP
44,33,3.92,60825,327,7,Felipe Azevedo dos Santos,5,Felipe Azevedo,felipe-azevedo,3.6,América-MG,6.56,2.53,35,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,F. Azevedo,0.62,,28.0,28.0,,,1.0,1.0,31.0,13.0,20.0,,195.0,3.0,1.0,,4.0,,,,
45,15,2.81,60852,1371,5,Uendel Pereira Gonçalves,2,Uendel,uendel,0.0,Cuiabá,4.29,1.76,35,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel,0.0,,14.0,7.0,,3.0,1.0,,10.0,1.0,4.0,,152.0,,,,,,,,
46,28,-0.71,60969,327,7,Patric Cabral Lalau,2,Patric,patric,0.0,América-MG,5.42,1.85,35,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,Patric,0.0,,34.0,20.0,,6.0,,6.0,28.0,5.0,5.0,,239.0,4.0,,,,,,,
47,31,0.83,61033,1371,6,Rodrigo Eduardo Costa Marinho,4,Rodriguinho,rodriguinho,0.0,Cuiabá,6.04,2.31,35,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,Rodriguinho,0.04,,12.0,23.0,,,2.0,,15.0,11.0,16.0,,93.0,6.0,,,3.0,,,,
48,17,2.83,62104,294,6,Róbson Michael Signorini,4,Robinho,robinho,2.6,Coritiba,3.36,1.29,35,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,Robinho,0.56,,16.0,12.0,,,2.0,2.0,12.0,1.0,3.0,,121.0,2.0,,,,,1.0,,
49,16,0.45,62114,285,6,Taison Barcellos Freda,4,Taison,taison,0.0,Internacional,3.62,1.43,35,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,Taison,0.0,,10.0,18.0,,,1.0,6.0,6.0,4.0,5.0,,38.0,2.0,,,,,,,
50,11,-0.01,62129,266,6,Wellington Aparecido Martins,4,Wellington,wellington,0.0,Fluminense,2.46,0.58,35,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,Wellington,0.0,,7.0,5.0,,,1.0,2.0,9.0,,,,47.0,,,,,,,,
51,13,0.24,62130,286,6,William Matheus da Silva,2,William Matheus,william-matheus,0.0,Juventude,1.69,0.8,35,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,W. Matheus,0.0,,9.0,6.0,,2.0,,4.0,10.0,2.0,4.0,2.0,80.0,,1.0,,,,,,
52,1,0.64,62969,266,6,Alan Douglas Borges de Carvalho,5,Alan,alan,0.0,Fluminense,6.03,0.0,35,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,Alan,0.0,,,,,,,,,,,,,,,,,,,,
53,30,1.22,62977,266,7,Paulo Henrique Chagas de Lima,4,Ganso,ganso,0.0,Fluminense,6.99,3.33,35,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,Ganso,0.0,,30.0,42.0,,,4.0,5.0,24.0,3.0,6.0,,203.0,,,2.0,5.0,,1.0,,
