,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
36,Goiás,5,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,4,apodi,51042,13,2.41,5.51,Apodi,Apodi,2.39,27,0.0,0.0,Luiz Diallison de Souza Alves,290,,12.0,14.0,,,1.0,1.0,17.0,2.0,3.0,,27.0,,1.0,1.0,,,,1.0,
37,Cuiabá,5,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,1,walter,51413,23,3.92,11.76,Walter,Walter,5.35,27,0.0,0.0,Walter Leandro Capeloza Artune,1371,76.0,3.0,3.0,21.0,6.0,,,,,,,,,,,,,,,
38,Corinthians,6,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,4,giuliano,51548,21,1.71,5.4,Giuliano,Giuliano,3.63,27,-0.26,3.1,Giuliano Victor de Paula,264,,19.0,11.0,,,2.0,2.0,13.0,2.0,9.0,,59.0,,,2.0,,,,,
39,Flamengo,6,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,4,everton-ribeiro,51772,25,4.06,9.37,E. Ribeiro,Everton Ribeiro,6.35,27,0.77,5.5,Everton Augusto de Barros Ribeiro,262,,35.0,51.0,,,4.0,,24.0,8.0,4.0,,136.0,2.0,2.0,1.0,,,,,
40,Atlético-MG,6,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,3,rever,52253,10,2.82,5.14,Réver,Réver,4.2,27,0.0,0.0,Réver Humberto Alves Araújo,282,,8.0,4.0,,3.0,,1.0,6.0,,1.0,,34.0,,1.0,,,,1.0,,
41,Flamengo,7,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,3,david-luiz,52827,14,1.32,4.32,D. Luiz,David Luiz,1.19,27,-0.04,0.4,David Luiz Moreira Marinho,262,,11.0,4.0,,2.0,,3.0,20.0,5.0,2.0,,51.0,,,2.0,,,,,
42,Coritiba,5,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,5,leo-gamalho,53865,18,4.78,12.65,L. Gamalho,Léo Gamalho,6.49,27,0.0,0.0,Leonardo Gamalho de Souza,294,,6.0,26.0,,,,,16.0,8.0,8.0,,49.0,1.0,7.0,5.0,,,,1.0,
43,Atlético-GO,7,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,1,renan,60795,7,4.43,3.92,Renan,Renan,1.55,27,-0.05,1.0,Renan dos Santos,373,36.0,,2.0,10.0,1.0,,1.0,,,,,,,,,,,,,
44,América-MG,2,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,5,felipe-azevedo,60825,26,2.14,6.29,F. Azevedo,Felipe Azevedo,3.94,27,0.16,3.3,Felipe Azevedo dos Santos,327,,22.0,20.0,,,,1.0,26.0,9.0,14.0,,150.0,,3.0,2.0,1.0,,,,
45,Cuiabá,5,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,2,uendel,60852,15,1.76,4.29,Uendel,Uendel,2.81,27,0.0,0.0,Uendel Pereira Gonçalves,1371,,14.0,7.0,,3.0,1.0,,10.0,1.0,4.0,,152.0,,,,,,,,
