"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FF","FS","PI","SG","I","CV","FD","FT","PC","G","PP","GC","DE","GS","PS","DP"
"34",91688,16,314,"mei","7",0.8,4.61,-1.02,2.41,15,NA,"eduardo","Eduardo","Eduardo","Eduardo Jacinto de Biasi","https://s.glbimg.com/es/sde/f/2022/02/23/858c6708a8a4e0b1858d4429bdf68d77_FORMATO.png","Avaí",1,3,15,25,8,21,60,NA,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"35",79631,16,266,"ata","7",15.7,15.12,0.24,6.86,16,NA,"cano","Cano","Cano","Germán Ezequiel Cano","https://s.glbimg.com/es/sde/f/2022/04/20/5bb8f223990a3b79975f90d376fb341a_FORMATO.png","Fluminense",1,NA,2,11,13,5,54,NA,10,NA,16,NA,NA,10,NA,NA,NA,NA,NA,NA
"36",95556,16,314,"mei","7",0.6,8.7,-0.41,3.33,15,NA,"raniele","Raniele","Raniele","Raniele Almeida Melo","https://s.glbimg.com/es/sde/f/2022/02/24/141b440d404a99f92d79a5e2f9d83c83_FORMATO.png","Avaí",NA,5,29,18,4,36,106,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,NA
"37",68808,16,354,"lat","7",0,5.56,0,2.47,13,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,5,14,14,1,13,107,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"38",90302,16,293,"ata","6",0,2.77,0,1.38,6,NA,"pedro-rocha","Pedro Rocha","P. Rocha","Pedro Rocha Neves","https://s.glbimg.com/es/sde/f/2022/02/21/bca4738ad3069733d0bb2f1c649401a9_FORMATO.png","Athlético-PR",1,NA,2,1,1,4,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",102130,16,275,"lat","7",6.5,8.38,0.47,6.19,10,NA,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",1,2,26,8,5,11,70,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"40",87863,16,262,"mei","7",0,17.81,0,8.06,11,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo",4,NA,26,4,9,32,121,NA,2,NA,4,2,NA,2,NA,NA,NA,NA,1,NA
"41",42234,16,264,"gol","7",9,12.64,1.48,5.73,14,NA,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,49,10,NA,NA
"42",63289,16,285,"mei","7",1.8,10.49,-1.26,4.11,12,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",1,3,15,9,9,11,74,NA,1,NA,4,2,NA,2,NA,NA,NA,NA,NA,NA
"43",93882,16,280,"gol","7",8,10.15,1.22,3.53,15,NA,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA,2,NA,NA,NA,6,NA,4,NA,NA,NA,NA,1,NA,NA,NA,52,19,NA,NA
"44",96468,16,285,"gol","7",13.7,9.22,2.17,3.83,14,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,2,1,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,47,14,NA,NA
"45",88916,16,373,"gol","6",0,5.03,0,2.25,2,NA,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA
"46",110909,16,280,"lat","6",0,2,0,2.3,2,NA,"guilherme","Guilherme","Guilherme","Guilherme Lopes de Almeida","https://s.glbimg.com/es/sde/f/2022/05/05/c4a6b00325dcd78ae592203ed116a738_FORMATO.png","Bragantino",NA,NA,3,2,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",37656,16,266,"gol","7",5.5,11.17,-0.26,4.6,16,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,1,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,54,15,NA,NA
"48",86227,16,314,"ata","6",0,10.49,0,3.18,14,NA,"morato","Morato","Morato","Andrew Erik Feitosa","https://s.glbimg.com/es/sde/f/2022/02/24/ee2dbbc844a7911e1c875b38e698c974_FORMATO.png","Avaí",1,NA,12,17,7,19,36,NA,3,1,5,NA,NA,2,NA,NA,NA,NA,NA,NA
