,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
45,5,2.75,Uendel Pereira Gonçalves,Cuiabá,26,15,Uendel,2,Uendel,4.29,uendel,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,60852,0.0,1371,0.0,1.76,1.0,,,14.0,10.0,1.0,4.0,7.0,,,,,152.0,3.0,,,,,,
46,6,5.8,Jael Ferreira Vieira,Ceará,26,0,Jael,5,Jael,6.0,jael,https://s.glbimg.com/es/sde/f/2022/02/22/7d9b7c475629a1800313155c896a0e49_FORMATO.png,60859,0.0,354,0.0,0.0,,,,,,,,,,,,,,,,,,,,
47,6,0.89,Patric Cabral Lalau,América-MG,26,22,Patric,2,Patric,5.84,patric,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,60969,0.0,327,0.0,2.06,,4.0,,32.0,24.0,5.0,5.0,19.0,,,4.0,,207.0,4.0,,,,,,
48,6,0.79,Rodrigo Eduardo Costa Marinho,Cuiabá,26,23,Rodriguinho,4,Rodriguinho,5.87,rodriguinho,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,61033,0.0,1371,0.0,2.07,,,,8.0,12.0,9.0,14.0,21.0,,2.0,6.0,,66.0,,,,,,,
49,7,2.79,Róbson Michael Signorini,Coritiba,26,14,Robinho,4,Robinho,3.36,robinho,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,62104,3.0,294,0.19,1.19,2.0,1.0,,11.0,8.0,,2.0,10.0,,,1.0,,98.0,,,,,,,
50,6,0.7,Taison Barcellos Freda,Internacional,26,12,Taison,4,Taison,3.88,taison,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,62114,0.2,285,-0.34,1.79,1.0,5.0,,9.0,6.0,4.0,5.0,14.0,,,2.0,,31.0,,,,,,,
51,6,-0.08,Wellington Aparecido Martins,Fluminense,26,11,Wellington,4,Wellington,2.46,wellington,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,62129,0.0,266,0.0,0.58,1.0,2.0,,7.0,9.0,,,5.0,,,,,47.0,,,,,,,
52,6,0.79,William Matheus da Silva,Juventude,26,12,W. Matheus,2,William Matheus,1.89,william-matheus,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,62130,0.0,286,0.0,0.87,,4.0,1.0,9.0,10.0,2.0,4.0,6.0,,,,2.0,80.0,2.0,,,,,,
53,6,7.62,Alan Douglas Borges de Carvalho,Fluminense,26,0,Alan,5,Alan,8.0,alan,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,62969,0.0,266,0.0,0.0,,,,,,,,,,,,,,,,,,,,
54,7,6.96,Paulo Henrique Chagas de Lima,Fluminense,26,22,Ganso,4,Ganso,8.01,ganso,https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,62977,7.3,266,1.07,3.59,4.0,4.0,,25.0,14.0,3.0,5.0,32.0,2.0,3.0,,,161.0,,,,,,,
