"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PP","PS","SG","CV","DE","GS","GC","PC","DP"
"61",94916,18,282,"mei","7",0,11.91,0,5.11,14,NA,"nacho-fernandez","Nacho Fernández","N. Fernández","Ignacio Martín Fernández","https://s.glbimg.com/es/sde/f/2022/07/15/9a4d6e70d0bbfa73459213e99792af33_FORMATO.png","Atlético-MG",3,3,23,8,8,10,27,NA,2,1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",85315,18,264,"mei","2",6.3,6.19,0.62,2.52,12,NA,"cantillo","Cantillo","Cantillo","Víctor Danilo Cantillo Jiménez","https://s.glbimg.com/es/sde/f/2022/04/27/c87878b94e3c0c01f4d753ca9ee6fa0c_FORMATO.png","Corinthians",NA,NA,22,4,NA,1,18,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",71162,18,354,"mei","7",0,6.02,0,2.8,12,NA,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",1,1,5,5,6,12,16,2,1,4,104,NA,NA,NA,1,NA,NA,NA,NA,NA
"64",79113,18,263,"zag","5",0,9.48,0,4.81,13,NA,"victor-cuesta","Víctor Cuesta","V. Cuesta","Víctor Leandro Cuesta","https://s.glbimg.com/es/sde/f/2022/04/13/4f3258f391a28a24859ea19abee67739_FORMATO.png","Botafogo",1,3,36,14,1,2,3,NA,1,1,57,NA,NA,3,NA,NA,NA,NA,NA,NA
"65",90768,18,262,"zag","6",0,5.06,0,-0.4,1,NA,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",72580,18,327,"gol","7",4.2,6.14,0.65,3.54,5,NA,"matheus-cavichioli","Matheus Cavichioli","M. Cavichioli","Matheus Fernando Cavichioli","https://s.glbimg.com/es/sde/f/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png","América-MG",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,19,8,NA,NA,NA
"67",95799,18,280,"ata","7",5.7,8.71,-0.12,6.23,13,NA,"artur","Artur","Artur","Artur Victor Guimarães","https://s.glbimg.com/es/sde/f/2022/05/05/5c98a0d6cc76edfef83280072bbd3832_FORMATO.png","Bragantino",3,NA,20,5,7,13,18,1,3,2,112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",100079,18,282,"mei","7",5.7,13.1,-1.7,6.64,8,NA,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2022/07/15/2298d241c4ec2d5e60d0b370bba36921_FORMATO.png","Atlético-MG",1,NA,21,14,3,4,10,1,2,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",86485,18,282,"ata","6",2.1,6.53,0.12,2.32,9,NA,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png","Atlético-MG",1,1,7,3,3,7,9,NA,NA,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",109497,18,277,"ata","7",10.7,13.63,1.64,6.44,15,NA,"marcos-leonardo","Marcos Leonardo","M. Leonardo","Marcos Leonardo Santos Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png","Santos",1,4,6,20,13,19,41,NA,6,12,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
