"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","DP","DS","FS","GS","SG","CA","PC","A","FC","FD","FF","PI","FT","G","I","PS","PP","CV","GC"
"48", 42145,23, 294,"lat","7", 8.60,13.53, 1.71, 4.48,14, 8.22,  5.94285714,  3.01428571, 82.00000000, 95.00000000,"egidio","Egídio","Egídio","Egídio de Araújo Pereira Júnior","https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png","Coritiba",NA,NA,29,15,NA, 3,NA, 1, 2, 9, 5, 3,141,NA, 1, 2,NA,NA, 1,NA
"49", 72294,23, 282,"gol","7", 1.00,10.64,-0.83, 3.09,22, 2.35,  2.62500000,  3.65000000, 97.00000000, 98.00000000,"everson","Everson","Everson","Everson Felipe Marques Pires","https://s.glbimg.com/es/sde/f/2022/07/15/bd899e9773980e79959b0ba714379a00_FORMATO.png","Atlético-MG",50,NA,NA, 2,26, 9, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50", 81091,23, 282,"mei","7", 0.00, 8.28, 0.00, 4.23,18, 4.13,  3.58000000,  5.05000000, 64.00000000, 46.00000000,"jair","Jair","Jair","Jair Rodrigues Júnior","https://s.glbimg.com/es/sde/f/2022/07/15/832828dc0097aee4c7a9587b825ee4bc_FORMATO.png","Atlético-MG",NA,NA,43,18,NA,NA, 3, 1, 2,21, 5, 9, 53,NA, 1,NA,NA,NA,NA,NA
"51", 91708,23, 266,"zag","7",-0.20,11.61,-0.42, 4.26,18, 1.09,  4.42222222,  4.06666667, 94.00000000, 95.00000000,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,NA,25,26,NA, 8, 2,NA,NA,16, 3, 3, 56,NA,NA, 2,NA,NA,NA,NA
"52", 82463,23, 282,"mei","5", 0.00, 3.87, 0.00, 1.62,16, 0.55,  1.81250000,  1.43750000, 51.00000000, 34.00000000,"otavio","Otávio ","Otávio ","Otávio Henrique Passos Santos","https://s.glbimg.com/es/sde/f/2022/07/15/2b6c169672a8205f14e8ac4bb25388c6_FORMATO.png","Atlético-MG",NA,NA,27, 3,NA,NA, 1,NA,NA,16, 1,NA, 33,NA,NA,NA,NA,NA,NA,NA
"53", 95794,23, 282,"zag","7", 3.30, 8.86,-0.27, 3.96,13, 3.69,  4.70000000,  3.48750000, 90.00000000, 98.00000000,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2022/07/15/d0236fbab3979985ac474c82ddc56fe1_FORMATO.png","Atlético-MG",NA,NA,16, 5,NA, 8, 5,NA,NA,24, 1, 4, 25,NA,NA,NA,NA,NA,NA,NA
"54", 86485,23, 282,"ata","7", 4.50, 7.38, 0.28, 3.12,14, 4.51,  4.23750000,  1.63333333, 60.00000000, 81.00000000,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png","Atlético-MG",NA,NA,16,12,NA,NA, 1,NA, 1, 8, 6,13, 84,NA, 1, 3,NA,NA,NA,NA
"55", 89226,23, 327,"zag","7",-0.80, 6.53,-1.12, 3.13,13, 0.06,  5.38000000,  1.73750000, 74.00000000, 96.00000000,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,NA, 8, 1,NA, 4, 2,NA,NA,16,NA, 1, 43,NA, 3,NA,NA,NA, 1,NA
"56", 79188,23, 356,"ata","6", 0.00, 3.40, 0.00, 0.98,18, 0.45,  1.56250000,  0.54000000, 47.00000000,  5.00000000,"silvio-romero","Silvio Romero","S. Romero","Silvio Ezequiel Romero","https://s.glbimg.com/es/sde/f/2022/05/12/c5b6ac96aea31d2271156591230c8f4c_FORMATO.png","Fortaleza",NA,NA, 2, 7,NA,NA, 1,NA, 1, 3, 4,11, 38,NA,NA, 9,NA,NA,NA,NA
"57", 97867,23, 280,"zag","7", 0.40,10.08,-0.17, 3.63,15, 1.55,  3.83333333,  3.33333333, 93.00000000,108.00000000,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA,NA,22, 6,NA, 6, 4,NA,NA,12, 1, 3, 88,NA, 1, 1,NA,NA,NA,NA
