,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
48,Rodriguinho,Rodriguinho,61033,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,22,2.18,1.51,Rodrigo Eduardo Costa Marinho,1.2,4,6.11,24,rodriguinho,6,-1.03,,,,,,8.0,11.0,9.0,14.0,21.0,,2.0,,,6.0,,65.0,,,
49,Robinho,Robinho,62104,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,12,0.97,4.29,Róbson Michael Signorini,5.0,4,3.54,24,robinho,6,0.83,1.0,,,,,9.0,6.0,,1.0,9.0,,,,,1.0,,77.0,,,
50,Taison,Taison,62114,Internacional,285,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,11,1.93,2.21,Taison Barcellos Freda,2.3,4,4.22,24,taison,6,-0.11,1.0,4.0,,,,8.0,5.0,4.0,5.0,13.0,,,,,2.0,,29.0,,,
51,Wellington,Wellington,62129,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,11,0.58,-0.2,Wellington Aparecido Martins,0.0,4,2.46,24,wellington,6,0.0,1.0,2.0,,,,7.0,9.0,,,5.0,,,,,,,47.0,,,
52,William Matheus,W. Matheus,62130,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,12,0.87,0.92,William Matheus da Silva,0.0,2,1.89,24,william-matheus,6,0.0,,4.0,1.0,,,9.0,10.0,2.0,4.0,6.0,,,,,,2.0,80.0,,,2.0
53,Alan,Alan,62969,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,0,0.0,9.74,Alan Douglas Borges de Carvalho,0.0,5,8.0,24,alan,6,0.0,,,,,,,,,,,,,,,,,,,,
54,Ganso,Ganso,62977,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,20,3.55,2.59,Paulo Henrique Chagas de Lima,2.7,4,7.2,24,ganso,7,0.3,3.0,4.0,,,,23.0,13.0,2.0,5.0,29.0,2.0,3.0,,,,,143.0,,,
55,Marcos Rocha,M. Rocha,63013,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,15,6.4,1.21,Marcos Luis Rocha Aquino,0.7,2,9.42,24,marcos-rocha,7,-0.25,3.0,2.0,,,,48.0,15.0,,1.0,11.0,,,,,,,174.0,,1.0,8.0
56,Willian Farias,W. Farias,63058,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,18,2.63,1.3,Willian Roberto Farias,1.0,4,6.92,24,willian-farias,6,0.03,,6.0,,,,42.0,11.0,,4.0,22.0,,,,,,,79.0,,,
57,Paulão,Paulão,63172,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,9,2.31,5.1,Paulo Marcos de Jesus Ribeiro,5.8,3,5.22,24,paulao,2,0.28,,,,,,4.0,4.0,1.0,2.0,,,,1.0,,,,26.0,,,4.0
58,Carlinhos,Carlinhos,63194,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,0,0.0,5.99,Carlos Emiliano Pereira,0.0,2,5.0,24,carlinhos,6,0.0,,,,,,,,,,,,,,,,,,,,
59,Edenílson,Edenílson,63289,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,19,4.6,9.51,Edenílson Andrade dos Santos,10.8,4,12.22,24,edenilson,6,1.59,3.0,3.0,,,,24.0,13.0,5.0,11.0,15.0,2.0,4.0,,,1.0,,107.0,,1.0,
60,Rodrigo Moledo,R. Moledo,63354,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,9,4.19,1.92,Rodrigo Modesto da Silva Moledo,0.0,3,5.96,24,rodrigo-moledo,6,0.0,,1.0,,,,14.0,4.0,3.0,3.0,7.0,,,,,,,14.0,,,3.0
61,Alan Patrick,A. Patrick,68685,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,13,3.66,0.78,Alan Patrick Lourenço,0.3,4,6.91,24,alan-patrick,6,-0.23,2.0,2.0,,,,8.0,6.0,6.0,2.0,25.0,,2.0,,,,,54.0,,,
