,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
595,Reydson,Reydson,107314,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/03/21/41fd2bdc589715d9f89538c5aa91795b_FORMATO.png,0,0.0,0.99,Reydson Renan de Almeida Ribeiro,0.0,2,1.0,24,reydson,6,0.0,,,,,,,,,,,,,,,,,,,,
596,Léo Rafael,L. Rafael,107344,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/391ea8c7f2467a1281a47b4ed2aee680_FORMATO.png,1,-0.1,2.07,Leonardo Rafael dos Santos,0.0,4,2.0,24,leo-rafael,5,0.0,,,,,,,,,,,,,,,,,1.0,,,
597,Luan Dias,L. Dias,107416,Goiás,290,https://s.glbimg.com/es/sde/f/2021/06/15/5866621e0b65a2335910b7071eb0d81e_FORMATO.jpeg,13,1.12,1.56,Luan Dias da Silva,1.7,4,2.41,24,luan-dias,6,0.04,,3.0,,,,13.0,9.0,2.0,2.0,8.0,,,,,1.0,,33.0,,,
598,André,André,107498,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/ab46ac470d67b794ba585f6150123037_FORMATO.png,20,3.4,0.03,André Trindade da Costa Neto,-0.6,4,6.69,24,andre,7,-0.53,1.0,6.0,1.0,,,44.0,24.0,5.0,7.0,34.0,,1.0,,,,1.0,92.0,,,
599,Natanael,Natanael,107554,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/d16a948e2d2950b3b56d30d6433483a7_FORMATO.png,12,2.99,7.39,Natanael Moreira Milouski,8.8,2,5.27,24,natanael,7,1.6,1.0,1.0,,,,18.0,3.0,,,13.0,,,,,,,53.0,,,2.0
600,Guilherme Biro,G. Biro,107555,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/7b5275230124120d9a766bb8519cf1c9_FORMATO.png,13,1.26,0.83,Guilherme da Trindade Dubas,0.0,2,2.62,24,guilherme-biro,6,0.0,,2.0,,,,18.0,11.0,,,3.0,,,,,1.0,,64.0,,,1.0
601,Nathan,Nathan,107676,Santos,277,https://s.glbimg.com/es/sde/f/2022/08/05/5d1d89b4939bf6238341024178925d52_FORMATO.png,0,0.0,4.74,Nathan Santos de Araújo,0.0,2,4.0,24,nathan,6,0.0,,,,,,,,,,,,,,,,,,,,
602,Emerson Júnior,E. Júnior,107740,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/65dc75cb5a8699174a8884a44bdf09a4_FORMATO.png,0,0.0,0.99,Emerson Fabiano Kerber Júnior,0.0,1,1.0,24,emerson-junior,6,0.0,,,,,,,,,,,,,,,,,,,,
603,Mazetti,Mazetti,107741,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/66e2cc2d91eb5e3405681b6b815e35e8_FORMATO.png,0,0.0,3.49,Lucas Henrique Mazetti,0.0,2,3.0,24,mazetti,6,0.0,,,,,,,,,,,,,,,,,,,,
604,Tiago Barbosa,T. Barbosa,107742,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/667ff043a6b936a649ae70ef63bf8675_FORMATO.png,0,0.0,2.24,Tiago Barbosa Figueiredo,0.0,3,2.0,24,tiago-barbosa,5,0.0,,,,,,,,,,,,,,,,,,,,
605,Praxedes,Praxedes,107744,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/f8aea5d525d74bdbe77382da13d85ed2_FORMATO.png,13,3.42,1.73,Bruno Conceição Praxedes,0.0,4,7.66,24,praxedes,6,0.0,2.0,3.0,,,,16.0,13.0,3.0,8.0,17.0,,1.0,,,2.0,,41.0,,,
606,Matheus Dias,M. Dias,107809,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/4ce62c830e4cb1643464b791f40e084c_FORMATO.png,0,0.0,0.99,Matheus dos Santos Dias,0.0,4,1.0,24,matheus-dias,6,0.0,,,,,,,,,,,,,,,,,,,,
607,Rokenedy ,Rokenedy ,107852,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/08/02/204aa3e9b46ac66fbd0d108a400249ce_FORMATO.png,0,0.0,0.99,Rokenedy dos Santos,0.0,1,1.0,24,rokenedy,6,0.0,,,,,,,,,,,,,,,,,,,,
608,Felipe Felício,F. Felício,107898,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/4f6c8cec8a2cbc0adb60d17bffa0eab4_FORMATO.png,0,0.0,2.24,Felipe Felício Silva Reis,0.0,5,2.0,24,felipe-felicio,6,0.0,,,,,,,,,,,,,,,,,,,,
609,Hugo,Hugo,107908,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/121d7e4dfd7120daf27329b4d1e02005_FORMATO.png,8,1.78,4.02,Hugo Ferreira de Farias,0.0,2,3.04,24,hugo,6,0.0,,,,,,6.0,2.0,1.0,,2.0,,,,,1.0,,45.0,,,2.0
610,Nahuel Bustos,N. Bustos,107945,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/08/05/f56b5671b6f652fa7904dd3111b901fa_FORMATO.png,1,1.2,3.68,Nahuel Lautaro Bustos,0.0,5,5.6,24,nahuel-bustos,6,0.0,,,,,,1.0,1.0,,,1.0,,,,,,,2.0,,,
611,Fausto Vera,F. Vera,107950,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/07/26/ded3d6726c7ad7af177f070b1f55f580_FORMATO.png,5,3.68,6.19,Fausto Mariano Vera,7.0,4,8.08,24,fausto-vera,7,1.17,,2.0,,,,13.0,5.0,1.0,8.0,3.0,,,,,,,28.0,,,
612,Del Piage,D. Piage,107972,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/a34959446ac5b131b7047f846855f309_FORMATO.png,11,2.26,-0.02,Romildo Del Piage de Souza,0.0,4,2.42,24,del-piage,6,0.0,,2.0,,,,20.0,13.0,1.0,2.0,13.0,,,,,,,35.0,,1.0,
613,Pitta,Pitta,108133,Juventude,286,https://s.glbimg.com/es/sde/f/2022/04/06/d5b98eae02b3de3352cd02c6cc1b5c36_FORMATO.png,20,3.02,1.03,Isidro Miguel Pitta Saldívar ,0.7,5,4.19,24,pitta,7,-2.35,,2.0,,,,1.0,15.0,12.0,17.0,28.0,2.0,4.0,,,10.0,,92.0,1.0,,
614,Lucas Cardoso ,L. Cardoso,108148,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/09/04/feab153e5104280ed7ed8cf60b5db070_FORMATO.png,0,0.0,2.24,Lucas Cardoso Moreira,0.0,4,2.0,24,lucas-cardoso,6,0.0,,,,,,,,,,,,,,,,,,,,
615,Gabriel Lacerda,G. Lacerda,108176,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/6e64fcfbd8fd5ae5f3a9f615b801c4bd_FORMATO.png,14,1.46,0.62,Gabriel Santos Cordeiro Lacerda,0.0,3,3.3,24,gabriel-lacerda,7,0.0,,1.0,,,,9.0,6.0,,5.0,,,,,,,1.0,56.0,,,3.0
616,Gustavo,Gustavo,108201,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/25/0386b196bc9d7576552344192f41a032_FORMATO.png,8,1.6,0.53,Gustavo César Mendonça Gravino,0.0,4,2.39,24,gustavo,6,0.0,,2.0,,,,10.0,7.0,1.0,2.0,11.0,,,,,,,34.0,,,
617,David Ricardo,D. Ricardo,108274,Ceará,354,https://s.glbimg.com/es/sde/f/2022/05/05/eca803d743d8a10b46ac4b03ccd6b039_FORMATO.png,0,0.0,2.24,David Ricardo Loiola da Silva,0.0,3,2.0,24,david-ricardo,6,0.0,,,,,,,,,,,,,,,,,,,,
618,Vásquez,Vásquez,108279,Ceará,354,https://s.glbimg.com/es/sde/f/2022/06/30/f684864cd02a7f9f0aa4a50ffa8c9326_FORMATO.png,6,2.25,3.36,Jhon Freduar Vásquez Anaya,3.7,5,4.67,24,vasquez,7,-0.24,,1.0,,,,5.0,5.0,4.0,2.0,7.0,1.0,,,,3.0,,26.0,,,
619,Galarza,Galarza,108528,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/04/05/aa0e8e944c857702c77135690cfe04d8_FORMATO.png,5,3.04,5.43,Matías Galarza Fonda,0.0,4,4.74,24,galarza,6,0.0,,2.0,,,,14.0,12.0,,4.0,8.0,,,,,,,32.0,,,
620,Guilherme,Guilherme,108539,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/d5ba0de6f8281e3ab0325007342997b6_FORMATO.png,0,0.0,2.24,Guilherme Vicentini Castellani,0.0,1,2.0,24,guilherme,6,0.0,,,,,,,,,,,,,,,,,,,,
621,Rivas,Rivas,108659,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/1f9a18c6a38ce7b0c86a89f400ac4bb8_FORMATO.png,5,0.86,0.82,Cristhian Yonaiker Rivas Vielma - Cristian,0.0,4,2.11,24,rivas,6,0.0,,2.0,,,,5.0,3.0,1.0,1.0,,,,,,,,8.0,,,
622,Gustavo Maia,G. Maia,108712,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/339994547fbada1232b54167a62f60c3_FORMATO.png,0,0.0,2.24,Gustavo Maia da Silva,0.0,5,2.0,24,gustavo-maia,6,0.0,,,,,,,,,,,,,,,,,,,,
623,Vitor Leque,V. Leque,108714,Juventude,286,https://s.glbimg.com/es/sde/f/2022/07/28/45de578f32d6b06aa307c7eb0571f784_FORMATO.png,2,-1.0,1.04,Vitor Benedito Leque da Silva,0.0,5,1.33,24,vitor-leque,6,0.0,,,1.0,,,,2.0,,1.0,3.0,,,,,1.0,,6.0,,,
624,Renato Junior,R. Junior,108741,Goiás,290,https://s.glbimg.com/es/sde/f/2022/04/05/aaad5989249282ee07375a4f7b9bf1da_FORMATO.png,11,0.93,2.68,Renato Barbosa dos Santos Junior,0.0,5,1.32,24,renato-junior,6,0.0,1.0,3.0,,,,6.0,8.0,1.0,2.0,4.0,,,,,1.0,,13.0,,,
625,David,David,108752,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/c33c9f1a80f322e8e721a8101a44e3e0_FORMATO.png,0,-1.0,6.0,David da Hora da Conceição,0.0,5,1.97,24,david,6,0.0,,1.0,,,,,,,,,,,,,,,,,,
626,Felipe Camargo,F. Camargo,108787,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/21/38fe45f041124b759f8d967ad5af48df_FORMATO.png,0,0.0,0.99,Felipe Camargo de Souza,0.0,3,1.0,24,felipe-camargo,6,0.0,,,,,,,,,,,,,,,,,,,,
627,Victor Sá,V. Sá,108946,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/03/26/8c102c9688490530dace27161b1abf3e_FORMATO.png,14,2.79,1.54,João Victor Santos Sá,1.1,5,7.85,24,victor-sa,7,-0.61,,1.0,,,,23.0,9.0,4.0,4.0,15.0,,1.0,,,3.0,,81.0,,,
628,Daniel Martins,D. Martins,109102,Athlético-PR,293,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/08/25/photo_220x220_VUIS7Pm.png,0,0.0,0.0,Daniel Sergio Martins,0.0,4,1.0,24,daniel-martins,6,0.0,,,,,,,,,,,,,,,,,,,,
629,Matheus Nascimento,M. Nascimento,109114,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/e418df52ba2f53e2edcd3d07b685533c_FORMATO.png,17,0.92,2.28,Matheus Nascimento de Paula,0.0,5,3.94,24,matheus-nascimento,5,0.0,,1.0,,,,7.0,11.0,5.0,4.0,8.0,,,,,1.0,,26.0,,1.0,
630,Vitor Marinho,V. Marinho,109195,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/12dac2a5eae75e37ed96b625c3f97430_FORMATO.png,0,0.0,2.24,Vitor Marinho de Oliveira,0.0,2,2.0,24,vitor-marinho,6,0.0,,,,,,,,,,,,,,,,,,,,
631,DG,DG,109199,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/07/15/4de72f5f4587ade71270417865e896e9_FORMATO.png,1,-1.4,0.97,Douglas da Silva Teixeira,0.0,2,0.74,24,dg,6,0.0,,1.0,,,,,,,,1.0,,,,,,,9.0,,,
632,Kawê,Kawê,109246,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/07/27/6543bbc4803f308d463fdd8b7470fc89_FORMATO.png,2,-0.2,0.61,Kawê Ferreira Godoy Viana,0.0,5,0.73,24,kawe,6,0.0,,,,,,,2.0,,,1.0,,,,,1.0,,2.0,,,
633,Sammuel,Sammuel,109341,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/34eebe02442f63e6c4eee4a972018bc8_FORMATO.png,0,0.0,0.99,Sammuel Queiroz de Freitas,0.0,4,1.0,24,sammuel,6,0.0,,,,,,,,,,,,,,,,,,,,
634,Raul Gustavo,R. Gustavo,109389,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/2ec2dcd4fbfa5f682f9e2f993c93e57a_FORMATO.png,15,5.47,12.43,Raul Gustavo Pereira Bicalho,0.0,3,10.0,24,raul-gustavo,5,0.0,1.0,1.0,,,,23.0,10.0,1.0,4.0,15.0,,2.0,,,,1.0,85.0,,,7.0
635,Weverson,Weverson,109426,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/73de6346549a47db6b8bf37e5f4f06fa_FORMATO.png,1,1.0,3.41,Weverson Moreira da Costa,0.0,2,3.08,24,weverson,6,0.0,,,,,,1.0,,,,,,,,,,,2.0,,,
636,Calebe,Calebe,109461,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/e69dad49448e6f72e73ce364b1459be9_FORMATO.png,7,1.73,1.21,Calebe Gonçalves Ferreira da Silva,0.0,4,2.32,24,calebe,6,0.0,,1.0,,,,7.0,2.0,2.0,,7.0,,,,,,,6.0,,,
637,Marcos Leonardo,M. Leonardo,109497,Santos,277,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png,20,5.62,3.45,Marcos Leonardo Santos Almeida,0.0,5,12.27,24,marcos-leonardo,7,0.0,1.0,6.0,,,,7.0,24.0,15.0,23.0,53.0,,7.0,,,15.0,,52.0,,,
638,Joaquim,Joaquim,109563,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/06/04/9af680e828bdcbc3a28ff0dbfc34f2e5_FORMATO.png,12,6.0,4.41,Joaquim Henrique Pereira Silva,5.1,3,5.34,24,joaquim,7,0.4,1.0,,,,,27.0,10.0,2.0,6.0,14.0,,1.0,,,,,46.0,,,4.0
639,Martinelli,Martinelli,109573,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/d62bf91da00804290e9991da9ebe56a2_FORMATO.png,14,0.55,0.23,Matheus Martinelli Lima,-0.1,4,3.39,24,martinelli,2,-0.18,1.0,,,,,5.0,10.0,3.0,,2.0,,,,,,,49.0,,,
640,Davi Araújo,D. Araújo,109626,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2020/08/29/b9c87f70ecb56043ef451bf7071e086e_FORMATO.png,0,0.0,3.49,Davi Machado dos Santos Araújo,0.0,5,3.0,24,davi-araujo,6,0.0,,,,,,,,,,,,,,,,,,,,
641,Gabriel Novaes,G. Novaes,109639,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/f9a266e73e23a467f58f96fac79380bc_FORMATO.png,7,1.84,2.75,Gabriel Novaes Fernandes,0.0,5,3.55,24,gabriel-novaes,6,0.0,,1.0,,,,2.0,5.0,2.0,1.0,4.0,,1.0,,,3.0,,9.0,,1.0,
642,Hugo,Hugo,109668,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/55a04cd7d976a348bbe092c252b13d06_FORMATO.png,14,3.46,3.81,Hugo Gonçalves Ferreira Neto,0.0,2,6.1,24,hugo,6,0.0,,2.0,1.0,,,29.0,14.0,2.0,4.0,11.0,,1.0,,,,,113.0,,,3.0
643,Derick ,Derick ,109830,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/d391d84eadb0b86037667ee4e4a950c6_FORMATO.png,0,0.0,0.99,Derick Fernando da Silva,0.0,3,1.0,24,derick,6,0.0,,,,,,,,,,,,,,,,,,,,
644,Juan Díaz,J. Díaz,109967,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/08/10/3f0cb79829f9359fe414edd3876f0bbd_FORMATO.png,0,0.0,4.74,Juan Carlos Díaz Mena,0.0,4,4.0,24,juan-diaz,6,0.0,,,,,,,,,,,,,,,,,,,,
645,Bryan García,B. García,110013,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/03/03/de27fadbce4a716ee83274374641cf71_FORMATO.png,4,0.67,0.12,Bryan Jahir García Realpe,-0.1,4,1.78,24,bryan-garcia,6,-0.47,,,,,,2.0,2.0,,2.0,2.0,,,,,,,17.0,,,
646,Vitinho,Vitinho,110235,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/06f62207594681a2c0cf91f05c7c0ee9_FORMATO.png,0,0.0,0.99,João Victor Vaz Lopes Pinto,0.0,5,1.0,24,vitinho,6,0.0,,,,,,,,,,,,,,,,,,,,
647,Gabriel Pereira,G. Pereira,110251,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/03/08/7f21f0709f996419a0abebf800f4078d_FORMATO.png,0,0.0,0.99,Gabriel Roberto Pereira,0.0,1,1.0,24,gabriel-pereira,6,0.0,,,,,,,,,,,,,,,,,,,,
648,Zabala,Zabala,110264,Santos,277,https://s.glbimg.com/es/sde/f/2022/07/16/98a84acb922f587144fe391c3ad8548d_FORMATO.png,0,0.0,0.99,Leonardo Yassir Zabala Ceballos,0.0,3,1.0,24,zabala,6,0.0,,,,,,,,,,,,,,,,,,,,
649,Ângelo,Ângelo,110415,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/e0ca88eb8ab327b605082617a24e69fc_FORMATO.png,14,2.0,0.14,Ângelo Gabriel Borges Damaceno,-0.2,5,4.74,24,angelo,6,-0.03,3.0,4.0,,,,8.0,11.0,5.0,4.0,12.0,,,,,1.0,,44.0,,,
650,Daniel Cabral,D. Cabral,110465,Flamengo,262,https://s.glbimg.com/es/sde/f/2021/04/26/a2187a2c57635b43ffbb1a653c278c0c_FORMATO.png,0,0.0,2.24,Daniel Cabral de Oliveira,0.0,4,2.0,24,daniel-cabral,6,0.0,,,,,,,,,,,,,,,,,,,,
651,Abel Ferreira,A. Ferreira,110506,Palmeiras,275,https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,23,6.07,3.71,Abel Fernando Moreira Ferreira,3.54,6,13.34,24,abel-ferreira,7,-0.17,,,,,,,,,,,,,,,,,,,,
652,Andrés,Andrés,110517,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/04/06/8155059fe14b7ffca7314dd757501fb1_FORMATO.png,6,1.6,0.32,Andrés Felipe Colorado Sánchez,0.0,4,3.09,24,andres,6,0.0,,,,,,10.0,8.0,,1.0,,,,,,,,8.0,,,
653,Paulo Mazoti,P. Mazoti,110602,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/acc0c5c373b2459a4b3a99ca631b2775_FORMATO.png,0,0.0,0.99,Paulo Mazoti Azevedo,0.0,1,1.0,24,paulo-mazoti,6,0.0,,,,,,,,,,,,,,,,,,,,
654,Vinícius Balieiro,V. Balieiro,110605,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/d8455afbc745b2638a289c64ff3b1231_FORMATO.png,3,0.23,0.28,Vinícius Balieiro Lourenço de Carvalho,0.0,4,2.73,24,vinicius-balieiro,6,0.0,,,,,,1.0,2.0,,,1.0,,,,,,,4.0,,,
655,Gabriel Pirani,G. Pirani,110607,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/06/14/d526d926c095a507d46bffb0eb46a9a2_FORMATO.png,9,1.9,0.86,Gabriel Cordeiro Pirani,0.0,4,2.39,24,gabriel-pirani,5,0.0,,1.0,,,,5.0,6.0,2.0,4.0,5.0,,1.0,,,1.0,,21.0,,,
656,João Vitor ,J. Vitor,110623,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/07/20/7bccf9ad74a80091d1b36d98ea99d7c4_FORMATO.png,1,0.5,0.84,João Vitor Moreira dos Santos,0.0,5,0.95,24,joao-vitor,6,0.0,,,,,,,,,,1.0,,,,,,,,,,
657,Mateus,Mateus,110624,Palmeiras,275,https://s.glbimg.com/es/sde/f/2020/11/17/cad91db445a56f21c99b495b2b88f8c9_FORMATO.jpeg,0,0.0,0.99,Mateus Oliveira Mendes,0.0,1,1.0,24,mateus,6,0.0,,,,,,,,,,,,,,,,,,,,
658,Luiz Filipe,L. Filipe,110632,Goiás,290,https://s.glbimg.com/es/sde/f/2022/04/04/4fbf3f540f0b2318baeb2e270960d418_FORMATO.png,2,1.2,2.67,Luiz Filipe dos Reis Silva,0.0,5,2.2,24,luiz-filipe,5,0.0,,1.0,,,,2.0,1.0,,,1.0,,,,,,,2.0,,1.0,
659,Mycael,Mycael,110698,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/04/14/98c652f250d877eb7675405f476eed48_FORMATO.png,0,0.0,0.99,Mycael Pontes Moreira,0.0,1,1.0,24,mycael,6,0.0,,,,,,,,,,,,,,,,,,,,
660,Pedro Rangel,P. Rangel,110708,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/02/24/42afa9891ec69bb753c76f8d746939a9_FORMATO.png,0,0.0,0.99,Pedro Felipe De Faria Rangel,0.0,1,1.0,24,pedro-rangel,6,0.0,,,,,,,,,,,,,,,,,,,,
661,Andrés Hurtado,A. Hurtado,110715,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png,12,1.98,0.11,José Andrés Hurtado Cheme,-0.2,2,3.6,24,andres-hurtado,6,-0.14,2.0,1.0,,,,8.0,5.0,,1.0,4.0,,,,,1.0,1.0,50.0,,,2.0
662,Rubens,Rubens,110727,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/9989ff0866e098e75612215994b912fc_FORMATO.png,18,4.3,0.23,Rubens Antônio Dias,-0.2,4,6.23,24,rubens,6,-0.29,,2.0,,,,51.0,20.0,4.0,11.0,13.0,1.0,1.0,,,,,69.0,,,
663,John Kennedy,J. Kennedy,110759,Fluminense,266,https://s.glbimg.com/es/sde/f/2021/08/19/b1b9b8fc3e7ba9cdea447bad10b25ded_FORMATO.png,6,0.55,1.32,John Kennedy Batista de Souza,0.0,5,2.57,24,john-kennedy,6,0.0,,3.0,,,,1.0,5.0,3.0,4.0,1.0,,,,,,,7.0,,,
664,Marcão,Marcão,110775,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/9af5466c91b9b05942f53c8d397eea94_FORMATO.png,0,0.0,0.99,Marco Antônio Amorim de Oliveira Montes,0.0,1,1.0,24,marcao,6,0.0,,,,,,,,,,,,,,,,,,,,
665,Kayque,Kayque,110962,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/3fbe1cef2d382595fb0c6dcbfd12c096_FORMATO.png,6,2.72,1.39,Kayque Luiz Pereira,0.0,4,2.33,24,kayque,6,0.0,,3.0,,,,5.0,8.0,2.0,3.0,11.0,,1.0,,,1.0,,25.0,,,
666,Breno,Breno,110988,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2021/04/20/f8adf8de4a79345e0b300d60c1ac6d67_FORMATO.png,0,0.0,0.99,Breno Boeno,0.0,1,1.0,24,breno,6,0.0,,,,,,,,,,,,,,,,,,,,
667,Samuel Granada,S. Granada,110994,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/05/020e09ce97d6353b30b115f5779603f3_FORMATO.png,0,0.0,3.49,Samuel Salustiano de Jesus Silva,0.0,5,3.0,24,samuel-granada,6,0.0,,,,,,,,,,,,,,,,,,,,
668,Pedrinho,Pedrinho,110995,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/10/04/a4618559793af2d381a5aafe03c3616a_FORMATO.png,11,4.25,5.38,Pedro Henrique Azevedo Pereira,6.4,2,4.72,24,pedrinho,7,1.15,1.0,2.0,,,,16.0,8.0,,2.0,4.0,,,,,1.0,,64.0,,,6.0
669,Robson,Robson,111172,América-MG,327,https://s.glbimg.com/es/sde/f/2021/06/04/4ae813551a7112d688190602a630a0b1_FORMATO.png,0,0.0,0.99,Robson Luiz dos Santos Nascimento,0.0,1,1.0,24,robson,6,0.0,,,,,,,,,,,,,,,,,,,,
670,Marcio Silva,M. Silva,111204,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/0c18ff9c752df4675973a030dcc63c55_FORMATO.png,2,3.75,1.54,Marcio Gleyson Leite da Silva,0.0,3,2.32,24,marcio-silva,6,0.0,,,,,,1.0,,,,3.0,,,,,,,2.0,,,1.0
671,Kelvi,Kelvi,111332,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/d27c52d692c0df1d01ecb1f7a298b40a_FORMATO.png,0,0.0,0.99,Kelvi Chiesa Gomes,0.0,4,1.0,24,kelvi,5,0.0,,,,,,,,,,,,,,,,,,,,
672,Sorriso,Sorriso,111333,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png,19,2.29,0.13,Marcos Vinicios Moura,-0.3,5,5.03,24,sorriso,6,-0.45,1.0,2.0,,,,18.0,16.0,5.0,3.0,15.0,,2.0,,,,,85.0,,,
673,Vitinho,Vitinho,111402,Avaí,314,https://s.glbimg.com/es/sde/f/2022/04/14/a3b3acd682ad4df74865ef90e9e309f1_FORMATO.png,3,0.13,0.04,Victor Júlio Alves de Paula,0.0,4,1.15,24,vitinho,6,0.0,,,,,,,,,,2.0,,,,,,,6.0,,,
674,Felipe Augusto,F. Augusto,111408,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/0397eababa104f1f3a03d140431a5223_FORMATO.png,3,0.27,1.15,Felipe Augusto da Silva,0.0,5,1.47,24,felipe-augusto,6,0.0,,,,,,,4.0,,,4.0,,,,,,,,,,
675,Igor,Igor,111413,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/23/e2415bc46c8e600866f7be1d673bee12_FORMATO.png,0,0.0,2.24,Igor da Silva Dutra,0.0,2,2.0,24,igor,6,0.0,,,,,,,,,,,,,,,,,,,,
676,Biel,Biel,111491,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/5b82464e99f850761874b4e2c46b1b14_FORMATO.png,1,2.9,1.93,Luiz Gabriel de Oliveira Fonseca,0.0,4,1.3,24,biel,6,0.0,,,,,,2.0,,,,2.0,,,,,,,5.0,,,
677,David,David,111546,Ceará,354,https://s.glbimg.com/es/sde/f/2022/05/05/225815574b0c19408aa5038fe14b8eaa_FORMATO.png,0,0.0,2.24,Antônio David Souza Araújo,0.0,4,2.0,24,david,6,0.0,,,,,,,,,,,,,,,,,,,,
678,António Oliveira,A. Oliveira,111578,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/04/27/21a131dcff78d521da3297e98526ce48_FORMATO.png,14,3.67,4.59,António José Cardoso de Oliveira,5.05,6,7.56,24,antonio-oliveira,7,0.28,,,,,,,,,,,,,,,,,,,,
