"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"37",89284,2,262,"tec","7",7.39,9.68,1.6,5.81,2,NA,"paulo-sousa","Paulo Sousa","P. Sousa","Paulo Manuel Carvalho Sousa","https://s.glbimg.com/es/sde/f/2021/12/29/c720dfbf4b03311b98345900861f7158_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",98484,2,263,"zag","7",0.5,2.56,-1.34,-0.3,2,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,NA,NA,1,NA,2,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA
"39",97867,2,280,"zag","7",14.3,13.34,2.34,14.3,1,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/02/21/6a781965c7d790e1392f74796dd30127_FORMATO.png","Bragantino",NA,1,NA,NA,NA,NA,NA,1,NA,8,2,1,NA,NA,NA,NA,NA,NA,NA
"40",80692,2,275,"zag","6",0,8,0,0,0,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",95638,2,356,"zag","7",4.2,7.17,-0.83,4.2,1,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/02/25/aca760bc951756f3a3788376d3e31a69_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"42",71071,2,282,"tec","7",5.55,11.55,1.07,6.71,2,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",91708,2,266,"zag","7",7.7,14.13,0.85,7.4,2,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,2,NA,1,1,1,5,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA
"44",100763,2,276,"mei","6",-0.2,7.41,-3.59,-0.2,1,NA,"gabriel-sara","Gabriel Sara","G. Sara","Gabriel Davi Gomes Sara","https://s.glbimg.com/es/sde/f/2022/03/01/b98717b5d5b0fef1f3992ca77376aa46_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"45",95794,2,282,"zag","7",6,10.48,0.9,5.75,2,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,2,NA,2,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA
"46",89274,2,262,"mei","6",3,6.09,-0.85,1.75,2,NA,"andreas-pereira","Andreas Pereira","A. Pereira","Andreas Hugo Hoelgebaum Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/40c59abb9f6c36d4b05b496f4b0db755_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,2,2,NA,NA,12,2,1,NA,NA,NA,NA,NA,NA,NA
