,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
396,Baralhas,Baralhas,baralhas,30,4,8.61,373,https://s.glbimg.com/es/sde/f/2022/03/03/23016221adbd611a74993ecdc84843f5_FORMATO.png,3,Gabriel Baralhas dos Santos,4.33,0.0,38,99440,Atlético-GO,0.0,7.19,12.0,66.0,40.0,102.0,,,20.0,17.0,4.0,,2.0,11.0,1.0,2.0,,,,,,
397,Igor Bohn,I. Bohn,igor-bohn,0,1,3.0,314,https://s.sde.globo.com/media/person_role/2022/07/28/d97bc45782baf456d1b40b1d16ed352c_FORMATO.png,6,Igor José Bohn,0.0,0.0,38,99573,Avaí,0.0,2.34,,,,,,,,,,,,,,,,,,,,
398,Arthur,Arthur,arthur,0,3,2.0,290,https://s.glbimg.com/es/sde/f/2022/06/27/cfeea87e1e558108c5c50dfd084e1f04_FORMATO.png,6,Arthur Henrique Vieira Araújo,0.0,0.0,38,99670,Goiás,0.0,1.57,,,,,,,,,,,,,,,,,,,,
399,Arias,Arias,arias,32,4,8.76,266,https://s.sde.globo.com/media/person_role/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png,7,Jhon Adolfo Arias Andrade,4.7,0.76,38,99815,Fluminense,8.1,3.94,5.0,38.0,46.0,273.0,,,15.0,52.0,7.0,3.0,9.0,10.0,,,,,,,,
400,Léo Passos,L. Passos,leo-passos,0,5,2.0,327,https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png,6,Leonardo da Silva Passos,0.0,0.0,38,99878,América-MG,0.0,1.57,,,,,,,,,,,,,,,,,,,,
401,Jhojan Julio,J. Julio,jhojan-julio,12,5,4.87,277,https://s.glbimg.com/es/sde/f/2022/03/31/c076d4a6758a288c3f3f7521da98c18f_FORMATO.png,6,Jhojan Esmaides Julio Palacios,2.12,0.0,38,100074,Santos,0.0,0.66,2.0,17.0,20.0,47.0,,,2.0,18.0,,3.0,1.0,2.0,,,,,,,,
402,Zaracho,Zaracho,zaracho,24,4,12.64,282,https://s.glbimg.com/es/sde/f/2022/07/15/2298d241c4ec2d5e60d0b370bba36921_FORMATO.png,7,Federico Matías Javier Zaracho,5.02,0.5,38,100079,Atlético-MG,3.8,1.83,3.0,62.0,33.0,101.0,,,16.0,24.0,2.0,1.0,2.0,8.0,,3.0,,,,,,
403,Igor Gomes,I. Gomes,igor-gomes,30,4,5.76,276,https://s.glbimg.com/es/sde/f/2022/03/01/b6d68ea91db4955b888e119a851704eb_FORMATO.png,7,Igor Silveira Gomes,1.58,0.77,38,100084,São Paulo,5.2,0.37,3.0,28.0,31.0,161.0,,1.0,10.0,26.0,,2.0,4.0,4.0,,,,,,,,
404,Felipe Pires,F. Pires,felipe-pires,11,5,3.24,286,https://s.glbimg.com/es/sde/f/2022/08/06/f016d3ea4f1bdceef28512d7bf47fd36_FORMATO.png,6,Felipe Augusto Rodrigues Pires,1.41,0.0,38,100289,Juventude,0.0,0.19,6.0,3.0,14.0,32.0,,,5.0,16.0,,3.0,2.0,3.0,,,,,,,,
405,Yuri Alberto,Y. Alberto,yuri-alberto,18,5,10.31,264,https://s.sde.globo.com/media/person_role/2022/06/29/f38436c0ef035f0395ad96c1c09a1d6e_FORMATO.png,7,Yuri Alberto Monteiro da Silva,5.05,-1.39,38,100652,Corinthians,4.5,13.37,2.0,12.0,25.0,92.0,,1.0,12.0,28.0,7.0,6.0,1.0,12.0,,,,,,,,
406,Liziero,Liziero,liziero,14,4,3.73,285,https://s.glbimg.com/es/sde/f/2022/04/02/68d5b0b8c93444cf3f88161d109fe461_FORMATO.png,6,Igor Matheus Liziero Pereira ,1.06,0.0,38,100761,Internacional,0.0,3.26,3.0,17.0,15.0,31.0,,,,10.0,,,,,,,,,,,,
407,Bissoli,Bissoli,bissoli,30,5,8.71,314,https://s.sde.globo.com/media/person_role/2022/04/08/c60eb6c17dd46f0a98ac8d236bddbbd7_FORMATO.png,6,Guilherme Bissoli Campos,5.04,0.0,38,100762,Avaí,0.0,1.76,6.0,20.0,52.0,108.0,,,22.0,27.0,14.0,11.0,,11.0,,1.0,1.0,,,,,
408,Luan Cândido,L. Cândido,luan-candido,31,2,9.97,280,https://s.sde.globo.com/media/person_role/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png,7,Luan Cândido de Almeida,5.72,-0.1,38,100848,Bragantino,1.4,2.92,4.0,36.0,39.0,254.0,6.0,2.0,30.0,13.0,11.0,8.0,2.0,18.0,4.0,2.0,,,,,,
409,Conti,Conti,conti,23,3,4.04,327,https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png,7,Germán Andrés Conti,2.1,0.22,38,100943,América-MG,1.9,0.89,1.0,21.0,15.0,72.0,5.0,,8.0,2.0,,,,3.0,,,,,,,,
410,Ronald,Ronald,ronald,20,4,2.51,356,https://s.glbimg.com/es/sde/f/2022/05/12/50ab9a9c9ef9edc1a9bed39d4552c026_FORMATO.png,6,Ronald dos Santos Lopes,0.69,-0.04,38,100969,Fortaleza,0.5,0.99,5.0,21.0,22.0,62.0,,,1.0,9.0,,,,1.0,,,,,,,,
411,Júnior Santos,J. Santos,junior-santos,15,5,7.57,263,https://s.glbimg.com/es/sde/f/2022/08/16/b90d064488716f8526c5c2519944eceb_FORMATO.png,7,José Antonio dos Santos Júnior,3.7,-1.2,38,101002,Botafogo,-1.7,5.65,1.0,19.0,19.0,64.0,,,14.0,12.0,1.0,4.0,2.0,5.0,1.0,2.0,,,,,,
412,Diego,Diego,diego,33,4,6.98,290,https://s.glbimg.com/es/sde/f/2022/03/10/fb1b4d53c6475f4e02123bf33a52a0c2_FORMATO.png,7,Jackson Diego Ibrahim Fagundes,3.89,-0.64,38,101027,Goiás,-0.6,3.79,4.0,63.0,33.0,233.0,,,10.0,76.0,2.0,1.0,5.0,2.0,,,1.0,,,,,
413,Diego Matos,D. Matos,diego-matos,2,2,1.52,314,https://s.glbimg.com/es/sde/f/2022/02/23/f8cc329ae5ae96be77c98caf774621fd_FORMATO.png,6,Diego Daniel Rodrigues de Matos,-1.25,0.0,38,101036,Avaí,0.0,0.22,,2.0,2.0,13.0,,1.0,,,,,,,,,,,,,,
414,Felipe Marques,F. Marques,felipe-marques,23,5,2.67,1371,https://s.glbimg.com/es/sde/f/2022/02/23/a6d728d21e5ecaec684045ba4d68975c_FORMATO.png,6,Felipe Marques da Silva,1.16,0.06,38,101054,Cuiabá,0.8,0.66,1.0,13.0,11.0,67.0,,,5.0,16.0,,4.0,1.0,4.0,,,1.0,,,,,
415,Danilo Cardoso,D. Cardoso,danilo-cardoso,4,3,5.32,290,https://s.glbimg.com/es/sde/f/2022/08/02/c396b10bc3e37dd7731bf8715e8279e0_FORMATO.png,6,Danilo Cardoso Novais da Silva,5.5,0.0,38,101155,Goiás,0.0,1.25,,2.0,2.0,3.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,
416,Alef Manga,A. Manga,alef-manga,34,5,9.58,294,https://s.sde.globo.com/media/person_role/2022/02/23/2f591fe9297201b345f8815815be56ef_FORMATO.png,7,Alef Mangueira Severino Pereira,5.05,-3.62,38,101254,Coritiba,-2.5,19.38,11.0,43.0,31.0,196.0,,1.0,28.0,19.0,9.0,23.0,5.0,23.0,,3.0,,,,,,
417,Ademir,Ademir,ademir,33,5,9.96,282,https://s.glbimg.com/es/sde/f/2022/07/15/bcc9ab9fbdafb24cad6b5c34a3a4e9a7_FORMATO.png,6,Ademir da Silva Santos Júnior,2.73,0.45,38,101314,Atlético-MG,2.8,0.96,4.0,31.0,19.0,74.0,,,16.0,56.0,1.0,13.0,1.0,9.0,,2.0,1.0,,,,,
418,Guga,Guga,guga,20,2,8.89,282,https://s.glbimg.com/es/sde/f/2022/07/15/627768175034855e87f15e0a373b34b8_FORMATO.png,6,Cláudio Rodrigues Gomes,5.0,0.65,38,101319,Atlético-MG,4.9,0.73,1.0,52.0,19.0,172.0,8.0,,8.0,18.0,,1.0,1.0,1.0,,,,,,,,
419,Thonny Anderson,T. Anderson,thonny-anderson,17,4,2.39,294,https://s.glbimg.com/es/sde/f/2022/02/23/aeb4c66a481ba3a88847f5c30bbf5d53_FORMATO.png,6,Thonny Anderson da Silva Carvalho,1.4,0.0,38,101484,Coritiba,0.0,0.53,2.0,22.0,17.0,83.0,,2.0,7.0,14.0,,,1.0,1.0,,,,,,,,
420,Pepê,Pepê,pepe,29,4,6.1,1371,https://s.glbimg.com/es/sde/f/2022/02/23/f7d3a51faa57213871975b0e01258892_FORMATO.png,6,João Pedro Vilardi Pinto,3.17,0.0,38,101573,Cuiabá,0.0,1.02,4.0,60.0,38.0,162.0,,,14.0,42.0,1.0,,,9.0,,,,,,,,
421,Hugo Souza,H. Souza,hugo-souza,13,1,3.13,262,https://s.glbimg.com/es/sde/f/2022/03/04/f29cb0d7b60a53cf87b5131d4fcf8d45_FORMATO.png,6,Hugo de Souza Nogueira,1.65,0.0,38,101574,Flamengo,0.0,0.39,3.0,2.0,,,1.0,,,,,,,,,,,33.0,16.0,,,
422,Robson Bambu,R. Bambu,robson-bambu,6,3,5.16,264,https://s.glbimg.com/es/sde/f/2022/04/27/44c60f9696fad0a8a8156b8192e4af04_FORMATO.png,6,Robson Alves de Barros,4.32,0.0,38,101579,Corinthians,0.0,3.05,,9.0,2.0,13.0,3.0,,,4.0,,,,,,,,,,,,
423,Hugo Moura,H. Moura,hugo-moura,24,4,6.09,293,https://s.glbimg.com/es/sde/f/2022/02/21/267f14bd41575e2b58bcb3d6ba014a46_FORMATO.png,6,Hugo Moura Arruda da Silva,2.42,0.0,38,101594,Athlético-PR,0.0,0.79,5.0,48.0,29.0,84.0,,1.0,5.0,19.0,1.0,1.0,,5.0,2.0,,,,,,,
424,Vitor Gabriel,V. Gabriel,vitor-gabriel,21,5,2.95,286,https://s.glbimg.com/es/sde/f/2022/03/03/0744b4a85cead311d99a4c1d6d279b39_FORMATO.png,7,Vitor Gabriel Claudino Rego Ferreira,1.48,-0.05,38,101596,Juventude,2.4,2.66,6.0,6.0,28.0,53.0,,,9.0,12.0,2.0,3.0,,12.0,,,,,,,,
425,Ramon,Ramon,ramon,14,2,1.98,280,https://s.glbimg.com/es/sde/f/2022/05/10/5ffd61aa5589cf28ad0820b15df29250_FORMATO.png,6,Ramon Ramos Lima,0.86,-0.37,38,101597,Bragantino,-1.2,1.26,3.0,11.0,13.0,88.0,1.0,1.0,2.0,7.0,,,1.0,2.0,,,,,,,,
426,Alex,Alex,alex,3,3,3.42,277,https://s.glbimg.com/es/sde/f/2021/05/04/14060d89e54c755512bce4ee1bd0d8fd_FORMATO.png,5,Alex de Oliveira Nascimento,4.5,0.0,38,101600,Santos,0.0,1.82,,6.0,1.0,6.0,1.0,,,2.0,,,,1.0,,,,,,,,
427,Caio,Caio,caio,26,4,2.73,290,https://s.glbimg.com/es/sde/f/2022/03/10/a34434b7c2c45f0720de34fdeaf8fca5_FORMATO.png,5,Caio Vinicius da Conceição,1.22,0.0,38,101601,Goiás,0.0,0.21,7.0,37.0,41.0,70.0,,1.0,4.0,27.0,,1.0,,1.0,1.0,,,,,,,
428,Rhaldney,Rhaldney,rhaldney,7,4,3.44,373,https://s.sde.globo.com/media/person_role/2022/09/16/photo_FORMATO_qqr85qd.png,6,Rhaldney Norberto Simião Gomes,1.06,0.01,38,101666,Atlético-GO,2.3,1.74,1.0,7.0,5.0,11.0,,,2.0,2.0,,,,,,,,,,,,
429,João Pedro,J. Pedro,joao-pedro,0,4,1.0,266,https://s.sde.globo.com/media/person_role/2022/09/21/photo_FORMATO_qPozky6.png,6,João Pedro Florêncio Barbosa,0.0,0.0,38,101685,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
430,Felipe Jonatan,F. Jonatan,felipe-jonatan,24,2,5.33,277,https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png,6,Felipe Jonatan Rocha Andrade,3.16,0.0,38,101708,Santos,0.0,1.16,3.0,30.0,24.0,216.0,8.0,,9.0,17.0,,1.0,2.0,5.0,,,,,,,,
431,Alerrandro,Alerrandro,alerrandro,19,5,5.6,280,https://s.glbimg.com/es/sde/f/2022/05/05/a190fc01a5c5880c8de5c5854ac2f555_FORMATO.png,7,Alerrandro Barra Mansa Realino de Souza,4.38,-0.32,38,101715,Bragantino,-0.7,1.7,3.0,8.0,11.0,28.0,,,13.0,15.0,6.0,5.0,,12.0,,1.0,,,,,,
432,Marrony,Marrony,marrony,10,5,4.24,266,https://s.glbimg.com/es/sde/f/2022/07/07/cf3959cd704eeabb2140114fefee94eb_FORMATO.png,6,Marrony da Silva Liberato,1.07,0.0,38,101717,Fluminense,0.0,1.65,1.0,8.0,4.0,19.0,,1.0,2.0,11.0,,,,1.0,,,,,,,,
433,Matheusinho,Matheusinho,matheusinho,1,5,0.73,290,https://s.glbimg.com/es/sde/f/2022/04/30/c4508af01cb1a796f08b6846127c31c0_FORMATO.png,6,Matheus Santos Soares,0.0,0.0,38,101725,Goiás,0.0,0.43,,,,,,,,,,,,,,,,,,,,
434,Matheuzinho,Matheuzinho,matheuzinho,26,2,8.73,262,https://s.glbimg.com/es/sde/f/2022/04/25/f8b82a43e5e935dc7a17f7f142575c55_FORMATO.png,6,Matheus França Silva,4.24,0.0,38,101727,Flamengo,0.0,10.04,4.0,56.0,21.0,174.0,8.0,,7.0,14.0,1.0,,2.0,1.0,1.0,,,,,,,
435,Diego,Diego,diego,20,3,7.08,276,https://s.glbimg.com/es/sde/f/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png,6,Diego Henrique Costa Barbosa,2.36,0.0,38,101728,São Paulo,0.0,7.08,7.0,39.0,33.0,94.0,4.0,,4.0,9.0,,,,,1.0,,,,,,,
436,Guilherme Castilho,G. Castilho,guilherme-castilho,16,4,3.47,354,https://s.glbimg.com/es/sde/f/2022/08/02/844e36a5e930dd313402265a86bfdf2c_FORMATO.png,6,Guilherme Castilho Carvalho,2.29,0.0,38,101798,Ceará,0.0,0.44,2.0,15.0,16.0,70.0,,,5.0,12.0,1.0,1.0,1.0,3.0,,2.0,,,,,,
437,Vitinho,Vitinho,vitinho,24,5,3.91,293,https://s.glbimg.com/es/sde/f/2021/05/02/6f194f584e7ed2293b58deb814cde16c_FORMATO.png,7,Vitor Hugo Naum dos Santos,2.38,-0.31,38,101960,Athlético-PR,-0.1,2.13,1.0,12.0,23.0,79.0,,1.0,18.0,27.0,2.0,7.0,,13.0,,1.0,,,,,,
438,Brítez,Brítez,britez,20,2,10.41,356,https://s.glbimg.com/es/sde/f/2022/07/16/933d90afd9fed6c8f8426f4c450f232e_FORMATO.png,7,Emanuel Fermín Brítez,5.74,-0.66,38,101995,Fortaleza,5.4,10.21,1.0,44.0,38.0,151.0,11.0,,6.0,12.0,1.0,4.0,3.0,1.0,,,,,,,,
439,Braian Romero,B. Romero,braian-romero,16,5,6.09,285,https://s.glbimg.com/es/sde/f/2022/07/29/d2bcddb0a2e0d7cc5c363b5a72f8c39d_FORMATO.png,6,Braian Ezequiel Romero,2.08,1.11,38,101997,Internacional,8.0,1.8,1.0,8.0,8.0,11.0,,,6.0,8.0,2.0,1.0,,3.0,,,,,,,,
440,Xavier,Xavier,xavier,5,4,1.86,264,https://s.glbimg.com/es/sde/f/2022/04/27/695e017b3a4e70b82e28dd504e54cd9b_FORMATO.png,6,João Vitor Xavier de Almeida,0.1,0.0,38,102067,Corinthians,0.0,1.45,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
441,Piquerez,Piquerez,piquerez,24,2,9.09,275,https://s.sde.globo.com/media/person_role/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,6,Joaquín Piquerez Moreira,5.87,0.0,38,102130,Palmeiras,0.0,4.96,4.0,57.0,19.0,163.0,13.0,,11.0,19.0,,,2.0,5.0,1.0,,,,,,,
442,Lucas Halter,L. Halter,lucas-halter,16,3,3.84,290,https://s.glbimg.com/es/sde/f/2022/08/02/9cc3cba8dbd74e03b0471fdcd2c66414_FORMATO.png,7,Lucas Halter,2.49,0.49,38,102253,Goiás,2.8,0.2,2.0,13.0,7.0,53.0,4.0,,4.0,2.0,,1.0,,3.0,,2.0,,,,,,
443,Luan Silva,L. Silva,luan-silva,0,5,2.0,275,https://s.glbimg.com/es/sde/f/2022/02/21/5b2d607b7868aa4b0e2f6d3bc4884981_FORMATO.png,6,Luan Silva dos Santos,0.0,0.0,38,102295,Palmeiras,0.0,1.57,,,,,,,,,,,,,,,,,,,,
444,Mikael,Mikael,mikael,0,5,6.0,285,https://s.glbimg.com/es/sde/f/2022/07/28/db7bd8471d05f588d15b51c836794a5a_FORMATO.png,6,Mikael Filipe Viana,0.0,0.0,38,102299,Internacional,0.0,4.65,,,,,,,,,,,,,,,,,,,,
445,Bruno Leite,B. Leite,bruno-leite,0,4,2.0,293,https://s.glbimg.com/es/sde/f/2021/05/02/ec03227352d407507044b7dc5b7ab340_FORMATO.png,6,Bruno da Silva Costa Leite,0.0,0.0,38,102301,Athlético-PR,0.0,1.57,,,,,,,,,,,,,,,,,,,,
446,Matheus Felipe,M. Felipe,matheus-felipe,22,3,5.49,293,https://s.glbimg.com/es/sde/f/2022/04/20/bbb32c1a415166c6cb106f4cae3b7d67_FORMATO.png,7,Matheus Felipe Santos Nascimento,3.37,1.15,38,102310,Athlético-PR,7.8,1.16,3.0,31.0,21.0,63.0,8.0,,,4.0,1.0,,,2.0,,,,,,,,
447,Caio Paulista,C. Paulista,caio-paulista,27,5,4.9,266,https://s.glbimg.com/es/sde/f/2022/04/20/3ad79908bf278d43f6fb870ec7af5f46_FORMATO.png,6,Caio Fernando de Oliveira,2.6,0.0,38,102318,Fluminense,0.0,2.28,3.0,26.0,10.0,129.0,,1.0,12.0,23.0,1.0,2.0,3.0,9.0,,2.0,,,,,,
448,Kelvyn,Kelvyn,kelvyn,2,2,1.98,354,https://s.glbimg.com/es/sde/f/2022/02/22/b0ae3ad3abe8dabd95e5f349d5c3b9c7_FORMATO.png,6,Kelvyn Ramos da Fonseca,-0.05,0.0,38,102464,Ceará,0.0,1.19,,1.0,2.0,7.0,,,,,,,,,,,,,,,,
449,Mastriani,Mastriani,mastriani,11,5,4.91,327,https://s.glbimg.com/es/sde/f/2022/08/10/2c133460f6f214aed522ba40302a5c33_FORMATO.png,6,Gonzalo Mathías Mastriani Borges,2.15,0.0,38,102561,América-MG,0.0,0.58,1.0,4.0,9.0,17.0,,,1.0,6.0,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,
450,Miguel Figueira,M. Figueira,miguel-figueira,0,4,4.0,290,https://s.glbimg.com/es/sde/f/2022/03/10/091756669981fb60d8c35b9e12479795_FORMATO.png,6,Miguel Ferreira Damasceno,0.0,0.0,38,102565,Goiás,0.0,3.11,,,,,,,,,,,,,,,,,,,,
451,Jonathan Silva,J. Silva,jonathan-silva,1,2,2.38,263,https://s.glbimg.com/es/sde/f/2022/02/21/6e4a3c5ef09ca42e9212c2aabf9392ed_FORMATO.png,6,Jonathan Silva Vieira,0.6,0.0,38,102597,Botafogo,0.0,1.89,,1.0,1.0,3.0,,,,,,,,,,,,,,,,
452,Helinho,Helinho,helinho,29,5,5.42,280,https://s.glbimg.com/es/sde/f/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,6,Hélio Júnio Nunes de Castro,2.61,0.0,38,102598,Bragantino,0.0,2.79,7.0,25.0,32.0,167.0,,,19.0,21.0,4.0,4.0,1.0,9.0,,2.0,,,,,,
453,Julimar,Julimar,julimar,0,5,2.0,293,https://s.glbimg.com/es/sde/f/2021/02/20/de210ca4fcb3c0000bf820510f8926b3_FORMATO.png,5,Julimar Silva Oliveira Júnior,0.0,0.0,38,102796,Athlético-PR,0.0,1.57,,,,,,,,,,,,,,,,,,,,
454,Terans,Terans,terans,31,4,11.35,293,https://s.sde.globo.com/media/person_role/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png,7,Miguel David Terans Pérez,5.28,0.38,38,102878,Athlético-PR,11.0,9.01,3.0,13.0,23.0,204.0,,,34.0,22.0,12.0,7.0,4.0,19.0,,2.0,,,,,1.0,
455,Márcio,Márcio,marcio,0,1,1.0,290,https://s.sde.globo.com/media/person_role/2021/01/28/b766352d6d7ffa86eccd7248414a6839_220x220.png,6,Márcio Victor da Silva,0.0,0.0,38,102885,Goiás,0.0,0.8,,,,,,,,,,,,,,,,,,,,
456,Anderson,Anderson,anderson,4,1,2.98,293,https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png,6,Anderson Silva da Paixão,5.37,0.0,38,102906,Athlético-PR,0.0,1.38,1.0,,,,2.0,,,1.0,,,,,,,,19.0,7.0,,,
457,Luan,Luan,luan,4,4,4.34,276,https://s.glbimg.com/es/sde/f/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,6,Luan Vinícius da Silva Santos ,2.1,0.0,38,102909,São Paulo,0.0,0.43,1.0,2.0,1.0,7.0,,,,,1.0,,,,,,,,,,,
458,Canobbio,Canobbio,canobbio,25,5,5.33,293,https://s.sde.globo.com/media/person_role/2022/03/30/ae776027bce5d99b2a19ab81b191f35b_FORMATO.png,6,Agustín Canobbio Graviz,2.34,0.0,38,102928,Athlético-PR,4.1,4.12,2.0,23.0,25.0,103.0,,,9.0,33.0,2.0,3.0,,6.0,,1.0,1.0,,,,,
459,Lucas Ribeiro,L. Ribeiro,lucas-ribeiro,9,3,4.25,354,https://s.glbimg.com/es/sde/f/2022/02/22/aae12a036ac543be8da51c964dc65831_FORMATO.png,5,Lucas Ribeiro dos Santos,1.22,0.0,38,103088,Ceará,0.0,0.82,2.0,1.0,7.0,25.0,1.0,,1.0,5.0,1.0,,,,,,,,,,,
460,Rodrigo Freitas,R. Freitas,rodrigo-freitas,10,3,1.54,314,https://s.glbimg.com/es/sde/f/2022/04/08/d5bcf8daa04da76c1372d8a8a834cf98_FORMATO.png,6,Rodrigo dos Santos de Freitas,0.81,0.0,38,103261,Avaí,0.0,0.34,2.0,4.0,3.0,21.0,1.0,,1.0,5.0,,,,,,,,,,,,
461,Eric Ramires,E. Ramires,eric-ramires,23,4,5.37,280,https://s.glbimg.com/es/sde/f/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,6,Eric dos Santos Rodrigues,1.59,0.0,38,103295,Bragantino,0.0,9.04,1.0,27.0,15.0,51.0,,2.0,6.0,9.0,1.0,,,3.0,1.0,,1.0,,,,,
462,Matheus Alexandre,M. Alexandre,matheus-alexandre,19,2,7.35,294,https://s.glbimg.com/es/sde/f/2022/02/23/f37a5a9aa16b6e174f7e05e22b7a1b62_FORMATO.png,6,Matheus Alexandre Anastácio de Souza,3.32,0.0,38,103347,Coritiba,0.0,1.8,4.0,47.0,17.0,67.0,4.0,,,5.0,,1.0,,,,,,,,,,
463,Emmanuel Martínez,E. Martínez,emmanuel-martinez,4,4,5.99,327,https://s.glbimg.com/es/sde/f/2022/08/13/68f9c27625c8107e59119604bba5e322_FORMATO.png,6,Leandro Emmanuel Martínez,4.33,0.0,38,103388,América-MG,0.0,5.63,1.0,10.0,3.0,23.0,,,3.0,7.0,,,,3.0,,,,,,,,
464,Caetano,Caetano,caetano,26,3,5.53,290,https://s.glbimg.com/es/sde/f/2022/03/10/0b26178145c836bb7862ed5729e22c14_FORMATO.png,5,João Victor Andrade Caetano,2.87,0.0,38,103575,Goiás,0.0,2.88,1.0,38.0,23.0,106.0,6.0,,1.0,10.0,1.0,,,2.0,2.0,1.0,,,,,,
465,Kaíque Rocha,K. Rocha,kaique-rocha,6,3,3.61,285,https://s.glbimg.com/es/sde/f/2022/04/02/c6484aba6ef03823515d831dbbed3145_FORMATO.png,6,Kaíque Rocha Lima,3.33,0.0,38,103684,Internacional,0.0,1.55,2.0,8.0,3.0,24.0,2.0,,,3.0,,,,1.0,,1.0,,,,,,
466,Jadsom Silva,J. Silva,jadsom-silva,27,4,3.81,280,https://s.glbimg.com/es/sde/f/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,7,Jadsom Meemyas de Oliveira da Silva,1.04,0.46,38,103695,Bragantino,3.0,0.52,7.0,27.0,24.0,64.0,,,8.0,9.0,,,1.0,,,,,,,,,
467,Bruno Méndez,B. Méndez,bruno-mendez,22,3,4.11,264,https://s.glbimg.com/es/sde/f/2022/06/24/c1cadb36bdc2e9c961a181dac5a10494_FORMATO.png,3,Bruno Méndez Cittadini,3.41,0.0,38,103700,Corinthians,0.0,-2.74,2.0,41.0,12.0,106.0,5.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,,,,,,,,
468,Neto,Neto,neto,0,4,1.0,282,https://s.glbimg.com/es/sde/f/2022/07/15/9b9b740b77ea9d769449355001908e78_FORMATO.png,6,Antônio Fialho de Carvalho Neto,0.0,0.0,38,103706,Atlético-MG,0.0,0.8,,,,,,,,,,,,,,,,,,,,
469,Gabriel Silva,G. Silva,gabriel-silva,1,5,2.2,275,https://s.glbimg.com/es/sde/f/2021/04/30/89c3f9a0c359529df91f2489bdd05f2c_FORMATO.png,6,Gabriel Silva Vieira,0.0,0.0,38,103766,Palmeiras,0.0,0.84,,,,,,,,,,,,,,,,,,,,
470,Gabriel Menino,G. Menino,gabriel-menino,26,4,5.89,275,https://s.glbimg.com/es/sde/f/2022/02/21/70a1d9b700a17145850b034cd6c9a885_FORMATO.png,6,Gabriel Vinícius Menino,2.51,-0.34,38,103767,Palmeiras,3.1,5.48,3.0,29.0,13.0,85.0,,1.0,14.0,19.0,2.0,1.0,1.0,6.0,,,,,,,,
471,Pedro Bicalho,P. Bicalho,pedro-bicalho,1,4,1.72,275,https://s.glbimg.com/es/sde/f/2021/01/08/3ec8503326f8e51a9fe7bafc9265f01d_FORMATO.jpeg,6,Pedro Henrique Rodrigues Bicalho,1.2,0.0,38,103777,Palmeiras,0.0,1.6,,1.0,,,,,,,,,,,,,,,,,,
472,Bruno Oliveira,B. Oliveira,bruno-oliveira,13,4,2.9,277,https://s.glbimg.com/es/sde/f/2022/03/03/2c935920c010d4b1c62eafcc3fa72249_FORMATO.png,6,Bruno Felipe Oliveira,1.74,0.0,38,103996,Santos,0.0,2.15,2.0,7.0,6.0,48.0,,,2.0,17.0,,,1.0,4.0,,1.0,,,,,,
473,Maycon,Maycon,maycon,0,1,1.34,280,https://s.glbimg.com/es/sde/f/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,6,Maycon Cleiton de Paula Azevedo,-1.0,0.0,38,104017,Bragantino,0.0,1.81,1.0,,,,,,,,,,,,,,,,,,,
474,Walce,Walce,walce,0,3,2.0,276,https://s.glbimg.com/es/sde/f/2022/03/01/42769c38f612d4af2143de3132ce1cec_FORMATO.png,6,Walce da Silva Costa Filho,0.0,0.0,38,104074,São Paulo,0.0,1.57,,,,,,,,,,,,,,,,,,,,
475,André,André,andre,0,1,1.0,354,https://s.glbimg.com/es/sde/f/2022/02/22/644fa239329c76f58f7001e88850b21c_FORMATO.png,6,André Luiz Ribeiro da Silva,0.0,0.0,38,104080,Ceará,0.0,0.8,,,,,,,,,,,,,,,,,,,,
