,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.media_num,atletas.apelido,atletas.status_id,atletas.rodada_id,atletas.slug,atletas.posicao_id,atletas.jogos_num,atletas.foto,atletas.variacao_num,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.apelido_abreviado,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,PP,DE,DP,GC,GS,PC,SG,CV,PS
43,373,4.0,0.0,3.5,Renan,6,37,renan,1,15,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,0.0,Renan dos Santos,60795,Atlético-GO,,Renan,,2.0,,,,,3.0,,,,,,65.0,,,22.0,,2.0,,
44,327,6.64,4.0,2.63,Felipe Azevedo,7,37,felipe-azevedo,5,35,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,-0.18,Felipe Azevedo dos Santos,60825,América-MG,,F. Azevedo,1.0,1.0,33.0,33.0,15.0,20.0,31.0,,4.0,3.0,202.0,,,,,,,,1.0,
45,1371,4.29,0.0,1.76,Uendel,5,37,uendel,2,15,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,Uendel Pereira Gonçalves,60852,Cuiabá,,Uendel,1.0,,14.0,10.0,1.0,4.0,7.0,,,,152.0,,,,,,,3.0,,
46,327,5.75,1.6,1.84,Patric,6,37,patric,2,29,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,0.33,Patric Cabral Lalau,60969,América-MG,,Patric,,6.0,35.0,28.0,5.0,5.0,21.0,,,4.0,240.0,,,,,,,6.0,,
47,1371,5.9,0.0,2.24,Rodriguinho,6,37,rodriguinho,4,32,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,-0.14,Rodrigo Eduardo Costa Marinho,61033,Cuiabá,,Rodriguinho,2.0,,12.0,15.0,11.0,16.0,23.0,,3.0,6.0,93.0,,,,,,,,,
48,294,2.9,0.0,1.25,Robinho,6,37,robinho,4,18,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,0.0,Róbson Michael Signorini,62104,Coritiba,,Robinho,2.0,2.0,17.0,13.0,1.0,3.0,13.0,,,2.0,130.0,,,,,,,,,
49,285,3.67,0.0,1.36,Taison,7,37,taison,4,17,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,0.0,Taison Barcellos Freda,62114,Internacional,,Taison,1.0,6.0,10.0,6.0,4.0,5.0,19.0,,,3.0,39.0,,,,,,,,,
50,266,2.11,-1.0,0.49,Wellington,3,37,wellington,4,11,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,-0.35,Wellington Aparecido Martins,62129,Fluminense,,Wellington,1.0,3.0,7.0,9.0,,,5.0,,,,47.0,,,,,,,,,
51,286,1.69,0.0,0.8,William Matheus,6,37,william-matheus,2,13,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,0.0,William Matheus da Silva,62130,Juventude,,W. Matheus,,4.0,9.0,10.0,2.0,4.0,6.0,,,,80.0,,,,,,2.0,2.0,1.0,
52,266,7.09,8.0,4.0,Alan,6,37,alan,5,2,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,1.06,Alan Douglas Borges de Carvalho,62969,Fluminense,,Alan,,,,,,,,,1.0,,,,,,,,,,,
53,266,6.89,0.0,3.31,Ganso,3,37,ganso,4,32,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,-1.07,Paulo Henrique Chagas de Lima,62977,Fluminense,,Ganso,5.0,6.0,33.0,29.0,4.0,6.0,42.0,2.0,5.0,,216.0,,,,,,,,,1.0
54,275,10.28,4.2,5.94,Marcos Rocha,7,37,marcos-rocha,2,26,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,0.52,Marcos Luis Rocha Aquino,63013,Palmeiras,,M. Rocha,5.0,3.0,73.0,24.0,,2.0,17.0,,,,304.0,,,,,,,14.0,,2.0
55,294,6.6,0.0,2.58,Willian Farias,6,37,willian-farias,4,19,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,0.0,Willian Roberto Farias,63058,Coritiba,,W. Farias,,6.0,43.0,11.0,,4.0,23.0,,,,80.0,,,,,,,,,
56,1371,4.11,0.0,1.37,Paulão,6,37,paulao,3,13,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,0.0,Paulo Marcos de Jesus Ribeiro,63172,Cuiabá,,Paulão,,,5.0,6.0,1.0,3.0,1.0,,,,34.0,,,,1.0,,1.0,4.0,1.0,
