,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.posicao_id,atletas.foto,atletas.rodada_id,atletas.slug,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.jogos_num,atletas.variacao_num,atletas.media_num,CA,DS,FC,FD,FF,FS,PI,SG,A,G,I,FT,DE,GS,GC,PP,CV,DP,PC,PS
35,-0.4,3.15,Marlos Romero Bonfim,4,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,28,marlos,Marlos,Marlos,Athlético-PR,-0.14,50879,293,6,6,-0.31,0.48,,2.0,1.0,1.0,,2.0,14.0,,,,,,,,,,,,,
36,1.6,5.58,Luiz Diallison de Souza Alves,4,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,28,apodi,Apodi,Apodi,Goiás,1.6,51042,290,5,14,0.07,2.35,2.0,13.0,18.0,3.0,4.0,14.0,30.0,,1.0,1.0,1.0,,,,,,,,,1.0
37,0.0,11.76,Walter Leandro Capeloza Artune,1,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,28,walter,Walter,Walter,Cuiabá,2.07,51413,1371,5,23,0.0,3.92,,3.0,,,,3.0,,6.0,,,,,76.0,21.0,,,,,,
38,0.2,4.83,Giuliano Victor de Paula,4,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,28,giuliano,Giuliano,Giuliano,Corinthians,0.4,51548,264,6,22,-0.57,1.64,2.0,19.0,13.0,2.0,9.0,12.0,62.0,,2.0,,2.0,,,,,,,,,
39,0.0,9.37,Everton Augusto de Barros Ribeiro,4,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,28,everton-ribeiro,E. Ribeiro,Everton Ribeiro,Flamengo,5.96,51772,262,7,25,0.0,4.06,,35.0,24.0,8.0,4.0,51.0,136.0,,4.0,2.0,1.0,2.0,,,,,,,,
40,0.0,5.14,Réver Humberto Alves Araújo,3,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,28,rever,Réver,Réver,Atlético-MG,5.02,52253,282,6,10,0.0,2.82,1.0,8.0,6.0,,1.0,4.0,34.0,3.0,,1.0,,,,,,,,,1.0,
41,0.1,4.15,David Luiz Moreira Marinho,3,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,28,david-luiz,D. Luiz,David Luiz,Flamengo,0.34,52827,262,6,15,-0.17,1.24,3.0,12.0,21.0,5.0,2.0,4.0,59.0,2.0,,,2.0,,,,,,,,,
42,-0.2,12.1,Leonardo Gamalho de Souza,5,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,28,leo-gamalho,L. Gamalho,Léo Gamalho,Coritiba,0.19,53865,294,6,19,-0.55,4.52,,6.0,16.0,8.0,8.0,26.0,51.0,,,7.0,5.0,1.0,,,,,,,,1.0
43,5.0,4.51,Renan dos Santos,1,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,28,renan,Renan,Renan,Atlético-GO,4.29,60795,373,7,8,0.59,4.5,1.0,,,,,2.0,,1.0,,,,,43.0,12.0,,,,,,
44,-0.6,5.54,Felipe Azevedo dos Santos,5,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,28,felipe-azevedo,F. Azevedo,Felipe Azevedo,América-MG,-0.27,60825,327,7,27,-0.75,2.04,1.0,22.0,26.0,9.0,14.0,20.0,156.0,,,3.0,2.0,,,,,,1.0,,,
45,0.0,4.29,Uendel Pereira Gonçalves,2,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,28,uendel,Uendel,Uendel,Cuiabá,2.22,60852,1371,5,15,0.0,1.76,,14.0,10.0,1.0,4.0,7.0,152.0,3.0,1.0,,,,,,,,,,,
46,-1.7,5.5,Patric Cabral Lalau,2,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,28,patric,Patric,Patric,América-MG,-1.14,60969,327,6,24,-1.17,2.02,5.0,32.0,25.0,5.0,5.0,19.0,213.0,5.0,,,4.0,,,,,,,,,
47,5.4,6.98,Rodrigo Eduardo Costa Marinho,4,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,28,rodriguinho,Rodriguinho,Rodriguinho,Cuiabá,4.84,61033,1371,7,25,-1.56,2.74,,10.0,13.0,9.0,15.0,23.0,75.0,,2.0,3.0,6.0,,,,,,,,,
