,atletas.foto,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.slug,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,CV,PP,PS,DE,GC,GS,PC,SG,DP
37,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,6,1371,Cuiabá,1.29,Walter Leandro Capeloza Artune,24,Walter,13.0,Walter,13.05,34,51413,walter,12.55,4.3,1,,,3.0,,,,3.0,,,,,,,,84.0,,21.0,,7.0,
38,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,7,264,Corinthians,-0.21,Giuliano Victor de Paula,26,Giuliano,0.5,Giuliano,4.72,34,51548,giuliano,1.1,1.44,4,2.0,2.0,21.0,14.0,2.0,9.0,13.0,,,2.0,74.0,,,,,,,,,
39,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,6,262,Flamengo,0.0,Everton Augusto de Barros Ribeiro,27,Everton Ribeiro,0.0,E. Ribeiro,9.08,34,51772,everton-ribeiro,4.74,4.07,4,4.0,,41.0,26.0,10.0,5.0,53.0,2.0,2.0,1.0,161.0,,,,,,,,,
40,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,6,282,Atlético-MG,0.0,Réver Humberto Alves Araújo,11,Réver,0.0,Réver,4.29,34,52253,rever,0.67,2.56,3,,1.0,8.0,6.0,,1.0,4.0,,1.0,,34.0,,,,,,,1.0,3.0,
41,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,6,262,Flamengo,0.0,David Luiz Moreira Marinho,16,David Luiz,0.0,D. Luiz,4.83,34,52827,david-luiz,4.06,1.41,3,,4.0,12.0,23.0,5.0,3.0,4.0,,,2.0,61.0,,,,,,,,3.0,
42,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,7,294,Coritiba,-1.02,Leonardo Gamalho de Souza,23,Léo Gamalho,0.3,L. Gamalho,11.86,34,53865,leo-gamalho,2.08,4.05,5,,,7.0,17.0,8.0,11.0,30.0,2.0,7.0,5.0,60.0,,,1.0,,,,,,
43,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,7,373,Atlético-GO,-1.09,Renan dos Santos,14,Renan,0.0,Renan,4.0,34,60795,renan,0.64,3.75,1,,2.0,,,,,3.0,,,,,,,,62.0,,19.0,,2.0,
44,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,7,327,América-MG,-0.41,Felipe Azevedo dos Santos,32,Felipe Azevedo,-0.2,F. Azevedo,5.94,34,60825,felipe-azevedo,0.66,2.5,5,1.0,1.0,26.0,31.0,13.0,19.0,26.0,,4.0,3.0,189.0,1.0,,,,,,,,
45,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,5,1371,Cuiabá,0.0,Uendel Pereira Gonçalves,15,Uendel,0.0,Uendel,4.29,34,60852,uendel,2.78,1.76,2,1.0,,14.0,10.0,1.0,4.0,7.0,,,,152.0,,,,,,,,3.0,
46,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,3,327,América-MG,-1.08,Patric Cabral Lalau,28,Patric,-1.5,Patric,5.42,34,60969,patric,-0.51,1.85,2,,6.0,34.0,28.0,5.0,5.0,20.0,,,4.0,239.0,,,,,,,,6.0,
