"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","FT","G","I","PI","PP","CA","DE","GS","SG","PC","CV","GC","PS","DP"
"41",80196,12,356,"mei","7",0,10.17,0,5.33,9,NA,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",NA,11,6,3,10,23,1,3,1,74,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"42",69034,12,264,"mei","5",0,10.81,0,2.93,3,NA,"paulinho","Paulinho","Paulinho","José Paulo Bezerra Maciel Júnior","https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png","Corinthians",NA,1,2,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",93790,12,373,"mei","7",1.3,6.75,-0.87,3.59,12,NA,"marlon-freitas","Marlon Freitas","M. Freitas","Marlon Rodrigues Freitas","https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png","Atlético-GO",2,28,8,3,4,NA,NA,1,1,87,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"44",82792,12,280,"tec","7",7.11,11.01,0.62,4.43,11,NA,"mauricio-barbieri","Maurício Barbieri","M. Barbieri","Maurício Nogueira Barbieri","https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",97341,12,276,"tec","7",1.95,11.3,-0.82,4.18,12,NA,"rogerio-ceni","Rogério Ceni","R. Ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",100079,12,282,"mei","6",0,14.08,0,5.58,5,NA,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2021/04/23/ccb1d73771f04699045f78f794f4481d_FORMATO.png","Atlético-MG",1,9,7,2,4,6,NA,1,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",62114,12,285,"mei","6",0,4.22,0,1.33,6,NA,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional",NA,5,4,1,3,8,NA,NA,NA,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"48",104754,12,356,"tec","7",3.46,7.13,-0.26,3.12,11,NA,"juan-vojvoda","Juan Vojvoda","J. Vojvoda","Juan Pablo Vojvoda Rizzo","https://s.glbimg.com/es/sde/f/2021/05/04/b1ac9362e20bba2d6dc699906e1420cc_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",89840,12,276,"ata","7",0.3,24.67,-0.9,8.41,12,NA,"calleri","Calleri","Calleri","Jonathan Calleri","https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png","São Paulo",1,8,19,11,13,19,NA,9,12,67,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"50",71162,12,354,"mei","7",1.3,3.94,-0.46,1.74,9,NA,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",NA,4,4,5,9,12,1,NA,3,69,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"51",78478,12,262,"mei","6",1.7,6.41,-0.01,3.01,11,NA,"willian-arao","Willian Arão","W. Arão","Willian Souza Arão da Silva","https://s.glbimg.com/es/sde/f/2022/04/25/de6583b845572b4fd501530503901c3a_FORMATO.png","Flamengo",NA,12,9,2,3,6,1,2,NA,44,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"52",95799,12,280,"ata","7",15.1,8.92,1.53,6.04,7,NA,"artur","Artur","Artur","Artur Victor Guimarães","https://s.glbimg.com/es/sde/f/2022/05/05/5c98a0d6cc76edfef83280072bbd3832_FORMATO.png","Bragantino",1,8,3,NA,5,12,NA,3,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",68833,12,277,"mei","6",0,3.93,0,0.87,9,NA,"ricardo-goulart","Ricardo Goulart","R. Goulart","Ricardo Goulart Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/38ae8bd547bcc5a21f9bb3eaaa1d60c2_FORMATO.png","Santos",NA,5,5,1,3,7,NA,NA,NA,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"54",91607,12,275,"ata","7",3.2,11.45,-0.85,6.53,11,NA,"rony","Rony","Rony","Ronielson da Silva Barbosa","https://s.glbimg.com/es/sde/f/2022/02/21/a09a417ce482ea35a6c54e89437850d4_FORMATO.png","Palmeiras",NA,6,14,6,15,12,NA,6,8,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",68920,12,275,"ata","7",2,11.86,-1.23,5.35,11,NA,"dudu","Dudu","Dudu","Eduardo Pereira Rodrigues","https://s.glbimg.com/es/sde/f/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png","Palmeiras",1,9,4,6,6,16,3,3,2,76,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"56",68952,12,262,"ata","6",0,5.99,0,3.57,4,NA,"marinho","Marinho","Marinho","Mário Sérgio Santos Costa","https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png","Flamengo",1,5,4,1,3,9,NA,NA,NA,16,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"57",99815,12,266,"mei","7",0,5.5,0,2.97,7,NA,"arias","Arias","Arias","Jhon Adolfo Arias Andrade","https://s.glbimg.com/es/sde/f/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png","Fluminense",NA,11,11,1,3,11,NA,1,1,31,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"58",101708,12,277,"lat","6",0,4.23,0,0.4,3,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,1,1,NA,1,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",42116,12,266,"ata","6",0,3.7,0,0.89,10,NA,"willian","Willian","Willian","Willian Gomes de Siqueira","https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png","Fluminense",1,5,4,1,NA,1,NA,NA,2,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"60",86485,12,282,"ata","7",-1.2,6.37,-1.68,2.53,6,NA,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2021/05/02/cc190959ce99d1236ff0a230132fb245_FORMATO.png","Atlético-MG",1,4,3,1,7,8,NA,NA,2,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"61",109282,12,266,"ata","7",7.3,10.02,0.59,6.36,12,NA,"luiz-henrique","Luiz Henrique","L. Henrique","Luiz Henrique André Rosa da Silva","https://s.glbimg.com/es/sde/f/2021/08/19/131f19bc697057f38a3c8ec99c785a97_FORMATO.png","Fluminense",3,26,14,3,13,17,1,2,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",42135,12,264,"mei","7",4.2,14.88,-1.23,4.78,10,NA,"willian","Willian","Willian","Willian Borges da Silva","https://s.glbimg.com/es/sde/f/2022/04/27/d71030cb82eac8c28c465bac03535385_FORMATO.png","Corinthians",2,19,3,5,5,24,NA,NA,2,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"63",90031,12,354,"ata","6",-0.3,12.99,-2.11,7.7,11,NA,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",NA,6,11,12,9,25,NA,7,5,58,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"64",109497,12,277,"ata","7",0,14.59,0,7.26,9,NA,"marcos-leonardo","Marcos Leonardo","M. Leonardo","Marcos Leonardo Santos Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png","Santos",NA,5,17,7,13,23,NA,5,6,23,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"65",69102,12,282,"ata","6",1.3,7.24,-1.83,4.02,5,NA,"vargas","Vargas","Vargas","Eduardo Jesús Vargas Rojas","https://s.glbimg.com/es/sde/f/2021/04/23/d29b68b56d66316606b2224987ab6846_FORMATO.png","Atlético-MG",NA,3,3,3,6,4,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",89898,12,264,"ata","7",11.9,15.65,1.77,5.05,10,NA,"roger-guedes","Róger Guedes","R. Guedes","Róger Krug Guedes","https://s.glbimg.com/es/sde/f/2022/04/27/3af9c1a520b0f11a9c40163e925db245_FORMATO.png","Corinthians",1,1,5,7,4,17,NA,4,2,41,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"67",90309,12,285,"ata","7",7.3,6.31,0.32,2.34,10,NA,"david","David","David","David Correa da Fonseca","https://s.glbimg.com/es/sde/f/2022/02/22/2bd5fca2e1d0dc67b0755602e00a7e66_FORMATO.png","Internacional",2,8,16,2,3,12,1,NA,3,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"68",94916,12,282,"mei","7",0.5,11.67,-0.85,5.88,10,NA,"nacho-fernandez","Nacho Fernández","N. Fernández","Ignacio Martín Fernández","https://s.glbimg.com/es/sde/f/2021/04/23/021bc265ea84999199e1b2449e23766c_FORMATO.png","Atlético-MG",3,19,5,8,9,18,NA,1,1,92,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"69",72524,12,290,"ata","6",0,4.2,0,1.7,7,NA,"nicolas","Nicolas","Nicolas","Nicolas Godinho Johann","https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png","Goiás",NA,1,8,2,2,9,NA,1,2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",50879,12,293,"mei","6",0,4.03,0,0.58,4,NA,"marlos","Marlos","Marlos","Marlos Romero Bonfim","https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png","Athlético-PR",NA,1,NA,1,NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",96684,12,276,"ata","6",1.2,2.91,0.05,0.19,8,NA,"rigoni","Rigoni","Rigoni","Emiliano Ariel Rigoni","https://s.glbimg.com/es/sde/f/2022/03/01/f8d5029ee4e43d0050ec116c23af5c56_FORMATO.png","São Paulo",NA,3,5,NA,NA,3,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
