"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","I","PI","DE","GS","SG","CA","G","FT","PC","CV","PP","GC","PS"
"47",69705,4,276,"mei","5",0,5.67,0,1.13,3,NA,"nikao","Nikão","Nikão","Maycon Vinícius Ferreira da Cruz","https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png","São Paulo",NA,NA,NA,2,1,4,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",100079,4,282,"mei","7",1.9,14.53,-2.2,7.43,3,NA,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2021/04/23/ccb1d73771f04699045f78f794f4481d_FORMATO.png","Atlético-MG",1,4,3,2,4,2,NA,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"49",91708,4,266,"zag","7",2.3,13.56,-0.91,6.05,4,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,8,3,1,2,10,NA,13,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"50",63289,4,285,"mei","7",5.3,11.8,0.34,5.5,3,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",NA,6,5,1,4,6,NA,16,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"51",102878,4,293,"mei","7",-0.2,8.16,-1.85,3.83,4,NA,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",NA,3,3,NA,3,3,NA,23,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"52",80196,4,356,"mei","7",1.2,8.31,-1.49,4.25,2,NA,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",NA,1,2,NA,1,3,NA,14,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA
"53",87999,4,275,"mei","2",0,7.53,0,2.7,2,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",NA,1,2,4,1,3,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",68952,4,262,"ata","6",0,7.31,0,5.8,2,NA,"marinho","Marinho","Marinho","Mário Sérgio Santos Costa","https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png","Flamengo",1,4,2,NA,2,6,NA,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"55",109497,4,277,"ata","7",10.9,11.77,1.17,7.58,4,NA,"marcos-leonardo","Marcos Leonardo","M. Leonardo","Marcos Leonardo Santos Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png","Santos",NA,3,8,5,5,13,2,12,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"56",86485,4,282,"ata","6",0,9.25,0,5,1,NA,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2021/05/02/cc190959ce99d1236ff0a230132fb245_FORMATO.png","Atlético-MG",NA,3,1,NA,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",101708,4,277,"lat","6",0.7,5.12,-1.88,0.7,1,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,NA,NA,NA,1,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",109282,4,266,"ata","7",6,6.31,1.24,3.77,4,NA,"luiz-henrique","Luiz Henrique","L. Henrique","Luiz Henrique André Rosa da Silva","https://s.glbimg.com/es/sde/f/2021/08/19/131f19bc697057f38a3c8ec99c785a97_FORMATO.png","Fluminense",1,7,7,NA,4,4,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",89898,4,264,"ata","7",2.1,16.88,-0.47,8.32,4,NA,"roger-guedes","Róger Guedes","R. Guedes","Róger Krug Guedes","https://s.glbimg.com/es/sde/f/2022/04/27/3af9c1a520b0f11a9c40163e925db245_FORMATO.png","Corinthians",1,NA,NA,1,2,7,NA,20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"60",89274,4,262,"mei","6",0,5.59,0,1.63,3,NA,"andreas-pereira","Andreas Pereira","A. Pereira","Andreas Hugo Hoelgebaum Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/40c59abb9f6c36d4b05b496f4b0db755_FORMATO.png","Flamengo",NA,2,2,1,3,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",90031,4,354,"ata","6",1.5,10.4,-1.29,4.93,3,NA,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",NA,1,4,3,4,7,1,24,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"62",69102,4,282,"ata","6",13.4,9.07,3.12,4.7,4,NA,"vargas","Vargas","Vargas","Eduardo Jesús Vargas Rojas","https://s.glbimg.com/es/sde/f/2021/04/23/d29b68b56d66316606b2224987ab6846_FORMATO.png","Atlético-MG",NA,3,3,3,5,3,1,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"63",82792,4,280,"tec","7",6.4,11.39,0.79,5.93,4,NA,"mauricio-barbieri","Maurício Barbieri","M. Barbieri","Maurício Nogueira Barbieri","https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
