,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FF,GC,I,PI,FD,FT,G,DP,PC,CV,PP,PS
51,32,0.16,William Matheus,0.8,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,62130,0.0,0.0,13,W. Matheus,2,1.69,6,william-matheus,William Matheus da Silva,Juventude,286,,9.0,6.0,,2.0,,4.0,10.0,4.0,,,80.0,2.0,,,,2.0,1.0,,
52,32,6.19,Alan,0.0,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,62969,0.0,0.0,0,Alan,5,8.0,6,alan,Alan Douglas Borges de Carvalho,Fluminense,266,,,,,,,,,,,,,,,,,,,,
53,32,3.0,Ganso,3.3,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,62977,2.2,0.29,28,Ganso,4,7.26,7,ganso,Paulo Henrique Chagas de Lima,Fluminense,266,,29.0,39.0,,,4.0,4.0,19.0,6.0,,,194.0,3.0,2.0,4.0,,,,,1.0
54,32,5.49,Marcos Rocha,6.03,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,63013,5.0,0.8,22,M. Rocha,2,10.39,7,marcos-rocha,Marcos Luis Rocha Aquino,Palmeiras,275,,64.0,15.0,,12.0,4.0,2.0,19.0,2.0,,,267.0,,,,,,,,1.0
55,32,2.64,Willian Farias,2.63,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,63058,0.0,0.0,18,W. Farias,4,6.92,5,willian-farias,Willian Roberto Farias,Coritiba,294,,42.0,22.0,,,,6.0,11.0,4.0,,,79.0,,,,,,,,
56,32,1.45,Paulão,1.43,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,63172,1.0,0.08,12,Paulão,3,4.16,7,paulao,Paulo Marcos de Jesus Ribeiro,Cuiabá,1371,,5.0,1.0,,4.0,,,6.0,2.0,1.0,,33.0,1.0,,,,1.0,1.0,,
57,32,3.88,Carlinhos,0.0,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,63194,0.0,0.0,0,Carlinhos,2,5.0,6,carlinhos,Carlos Emiliano Pereira,Botafogo,263,,,,,,,,,,,,,,,,,,,,
58,32,1.75,Edenílson,3.42,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,63289,0.4,-0.08,27,Edenílson,4,10.19,7,edenilson,Edenílson Andrade dos Santos,Internacional,285,,28.0,20.0,,,3.0,3.0,17.0,12.0,,1.0,137.0,6.0,2.0,4.0,,,,,1.0
59,32,6.92,Rodrigo Moledo,4.28,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,63354,7.2,0.38,14,R. Moledo,3,6.93,7,rodrigo-moledo,Rodrigo Modesto da Silva Moledo,Internacional,285,,20.0,7.0,,6.0,,2.0,5.0,4.0,,1.0,21.0,4.0,,,,,,,
60,32,1.03,Alan Patrick,4.14,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,68685,0.1,-2.4,21,A. Patrick,4,7.44,7,alan-patrick,Alan Patrick Lourenço,Internacional,285,,12.0,35.0,,,2.0,2.0,13.0,10.0,,1.0,90.0,10.0,,5.0,,,,,
