,atletas.status_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.preco_num,atletas.apelido,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.foto,atletas.nome,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PI,PS,SG,FT,PP,CV,PC,DE,DP,GS,GC
53,7,Ganso,4,266,62977,6.97,Ganso,31,,-0.33,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,Paulo Henrique Chagas de Lima,27,ganso,3.34,Fluminense,0.2,4.0,4.0,27.0,17.0,3.0,5.0,39.0,4.0,,190.0,1.0,,2.0,,,,,,,
54,7,M. Rocha,2,275,63013,9.59,Marcos Rocha,31,,-0.9,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,Marcos Luis Rocha Aquino,21,marcos-rocha,6.08,Palmeiras,-0.2,4.0,2.0,64.0,17.0,,1.0,13.0,,,255.0,1.0,11.0,,,,,,,,
55,5,W. Farias,4,294,63058,6.92,Willian Farias,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,Willian Roberto Farias,18,willian-farias,2.63,Coritiba,0.0,,6.0,42.0,11.0,,4.0,22.0,,,79.0,,,,,,,,,,
56,7,Paulão,3,1371,63172,4.08,Paulão,31,,0.59,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,Paulo Marcos de Jesus Ribeiro,11,paulao,1.47,Cuiabá,0.4,,,4.0,6.0,1.0,2.0,1.0,,,31.0,,4.0,,,1.0,1.0,,,,1.0
57,6,Carlinhos,2,263,63194,5.0,Carlinhos,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,Carlos Emiliano Pereira,0,carlinhos,0.0,Botafogo,0.0,,,,,,,,,,,,,,,,,,,,
58,6,Edenílson,4,285,63289,10.27,Edenílson,31,,-0.43,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Edenílson Andrade dos Santos,26,edenilson,3.54,Internacional,0.4,3.0,3.0,27.0,16.0,6.0,12.0,20.0,4.0,1.0,132.0,1.0,,2.0,,,,,,,
59,7,R. Moledo,3,285,63354,6.55,Rodrigo Moledo,31,,0.12,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,Rodrigo Modesto da Silva Moledo,13,rodrigo-moledo,4.05,Internacional,5.4,,1.0,17.0,4.0,4.0,4.0,7.0,,1.0,20.0,,5.0,,,,,,,,
60,7,A. Patrick,4,285,68685,9.84,Alan Patrick,31,,2.27,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,Alan Patrick Lourenço,20,alan-patrick,4.34,Internacional,16.1,2.0,2.0,12.0,12.0,10.0,10.0,33.0,5.0,1.0,84.0,,,,,,,,,,
61,7,B. Silva,4,314,68698,8.21,Bruno Silva,31,,0.33,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,Bruno César Pereira da Silva,25,bruno-silva,3.64,Avaí,5.3,1.0,10.0,89.0,63.0,1.0,6.0,33.0,,1.0,146.0,,,1.0,,1.0,,,,,
62,7,Eduardo,4,263,68708,8.49,Eduardo,31,,-0.68,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,Carlos Eduardo de Oliveira Alves,12,eduardo,4.74,Botafogo,0.7,1.0,3.0,18.0,19.0,1.0,11.0,25.0,2.0,,55.0,,,2.0,,,,,,,
63,6,Dodô,2,282,68727,5.65,Dodô,31,,0.31,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,José Rodolfo Pires Ribeiro,6,dodo,4.0,Atlético-MG,5.8,,1.0,12.0,3.0,1.0,2.0,4.0,,,33.0,,2.0,,,,,,,,
64,6,Camacho,4,277,68770,3.82,Camacho,31,,0.07,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,Guilherme de Aguiar Camacho,19,camacho,1.84,Santos,1.2,,6.0,41.0,26.0,1.0,,5.0,,,43.0,,,,,,,,,,
