"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FF","FS","PI","CA","FD","SG","A","I","FT","G","DE","GS","PC","CV","PP","PS","GC","DP"
"272",113558,5,280,"ata","6",0,3,0,0,0,NA,"bruninho","Bruninho","Bruninho","Bruno Gonçalves de Jesus","https://s.glbimg.com/es/sde/f/2022/05/05/f1f155231d0b75984084fb05c52de0db_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",110715,5,280,"lat","6",1.8,4.44,-0.22,3.2,3,NA,"andres-hurtado","Andrés Hurtado","A. Hurtado","José Andrés Hurtado Cheme","https://s.glbimg.com/es/sde/f/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png","Bragantino",6,4,NA,1,18,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",89273,5,264,"lat","6",0,2.11,0,0.2,1,NA,"joao-pedro","João Pedro ","J. Pedro","João Pedro Maturano dos Santos","https://s.glbimg.com/es/sde/f/2022/04/27/bd09f100edbf2862e8ec0a23c018844e_FORMATO.png","Corinthians",2,1,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",104153,5,264,"mei","6",0,2,0,0,0,NA,"ruan","Ruan","Ruan","Ruan de Oliveira Ferreira","https://s.glbimg.com/es/sde/f/2022/04/27/9feb1a957a8cefce9300a34e82a63694_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",97450,5,264,"ata","6",-1.4,1.82,-0.47,-0.5,3,NA,"gustavo-mosquito","Gustavo Mosquito","G. Mosquito","Gustavo Henric da Silva","https://s.glbimg.com/es/sde/f/2022/04/27/8aa6b55720ea1d492c743e089aaa35e5_FORMATO.png","Corinthians",NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",70451,5,294,"ata","6",0,1,0,0,0,NA,"william-alves","William Alves","W. Alves","William Alves de Oliveira","https://s.glbimg.com/es/sde/f/2022/02/23/63b80e56373c995fe10a56cb06537c0a_FORMATO.png","Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",84428,5,354,"mei","5",0,8.12,0,3.3,1,NA,"fernando-sobral","Fernando Sobral","F. Sobral","Fernando Pereira do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/22/d34e2d5762bbaacd3bc3b1940e28f7dd_FORMATO.png","Ceará",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",105584,5,264,"lat","6",0,16.44,0,9.08,4,NA,"lucas-piton","Lucas Piton","L. Piton","Lucas Piton Crivellaro","https://s.glbimg.com/es/sde/f/2022/04/27/5e2400e83a9c023428b3f8687c5f4a48_FORMATO.png","Corinthians",17,9,NA,1,39,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"280",114888,5,280,"mei","6",0,2,0,0,0,NA,"luciano","Luciano","Luciano","Luciano Silva Santos","https://s.glbimg.com/es/sde/f/2022/05/05/21a71a480463a1c9c0140cfd2b91c6d8_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",107554,5,294,"lat","5",0,4,0,0,0,NA,"natanael","Natanael","Natanael","Natanael Moreira Milouski","https://s.glbimg.com/es/sde/f/2022/02/23/d16a948e2d2950b3b56d30d6433483a7_FORMATO.png","Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
