,atletas.foto,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.atleta_id,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.nome,atletas.slug,atletas.rodada_id,CA,DE,DS,FS,GS,SG,A,CV,FC,FD,FF,FT,G,I,PI,PP,PS,DP,PC,GC
47,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,Cuiabá,2.31,Rodriguinho,0.0,Rodriguinho,61033,4,6.04,6,0.0,31,,1371,Rodrigo Eduardo Costa Marinho,rodriguinho,36,,,12.0,23.0,,,2.0,,15.0,11.0,16.0,,3.0,6.0,93.0,,,,,
48,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,Coritiba,1.25,Robinho,0.5,Robinho,62104,4,2.9,6,-0.46,18,,294,Róbson Michael Signorini,robinho,36,2.0,,17.0,13.0,,,2.0,,13.0,1.0,3.0,,,2.0,130.0,,,,,
49,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,Internacional,1.36,Taison,0.3,Taison,62114,4,3.67,6,0.05,17,,285,Taison Barcellos Freda,taison,36,6.0,,10.0,19.0,,,1.0,,6.0,4.0,5.0,,,3.0,39.0,,,,,
50,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,Fluminense,0.58,Wellington,0.0,Wellington,62129,4,2.46,6,0.0,11,,266,Wellington Aparecido Martins,wellington,36,2.0,,7.0,5.0,,,1.0,,9.0,,,,,,47.0,,,,,
51,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,Juventude,0.8,William Matheus,0.0,W. Matheus,62130,2,1.69,6,0.0,13,,286,William Matheus da Silva,william-matheus,36,4.0,,9.0,6.0,,2.0,,1.0,10.0,2.0,4.0,,,,80.0,,,,2.0,
52,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,Fluminense,0.0,Alan,0.0,Alan,62969,5,6.03,6,0.0,1,,266,Alan Douglas Borges de Carvalho,alan,36,,,,,,,,,,,,,,,,,,,,
53,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,Fluminense,3.42,Ganso,6.0,Ganso,62977,4,7.96,7,0.97,31,,266,Paulo Henrique Chagas de Lima,ganso,36,5.0,,32.0,42.0,,,5.0,,27.0,3.0,6.0,2.0,5.0,,208.0,,1.0,,,
54,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,Palmeiras,6.01,Marcos Rocha,-0.5,M. Rocha,63013,2,9.76,7,-1.79,25,,275,Marcos Luis Rocha Aquino,marcos-rocha,36,2.0,,69.0,16.0,,14.0,5.0,,23.0,,2.0,,,,296.0,,1.0,,,
55,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,Coritiba,2.58,Willian Farias,1.6,W. Farias,63058,4,6.6,6,-0.32,19,,294,Willian Roberto Farias,willian-farias,36,6.0,,43.0,23.0,,,,,11.0,,4.0,,,,80.0,,,,,
56,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,Cuiabá,1.37,Paulão,0.0,Paulão,63172,3,4.11,6,0.0,13,,1371,Paulo Marcos de Jesus Ribeiro,paulao,36,,,5.0,1.0,,4.0,,1.0,6.0,1.0,3.0,,,,34.0,,,,1.0,1.0
57,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,Botafogo,0.0,Carlinhos,0.0,Carlinhos,63194,2,5.0,6,0.0,0,,263,Carlos Emiliano Pereira,carlinhos,36,,,,,,,,,,,,,,,,,,,,
58,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Internacional,3.53,Edenílson,0.0,Edenílson,63289,4,10.27,6,0.0,30,,285,Edenílson Andrade dos Santos,edenilson,36,3.0,,32.0,22.0,,,3.0,,17.0,6.0,14.0,2.0,5.0,1.0,154.0,,1.0,,,
59,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,Internacional,4.03,Rodrigo Moledo,4.9,R. Moledo,63354,3,6.73,6,0.6,18,,285,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,36,2.0,,23.0,9.0,,7.0,,,6.0,5.0,6.0,,,1.0,26.0,,1.0,,,
60,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,Internacional,4.49,Alan Patrick,8.0,A. Patrick,68685,4,8.97,6,1.56,25,,285,Alan Patrick Lourenço,alan-patrick,36,2.0,,13.0,41.0,,,4.0,,19.0,17.0,15.0,,6.0,1.0,126.0,1.0,,,,
61,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,Avaí,3.47,Bruno Silva,2.3,B. Silva,68698,4,7.76,7,0.16,29,,314,Bruno César Pereira da Silva,bruno-silva,36,11.0,,97.0,36.0,,,1.0,1.0,71.0,3.0,8.0,1.0,,1.0,168.0,,,,,
62,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,Botafogo,4.95,Eduardo,0.0,Eduardo,68708,4,9.85,6,0.0,14,,263,Carlos Eduardo de Oliveira Alves,eduardo,36,3.0,,21.0,28.0,,,1.0,,21.0,1.0,12.0,2.0,3.0,,64.0,,,,,
63,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,Atlético-MG,4.3,Dodô,0.9,Dodô,68727,2,5.28,7,-0.03,11,,282,José Rodolfo Pires Ribeiro,dodo,36,1.0,,18.0,5.0,,4.0,,,7.0,1.0,4.0,,1.0,1.0,60.0,,,,,
64,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,Santos,2.12,Camacho,-1.2,Camacho,68770,4,3.66,7,-0.59,23,,277,Guilherme de Aguiar Camacho,camacho,36,6.0,,46.0,6.0,,,,,32.0,3.0,1.0,,1.0,,65.0,,,,,
65,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,América-MG,2.82,Henrique Almeida,9.3,H. Almeida,68773,5,5.23,2,0.81,26,,327,Henrique Almeida Caixeta Nascentes,henrique-almeida,36,8.0,,15.0,12.0,,,,,31.0,17.0,17.0,1.0,5.0,11.0,63.0,1.0,1.0,,,
66,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,Ceará,2.78,Nino Paraíba,-2.3,N. Paraíba,68808,2,5.72,7,-1.13,29,,354,Severino do Ramo Clementino da Silva,nino-paraiba,36,11.0,,48.0,42.0,,6.0,1.0,,31.0,1.0,7.0,,1.0,1.0,282.0,,1.0,,,
67,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,Juventude,0.47,Paulo Miranda,-1.2,P. Miranda,68817,3,1.78,6,-0.19,18,,286,Jonathan Doin,paulo-miranda,36,5.0,,13.0,7.0,,1.0,,,13.0,3.0,2.0,,,,62.0,,,,3.0,1.0
68,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,Juventude,1.45,Renato Chaves,0.0,R. Chaves,68827,3,3.2,5,0.0,2,,286,Renato de Araújo Chaves Júnior,renato-chaves,36,,,1.0,,,,,,1.0,2.0,,,,,4.0,,,,,
69,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,Palmeiras,8.83,Marcelo Lomba,0.0,M. Lomba,68872,1,7.77,6,0.0,3,,275,Marcelo Lomba do Nascimento,marcelo-lomba,36,1.0,12.0,,1.0,,3.0,,,,,,,,,,,,,,
70,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,Goiás,2.94,Vinicius,0.9,Vinicius,68917,5,4.82,7,-0.01,23,,290,Vinicius Santos Silva,vinicius,36,1.0,,24.0,17.0,,,4.0,,16.0,6.0,13.0,,2.0,6.0,167.0,,,,,
