"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","DD","DP","GS","SG","CA","FT","G","I","A","CV","PP","GC"
"34","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png",74140,5,265,"mei","Provável",6.8,5.95,1.5,3.5,"Bahia",2,NA,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Arthur Caíke do Nascimento Cruz","arthur-caike","Arthur Caíke","https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png",80337,5,265,"ata","Nulo",0,11.64,0,5.33,"Bahia",4,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"36","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2019/02/27/931ddb4d808eb623c3d496fb36bea54e_FORMATO.png",90444,5,265,"lat","Provável",6.6,13.15,-0.48,7.33,"Bahia",9,1,3,1,7,11,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA
"37","Yuri Lima Lara","yuri","Yuri","https://s.glbimg.com/es/sde/f/2019/03/29/c48336f0e13db7ffdf11a89b7fc63ee9_FORMATO.png",83263,5,265,"mei","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,5,266,"lat","Provável",4.6,6.76,0.73,1.4,"Fluminense",5,1,2,2,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,5,282,"mei","Suspenso",-2.8,10.12,-1.63,3.26,"Atlético-MG",7,2,2,4,14,8,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA
"40","Flávio Medeiros da Silva","flavio","Flávio","https://s.glbimg.com/es/sde/f/2019/03/29/b6aab56d50cf29e0e2a267d04614f4a1_FORMATO.png",91102,5,265,"mei","Nulo",0,3,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,5,277,"gol","Provável",1.2,21.47,-2.15,7.96,"Santos",NA,NA,NA,2,4,NA,14,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"42","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png",80189,5,265,"zag","Provável",4.6,4.98,0.77,2.22,"Bahia",1,1,NA,2,12,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"43","Iago Antônio Silva Santos","iago","Iago","https://s.glbimg.com/es/sde/f/2019/02/27/dcc88b58ec19a30c867de346a51af9ba_FORMATO.png",90894,5,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,5,285,"ata","Nulo",0,8.53,0,2.3,"Internacional",NA,1,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/08/14/11a728603cfca7e8c71e3fadccee1148_FORMATO.png",75295,5,285,"ata","Provável",5.9,14.18,-0.69,7.2,"Internacional",4,4,5,6,5,3,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA
"46","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,5,277,"mei","Dúvida",0.7,7.4,-0.26,1.14,"Santos",7,2,3,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,5,282,"lat","Provável",-1.5,3.28,-1.72,-1.5,"Atlético-MG",1,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,5,285,"ata","Nulo",0,6.36,0,1.43,"Internacional",2,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2019/04/26/d902e9b106945142d1e4b989287abaa1_FORMATO.png",42499,5,285,"lat","Provável",0,5.13,0,2.4,"Internacional",2,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,5,276,"mei","Dúvida",-0.8,14.4,-2.49,5.06,"São Paulo",2,6,5,4,3,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
"51","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,5,276,"ata","Contundido",0,17,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,5,285,"lat","Nulo",0,1.8,0,-1.4,"Internacional",3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"53","Carlos Cesar Neves","carlos-cesar","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,5,282,"lat","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,5,285,"mei","Nulo",0,7.12,0,1.4,"Internacional",2,NA,NA,1,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"55","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/04/26/0f11760faf0dba18c06ea0a541386faa_FORMATO.png",62009,5,285,"mei","Nulo",0,6.73,0,3.7,"Internacional",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2019/04/01/eef015fc7bcd190caa8be7fd622aec04_FORMATO.png",82634,5,285,"mei","Contundido",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,5,282,"mei","Provável",3.4,7.21,-0.1,3.02,"Atlético-MG",8,NA,1,7,14,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"58","Maicon Marques Bitencourt","maicon","Maicon","https://s.glbimg.com/es/sde/f/2019/03/29/32816f651b7a79f953bfbe551d47c80e_FORMATO.png",62968,5,282,"ata","Nulo",0,7.01,0,3.75,"Atlético-MG",1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"59","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,5,285,"mei","Provável",-0.4,7.14,-0.36,1.08,"Internacional",NA,2,4,3,16,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA
