,atletas.clube_id,atletas.rodada_id,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.atleta_id,atletas.slug,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.variacao_num,atletas.pontos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido,CA,DS,FC,FD,FF,FS,G,I,SG,A,FT,CV,PC,PP,PS,DE,GS,DP,GC,V
59,356,15,7,Lucas Pacheco Affini,4,68991,lucas-sasha,3.33,,6.08,6,L. Sasha,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,Fortaleza,Lucas Sasha,1.0,19.0,10.0,,2.0,6.0,,1.0,,,,,,,,,,,,
60,1371,15,0,João Carlos Heidemann,1,69010,joao-carlos,0.0,,3.0,6,J. Carlos,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,Cuiabá,João Carlos,,,,,,,,,,,,,,,,,,,,
61,262,15,6,Aderbar Melo dos Santos Neto,1,69012,santos,3.25,,9.47,6,Santos,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Flamengo,Santos,,,,,,1.0,,,2.0,,,,,,,17.0,8.0,,,
62,266,15,6,Manoel Messias Silva Carvalho,3,69014,manoel,1.97,,5.19,3,Manoel,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Fluminense,Manoel,1.0,3.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,
63,293,15,3,Marcelo Cirino da Silva,5,69022,marcelo-cirino,0.4,,3.57,6,M. Cirino,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Athlético-PR,Marcelo Cirino,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
64,264,15,4,José Paulo Bezerra Maciel Júnior,4,69034,paulinho,2.1,,4.5,5,Paulinho,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,Corinthians,Paulinho,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
65,277,15,0,Vladimir Orlando Cardoso de Araújo Filho,1,69040,vladimir,-3.0,,2.32,3,Vladimir,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Santos,Vladimir,,,,,,,,,,,,1.0,,,,,,,,
66,265,15,1,Danilo Fernandes Batista,1,69051,danilo-fernandes,7.0,,4.64,5,D. Fernandes,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,Bahia,Danilo Fernandes,1.0,,,,,,,,,,,,,,,7.0,,,,
67,282,15,11,Eduardo Jesús Vargas Rojas,5,69102,vargas,1.24,,3.95,6,Vargas,-0.38,-1.3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Atlético-MG,Vargas,3.0,3.0,7.0,2.0,2.0,4.0,1.0,,,,,,,,1.0,,,,,
68,293,15,9,Pablo Felipe Teixeira,5,69138,pablo,4.5,,9.96,6,Pablo,-1.55,0.5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Athlético-PR,Pablo,2.0,10.0,8.0,3.0,8.0,10.0,1.0,1.0,,2.0,,,,,,,,,,
69,262,15,1,Pablo Nascimento Castro,3,69165,pablo,4.4,,4.36,6,Pablo,-0.64,4.4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Flamengo,Pablo,,,2.0,,,,,,1.0,,,,,,,,,,,
70,290,15,6,Sidimar Fernando Cigolini,3,69189,sidimar,1.45,,2.61,6,Sidimar,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Goiás,Sidimar,1.0,3.0,4.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,1.0,
71,284,15,12,Luis Alberto Suárez Díaz,5,69318,luis-suarez,8.99,,16.18,6,L. Suárez,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,Grêmio,Luis Suárez,2.0,8.0,13.0,15.0,19.0,28.0,4.0,11.0,,3.0,5.0,,,1.0,,,,,,
