,atletas.posicao_id,atletas.foto,atletas.nome,atletas.variacao_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube.id.full.name,atletas.atleta_id,CA,DS,FC,FF,FS,PC,SG,A,FD,G,I,CV,PS,FT,DE,GS,V,DP,PP,GC
34,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,Felipe Azevedo dos Santos,0.03,327,4.66,13,0.8,12,F. Azevedo,1.3,7,felipe-azevedo,Felipe Azevedo,2.45,América-MG,60825,,7.0,11.0,5.0,12.0,,,,3.0,1.0,1.0,,,1.0,,,,,,
35,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel Pereira Gonçalves,0.0,1371,4.0,13,5.38,0,Uendel,0.0,6,uendel,Uendel,0.0,Cuiabá,60852,,,,,,,,,,,,,,,,,,,,
36,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Neuciano de Jesus Gusmão,-0.21,265,3.95,13,1.2,6,Cicinho,1.9,3,cicinho,Cicinho,4.22,Bahia,61106,3.0,12.0,17.0,1.0,8.0,,2.0,,1.0,,,,,1.0,,,,,,
37,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Gilberto Oliveira Souza Júnior,0.0,283,8.88,13,1.6,12,Gilberto,0.0,6,gilberto,Gilberto,4.34,Cruzeiro,61188,2.0,5.0,12.0,17.0,7.0,,,1.0,5.0,3.0,4.0,,,,,,,,,
38,5,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,Alan Douglas Borges de Carvalho,0.0,266,5.29,13,5.98,1,Alan,0.0,6,alan,Alan,8.0,Fluminense,62969,,,,,,,,,,1.0,,,,,,,,,,
39,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Paulo Henrique Chagas de Lima,0.0,266,11.22,13,1.4,11,Ganso,0.0,7,ganso,Ganso,5.39,Fluminense,62977,1.0,9.0,4.0,1.0,17.0,,,3.0,2.0,3.0,1.0,,,,,,,,,
40,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,Marcos Luis Rocha Aquino,0.0,275,5.12,13,1.83,2,M. Rocha,0.0,5,marcos-rocha,Marcos Rocha,3.3,Palmeiras,63013,,5.0,3.0,,3.0,,,,,,,,,,,,,,,
41,4,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,Fransérgio Rodrigues Barbosa,0.0,294,5.0,13,-0.01,0,Fransérgio,0.0,6,fransergio,Fransérgio,0.0,Coritiba,63024,,,,,,,,,,,,,,,,,,,,
42,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,Willian Roberto Farias,0.0,294,3.8,13,1.52,3,W. Farias,0.0,6,willian-farias,Willian Farias,2.43,Coritiba,63058,1.0,6.0,3.0,,4.0,,,,,,,,,,,,,,,
43,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Edenílson Andrade dos Santos,-0.92,282,4.98,13,0.29,12,Edenílson,0.5,2,edenilson,Edenílson,2.1,Atlético-MG,63289,,11.0,9.0,,7.0,,,2.0,1.0,,,,,,,,,,,
