,atletas.variacao_num,atletas.preco_num,atletas.foto,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.media_num,atletas.apelido,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,PP,I,SG,PS,CV,DE,GS,V,PC,DP,GC
40,0.0,5.12,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,Marcos Luis Rocha Aquino,Palmeiras,63013,M. Rocha,14,2,7,275,0.0,,2,3.3,Marcos Rocha,marcos-rocha,,,5.0,3.0,,,3.0,,,,,,,,,,,,,
41,-0.64,4.36,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,Fransérgio Rodrigues Barbosa,Coritiba,63024,Fransérgio,14,4,6,294,2.3,,1,2.3,Fransérgio,fransergio,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
42,0.0,3.8,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,Willian Roberto Farias,Coritiba,63058,W. Farias,14,4,6,294,0.0,,3,2.43,Willian Farias,willian-farias,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,
43,0.26,5.24,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Edenílson Andrade dos Santos,Atlético-MG,63289,Edenílson,14,4,7,282,2.0,,13,2.09,Edenílson,edenilson,2.0,,12.0,9.0,1.0,1.0,7.0,,,,,,,,,,,,,
44,0.0,2.82,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,Rodrigo Modesto da Silva Moledo,Internacional,63354,R. Moledo,14,3,6,285,0.0,,7,1.26,Rodrigo Moledo,rodrigo-moledo,,3.0,4.0,2.0,1.0,,3.0,,,,1.0,1.0,,,,,,,,
45,0.0,8.15,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,Alan Patrick Lourenço,Internacional,68685,A. Patrick,14,4,7,285,0.0,,11,2.71,Alan Patrick,alan-patrick,2.0,3.0,4.0,7.0,4.0,4.0,24.0,,,,,,,,,,,,,
46,1.26,13.63,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Carlos Eduardo de Oliveira Alves,Botafogo,68708,Eduardo,14,4,7,263,9.4,,12,5.2,Eduardo,eduardo,3.0,3.0,8.0,17.0,3.0,1.0,29.0,1.0,3.0,,,,,,,,,,,
47,0.0,3.94,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,José Rodolfo Pires Ribeiro,Santos,68727,Dodô,14,2,6,277,0.0,,1,2.2,Dodô,dodo,,,1.0,,,,2.0,,,,,,,,,,,,,
48,0.0,1.91,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Guilherme de Aguiar Camacho,Santos,68770,Camacho,14,4,6,277,0.0,,5,1.06,Camacho,camacho,,1.0,10.0,12.0,,,2.0,,,,1.0,,,1.0,,,,,,
49,-0.37,3.0,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,Henrique Almeida Caixeta Nascentes,América-MG,68773,H. Almeida,14,5,6,327,0.0,,4,0.88,Henrique Almeida,henrique-almeida,,,,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,
50,0.0,5.89,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,Marcelo Lomba do Nascimento,Palmeiras,68872,M. Lomba,14,1,6,275,0.0,,1,1.0,Marcelo Lomba,marcelo-lomba,,,,,,,,,,,,,,,2.0,1.0,,,,
51,0.0,3.76,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,Wellington Alves da Silva,Cuiabá,68895,W. Silva,14,5,6,1371,0.0,,12,1.69,Wellington Silva,wellington-silva,,1.0,9.0,6.0,2.0,3.0,15.0,,,,2.0,,,,,,,,,
