,atletas.jogos_num,atletas.preco_num,atletas.pontos_num,atletas.status_id,atletas.posicao_id,atletas.apelido,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.foto,atletas.slug,atletas.clube_id,atletas.nome,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.media_num,DS,FC,FS,CA,FD,FF,G,I,SG,V,DE,GS,DP,A,FT,PS,GC,PC,CV,PP
43,3,14.53,6.9,7,4,Eduardo,68708,3,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,eduardo,263,Carlos Eduardo de Oliveira Alves,Botafogo,0.92,,7.07,1.0,6.0,8.0,1.0,,1.0,1.0,,,,,,,2.0,,,,,,
44,0,5.0,0.0,7,2,Dodô,68727,3,Dodô,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,dodo,282,José Rodolfo Pires Ribeiro,Atlético-MG,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
45,1,2.77,0.0,7,4,Camacho,68770,3,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,camacho,277,Guilherme de Aguiar Camacho,Santos,0.0,,-0.7,1.0,3.0,,1.0,,,,,,,,,,,,,,,,
46,2,4.23,0.0,6,5,Henrique Almeida,68773,3,H. Almeida,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,henrique-almeida,327,Henrique Almeida Caixeta Nascentes,América-MG,0.0,,1.45,,3.0,,,,1.0,,,,,,,,,1.0,,,,,
47,3,4.31,2.0,6,2,Nino Paraíba,68808,3,N. Paraíba,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_LO6uOVK.png,nino-paraiba,327,Severino do Ramo Clementino da Silva,América-MG,-0.1,,1.7,3.0,3.0,5.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,
48,0,8.0,0.0,6,1,Marcelo Lomba,68872,3,M. Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,marcelo-lomba,275,Marcelo Lomba do Nascimento,Palmeiras,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
49,2,3.39,1.7,2,5,Wellington Silva,68895,3,W. Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,wellington-silva,1371,Wellington Alves da Silva,Cuiabá,0.08,,0.85,1.0,,1.0,,,,,,,,,,,,,,,,,
50,0,7.0,0.0,5,5,Diego Souza,68911,3,D. Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,diego-souza,284,Diego Souza de Andrade,Grêmio,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
51,3,9.21,5.2,7,5,Vinicius,68917,3,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,vinicius,290,Vinicius Santos Silva,Goiás,0.53,,5.87,8.0,3.0,3.0,,3.0,5.0,,2.0,,,,,,,,,,,,
52,3,15.24,3.6,7,5,Dudu,68920,3,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,dudu,275,Eduardo Pereira Rodrigues,Palmeiras,-0.93,,6.93,3.0,1.0,5.0,,1.0,1.0,,,,,,,,2.0,1.0,,,,,
