,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
585,Felipe de Andrade Vieira,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_lkQ8S78.png,,31,Fluminense,0.0,111839,0.0,F. Andrade,3,6,0.96,0.97,False,felipe-andrade,Felipe Andrade,266,,1.0,,,,,,,1.0,,,,,,,,,,,,
586,Arthur Wenderrosky Sanches,1,https://s.sde.globo.com/media/person_role/2021/03/15/a1e027a6133eb086771225ec24cc7c69_FORMATO.png,,31,Fluminense,0.0,111841,0.0,Arthur,4,6,1.04,1.2,False,arthur,Arthur,266,1.0,,,,,,,,,,,,,,,,,,,,
587,Guilherme Sucigan Mafra Cunha,10,https://s.sde.globo.com/media/person_role/2022/07/02/ea53a64347e60658cdcbd15ba83320ba_FORMATO.png,,31,Corinthians,0.0,111891,0.0,G. Biro,4,6,2.99,2.19,False,guilherme-biro,Guilherme Biro,264,10.0,7.0,16.0,2.0,13.0,2.0,,,,,,,2.0,,,,,,,,
588,Diego Manuel Hernández González,1,https://s.sde.globo.com/media/person_role/2023/05/26/photo_220x220_jllMRNk.png,,31,Botafogo,0.0,111945,0.0,D. Hernández,4,6,5.42,1.7,False,diego-hernandez,Diego Hernández,263,,,1.0,,,1.0,,,,,,,,,,,,,,,
589,Julián Eduardo Palacios,23,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_C8xKUgn.png,,31,Goiás,-0.17,111996,1.3,J. Palacios,4,3,5.51,2.68,True,julian-palacios,Julián Palacios,290,18.0,9.0,52.0,6.0,32.0,7.0,,,,,1.0,,3.0,1.0,,1.0,,,,,
590,Lucas Lopes Beraldo,18,https://s.sde.globo.com/media/person_role/2022/07/22/aef0c837cb53876eb1509bd8c3eaa586_FORMATO.png,,31,São Paulo,1.2,112136,6.8,L. Beraldo,3,6,6.88,3.56,True,lucas-beraldo,Lucas Beraldo,276,24.0,4.0,13.0,5.0,16.0,2.0,,,5.0,,,,,1.0,,,,,,,
591,Thalisson Gabriel Pereira Moreira,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_sNKyuNw.png,,31,Coritiba,0.18,112367,2.6,T. Gabriel,3,7,1.23,1.42,True,thalisson-gabriel,Thalisson Gabriel,294,4.0,,3.0,,2.0,,,,,,,,,,,,,,,,
592,Emerson Ramon Bezerra Oliveira,10,https://s.sde.globo.com/media/person_role/2023/03/30/photo_FORMATO_wzDDWM2.png,,31,Cuiabá,0.0,112370,0.0,E. Ramon,5,6,3.84,2.07,False,emerson-ramon,Emerson Ramon,1371,5.0,7.0,14.0,,5.0,3.0,,,,,,,1.0,,,,,,,,
593,Gabriel Hamester Grando,26,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bv2qwrK.png,,31,Grêmio,0.1,112616,0.0,G. Grando,1,7,5.4,2.76,True,gabriel-grando,Gabriel Grando,284,,,6.0,5.0,,,94.0,40.0,4.0,,,,,,,,,,,,
594,Kaiki Bruno da Silva,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_HCZ4bVf.png,,31,Cruzeiro,0.0,112709,0.0,Kaiki,2,6,3.68,2.23,False,kaiki,Kaiki,283,4.0,,6.0,1.0,11.0,,,,2.0,,,,1.0,,,,,,,,
595,Lucas Henrique Barbosa,8,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_Dsp7wOi.png,,31,Coritiba,0.0,112886,0.0,L. Barbosa,4,6,4.4,2.21,False,lucas-barbosa,Lucas Barbosa,294,12.0,1.0,5.0,,8.0,2.0,,,,,,,,,,,,,,,
596,Manuel Vicente Capasso,8,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_OaLhk6j.png,,31,Vasco,0.0,112913,0.0,Capasso,3,6,2.31,0.58,False,capasso,Capasso,267,7.0,1.0,,3.0,5.0,,,,,,,,1.0,,,,,,,,
597,Werton de Almeida Rêgo,0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_b5lT2QZ.png,,31,Flamengo,0.0,112984,0.0,Werton,5,6,2.0,0.0,False,werton,Werton,262,,,,,,,,,,,,,,,,,,,,,
598,José Manuel Alberto López,18,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_V15s07E.png,,31,Palmeiras,1.09,113103,8.0,F. López,5,6,7.24,2.34,True,flaco-lopez,Flaco López,275,8.0,6.0,11.0,3.0,17.0,5.0,,,,,,,5.0,3.0,,1.0,,,,,
599,Kauan Silva Sales,0,https://s.sde.globo.com/media/person_role/2023/04/01/photo_220x220_9pgUpwG.png,,31,Atlético-MG,0.0,113154,0.0,Kauan,2,6,1.0,0.0,False,kauan,Kauan,282,,,,,,,,,,,,,,,,,,,,,
600,Nathan Gabriel de Souza Mendes,13,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Ec4EI26.png,,31,São Paulo,0.0,113157,0.0,N. Mendes,2,6,4.49,3.86,False,nathan-mendes,Nathan Mendes,276,13.0,1.0,16.0,4.0,15.0,1.0,,,5.0,,,,,1.0,,,,,,,
601,Michel Augusto Modesto Rafael dos Santos,0,https://s.sde.globo.com/media/person_role/2022/04/06/2e58e6fda93f2529e843b6dacea39be3_FORMATO.png,,31,Palmeiras,0.0,113159,0.0,Michel,3,6,2.0,0.0,False,michel,Michel,275,,,,,,,,,,,,,,,,,,,,,
602,Júlio César Alves Gonçalves,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ta473IP.png,,31,América-MG,0.0,113295,0.0,Júlio,3,6,4.37,4.7,False,julio,Júlio,327,,,,,3.0,,,,2.0,,1.0,,,,,,,,,,
603,Pablo Gonçalves Maia Fortunato,24,https://s.sde.globo.com/media/person_role/2022/03/05/e91f0953fe782088f01eda528fd69b2f_FORMATO.png,,31,São Paulo,-0.52,113359,3.7,P. Maia,4,6,6.38,3.34,True,pablo-maia,Pablo Maia,276,37.0,12.0,18.0,7.0,52.0,9.0,,,,,,,,4.0,,,1.0,,,,
604,Diogo Batista de Souza,9,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_KoGBw9E.png,,31,Coritiba,0.3,113384,3.0,D. Batista,2,6,1.97,2.77,True,diogo-batista,Diogo Batista,294,7.0,2.0,3.0,1.0,10.0,2.0,,,2.0,,1.0,,,,,,,,,,
605,Bruno Gonçalves de Jesus,13,https://s.sde.globo.com/media/person_role/2022/05/05/f1f155231d0b75984084fb05c52de0db_FORMATO.png,,31,Bragantino,0.0,113558,0.0,Bruninho,4,6,7.96,2.96,False,bruninho,Bruninho,280,7.0,2.0,6.0,,1.0,5.0,,,,,1.0,,1.0,2.0,,,,1.0,,,
606,Kevin Santos Lopes de Macedo,6,https://s.sde.globo.com/media/person_role/2023/03/03/photo_FORMATO_TugHOMv.png,,31,Palmeiras,0.0,113663,0.0,Kevin,5,6,1.43,1.72,False,kevin,Kevin,275,6.0,3.0,5.0,2.0,7.0,2.0,,,,,,,1.0,,,,,,,,
607,Ryan Luka Cordeiro de Souza,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_4G7ETFM.png,,31,Flamengo,0.0,113667,0.0,R. Luka,5,6,1.0,0.0,False,ryan-luka,Ryan Luka,262,,,,,,,,,,,,,,,,,,,,,
608,Diógenes Vinícius da Silva,0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TyR44XO.png,,31,Santos,0.0,113690,0.0,Diógenes,1,6,1.0,0.0,False,diogenes,Diógenes,277,,,,,,,,,,,,,,,,,,,,,
609,André Luiz Inácio da Silva,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_qtSFh6j.png,,31,Flamengo,0.0,114174,0.0,A. Luiz,5,6,1.29,-0.05,False,andre-luiz,André Luiz,262,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
610,Juan Pablo Vilela Tavares,0,https://s.sde.globo.com/media/person_role/2023/06/04/photo_FORMATO_s4c9qYu.png,,31,Cuiabá,0.0,114497,0.0,J. Tavares,2,6,1.0,0.0,False,juan-tavares,Juan Tavares,1371,,,,,,,,,,,,,,,,,,,,,
611,Cleiton Santana dos Santos,0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_L2MYyBn.png,,31,Flamengo,0.0,114790,0.0,Cleiton,3,6,3.0,0.0,False,cleiton,Cleiton,262,,,,,,,,,,,,,,,,,,,,,
612,Vitor Hugo Roque Ferreira,21,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0B2D0LR.png,,31,Athlético-PR,0.0,114802,0.0,V. Roque,5,5,12.47,7.59,False,vitor-roque,Vitor Roque,293,19.0,14.0,42.0,6.0,32.0,11.0,,,,,3.0,1.0,5.0,11.0,,1.0,,,,,
613,Luciano Silva Santos,0,https://s.sde.globo.com/media/person_role/2022/05/05/21a71a480463a1c9c0140cfd2b91c6d8_FORMATO.png,,31,Bragantino,0.0,114888,0.0,Luciano,4,6,2.0,0.0,False,luciano,Luciano,280,,,,,,,,,,,,,,,,,,,,,
614,Vinicius Pasquini Peruchi,0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_SsVd5Bj.png,,31,Cuiabá,0.0,114893,0.0,Peruchi,1,6,1.0,0.0,False,peruchi,Peruchi,1371,,,,,,,,,,,,,,,,,,,,,
615,Miguel Àngel Terceros,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_CgKUL3N.png,,31,Santos,0.0,115025,0.0,Miguelito,4,6,1.57,1.25,False,miguelito,Miguelito,277,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
616,Thauan Lara dos Santos,8,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_QvNiNqZ.png,,31,Internacional,0.0,115061,0.0,T. Lara,2,6,2.63,2.75,False,thauan-lara,Thauan Lara,285,5.0,2.0,12.0,1.0,6.0,1.0,,,2.0,,,,,,,,,,,,
617,Caio Matheus da Silva,0,https://s.sde.globo.com/media/person_role/2022/04/06/c624743dce9149ef9c0122f7eabd3337_FORMATO.png,,31,São Paulo,0.0,115227,0.0,Caio,5,6,3.0,0.0,False,caio,Caio,276,,,,,,,,,,,,,,,,,,,,,
618,Wesley Vinícius França Lima,29,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_FLI9Vom.png,,31,Flamengo,-0.5,115239,-0.6,Wesley,2,7,8.97,4.94,True,wesley,Wesley,262,55.0,4.0,41.0,3.0,44.0,3.0,,,10.0,,1.0,1.0,8.0,1.0,,2.0,,1.0,,,
619,Kaiky Marques Naves,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PUzC8ZB.png,,31,Palmeiras,0.0,115246,0.0,Naves,3,7,1.94,3.28,False,naves,Naves,275,6.0,,2.0,,6.0,,,,2.0,,,,,,,,,,,,
620,Kaique Pereira Azarias,0,https://s.sde.globo.com/media/person_role/2022/04/06/42c5ad338bd56af0c7eeb86e91a85304_FORMATO.png,,31,Palmeiras,0.0,115247,0.0,Kaique,1,6,1.0,0.0,False,kaique,Kaique,275,,,,,,,,,,,,,,,,,,,,,
621,Jhonatan dos Santos Rosa,17,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cdZiLf8.png,,31,Palmeiras,0.0,115248,0.0,J. Jhon,4,6,1.62,1.81,False,jhon-jhon,Jhon Jhon,275,19.0,4.0,11.0,4.0,21.0,3.0,,,,,1.0,,1.0,,,,,,,,
622,Rômulo Helberte Pereira Junior,0,https://s.sde.globo.com/media/person_role/2021/12/09/5cad18cd9645fbba0749287a12b4c476_FORMATO.png,,31,Atlético-MG,0.0,115268,0.0,Rômulo,3,6,1.0,0.0,False,romulo,Rômulo,282,,,,,,,,,,,,,,,,,,,,,
623,Emersonn Correia da Silva,0,https://s.sde.globo.com/media/person_role/2021/12/09/ef22051bd5702578dd49c2ea6d4bc4d8_FORMATO.png,,31,Athlético-PR,0.0,115273,0.0,Emersonn,5,6,1.0,0.0,False,emersonn,Emersonn,293,,,,,,,,,,,,,,,,,,,,,
624,Marcos Victor Ferreira da Silva,0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_PrZupVH.png,,31,Bahia,0.0,115537,0.0,M. Victor,3,6,4.0,0.0,False,marcos-victor,Marcos Victor,265,,,,,,,,,,,,,,,,,,,,,
625,Rodrigo Henrique Santos de Souza,14,https://s.sde.globo.com/media/person_role/2023/10/11/photo_FORMATO_TSPnsCz.png,,31,América-MG,-0.81,115563,4.7,Rodriguinho,4,7,3.9,4.01,True,rodriguinho,Rodriguinho,327,18.0,4.0,14.0,1.0,19.0,2.0,,,,,2.0,1.0,3.0,2.0,,,,,,,
626,Lucas Eduardo Müller - Milla,8,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GjZARIK.png,,31,Grêmio,0.0,115671,0.0,Mila,4,5,1.0,0.61,False,mila,Mila,284,5.0,3.0,3.0,2.0,10.0,,,,,,,,,,,,,,,,
627,Gabriel Delfim Ferreira,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_R1TAAd6.png,,31,Atlético-MG,0.0,115674,0.0,G. Delfim,1,6,2.0,0.0,False,gabriel-delfim,Gabriel Delfim,282,,,,,,,,,,,,,,,,,,,,,
628,José Vitor Geminiano Cavalieri,3,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_E9RklP7.png,,31,Vasco,0.0,115733,0.0,Z. Vitor,3,6,1.08,-1.2,False,ze-vitor,Zé Vitor,267,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,
629,Eric Lima Pimentel,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_bs3vmzt.png,,31,Vasco,0.0,115734,0.0,Pimentel,3,6,2.0,0.0,False,pimentel,Pimentel,267,,,,,,,,,,,,,,,,,,,,,
630,Jonathan da Cruz Silva,0,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_7Zk5L8m.png,,31,Bragantino,0.0,115870,0.0,Jonathan,2,6,1.0,0.0,False,jonathan,Jonathan,280,,,,,,,,,,,,,,,,,,,,,
631,Everton Gustavo Fernandes Araújo,0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_TQMbzmd.png,,31,Flamengo,0.0,115914,0.0,E. Araújo,4,6,1.0,0.0,False,evertton-araujo,Evertton Araújo,262,,,,,,,,,,,,,,,,,,,,,
632,Leanderson da Silva Genésio,23,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_JNinp65.png,,31,Fluminense,0.0,115915,0.0,Lelê,5,6,8.68,2.63,False,lele,Lelê,266,10.0,17.0,9.0,2.0,27.0,13.0,,,,,2.0,1.0,10.0,2.0,,,1.0,,,,
633,Endrick Felipe Moreira de Sousa,24,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6tQjxwx.png,,31,Palmeiras,2.84,115959,18.8,Endrick,5,7,9.84,3.49,True,endrick,Endrick,275,7.0,11.0,25.0,4.0,31.0,7.0,,,,,,2.0,2.0,7.0,,1.0,,,1.0,,
634,Denilson Alves Borges,24,https://s.sde.globo.com/media/person_role/2022/10/15/photo_FORMATO_sqKxYTo.png,,31,Cuiabá,0.64,115986,2.4,Denilson,4,7,4.73,2.98,True,denilson,Denilson,1371,29.0,9.0,28.0,7.0,31.0,9.0,,,,,2.0,1.0,,1.0,,,,,,,
635,Mateus Henrique Alves Silva,7,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_qdMBMKN.png,,31,América-MG,-0.04,115997,-0.1,M. Henrique,4,6,1.29,2.45,True,mateus-henrique,Mateus Henrique,327,9.0,1.0,9.0,1.0,10.0,,,,,,1.0,,,,,,,,,,
636,Adyson do Nascimento Soares,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_KOZ7smb.png,,31,América-MG,0.0,115998,0.0,Adyson,5,6,2.21,1.8,False,adyson,Adyson,327,4.0,,,,2.0,1.0,,,,,,,,,,,,,,,
637,Wallison Nunes Silva,0,,,31,Botafogo,0.0,116000,0.0,Wallison,2,6,1.0,0.0,False,wallison,Wallison,263,,,,,,,,,,,,,,,,,,,,,
638,Matheus Gonçalves Martins,10,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_qMCtXjD.png,,31,Bragantino,0.0,116012,0.0,M. Gonçalves,4,2,2.84,1.97,False,matheus-goncalves,Matheus Gonçalves,280,4.0,6.0,8.0,2.0,6.0,,,,,,1.0,1.0,1.0,,,2.0,,,,,
639,Igor Jesus Lima,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_fA4Y3X6.png,,31,Flamengo,0.0,116013,0.0,I. Jesus,4,6,1.77,1.08,False,igor-jesus,Igor Jesus,262,2.0,3.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,
640,Petterson Novaes Reis,0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_lUPHYVN.png,,31,Flamengo,0.0,116025,0.0,Petterson,5,6,2.0,0.0,False,petterson,Petterson,262,,,,,,,,,,,,,,,,,,,,,
641,Victor Hugo Gomes Silva,26,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_nUR0WYM.png,,31,Flamengo,0.16,116034,3.1,V. Hugo,4,6,6.26,2.48,True,victor-hugo,Victor Hugo,262,27.0,5.0,23.0,1.0,9.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,
642,Vitor Hugo Santos Graziani,0,https://s.sde.globo.com/media/person_role/2023/04/01/photo_FORMATO_bXh4eA4.png,,31,Atlético-MG,0.0,116046,0.0,V. Graziani,4,6,1.0,0.0,False,vitor-graziani,Vitor Graziani,282,,,,,,,,,,,,,,,,,,,,,
643,Raí da Silva Pessanha,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_n8x32pL.png,,31,Botafogo,0.0,116048,0.0,Raí,4,6,2.11,0.0,False,rai,Raí,263,,,,,,,,,,,,,,,,,,,,,
644,Luís Eduardo Soares da Silva,9,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ER9oADt.png,,31,Grêmio,0.0,116065,0.0,Cuiabano,2,6,5.36,3.42,False,cuiabano,Cuiabano,284,13.0,3.0,9.0,3.0,17.0,3.0,,,1.0,,,,2.0,1.0,,,,,,,
645,João Moreira Sanmartin Souza,1,https://s.sde.globo.com/media/person_role/2022/03/01/b2773da8a486428f92cda01d2ab65d9e_FORMATO.png,,31,São Paulo,0.0,116137,0.0,J. Moreira,2,5,3.02,4.8,False,joao-moreira,João Moreira,276,2.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,
646,Gabriel Silva Azevedo Figueiredo,1,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_kENShcR.png,,31,Coritiba,0.0,116282,0.0,G. Silva,4,6,0.95,1.2,False,gabriel-silva,Gabriel Silva,294,1.0,,,,,,,,,,,,,,,,,,,,
647,Hércules Pereira do Nascimento,13,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_U5EjTT7.png,,31,Fortaleza,0.0,116447,0.0,Hércules,4,5,6.61,3.09,False,hercules,Hércules,356,20.0,7.0,7.0,1.0,15.0,4.0,,,,,,,2.0,1.0,,,,,,,
648,André Dhominique Queiroz Santiago Da Silva,3,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kQwNdzi.png,,31,Bahia,0.0,116450,0.0,André,2,5,2.08,0.43,False,andre,André,265,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
649,Jamerson Santos de Jesus,26,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vdcH1tF.png,,31,Coritiba,0.16,116461,1.2,Jamerson,2,6,6.37,2.83,True,jamerson,Jamerson,294,37.0,7.0,9.0,4.0,21.0,4.0,,,4.0,,1.0,,3.0,,,,,,,,
650,Ezequiel Alves de Oliveira Vieira,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_DI919Pv.png,,31,Goiás,0.0,116562,0.0,Ezequiel,1,6,1.0,0.0,False,ezequiel,Ezequiel,290,,,,,,,,,,,,,,,,,,,,,
651,Jhonny Cardinoti Pedro,0,https://s.sde.globo.com/media/person_role/2022/02/24/07c2ee6d264dd5863593c52fdaba42b5_FORMATO.png,,31,Bragantino,0.0,116825,0.0,Jhonny,2,6,1.0,0.0,False,jhonny,Jhonny,280,,,,,,,,,,,,,,,,,,,,,
652,Reginaldo dos Santos Moreira,0,https://s.sde.globo.com/media/person_role/2022/04/15/c6b1985503cc71ba6d6154b448940158_FORMATO.png,,31,Goiás,0.0,116835,0.0,Reginaldo,5,6,1.0,0.0,False,reginaldo,Reginaldo,290,,,,,,,,,,,,,,,,,,,,,
653,Pedro Henrique Fonseca de Araújo Martins,1,https://s.sde.globo.com/media/person_role/2022/09/27/photo_FORMATO_1oFhhWx.png,,31,Flamengo,0.0,117112,0.0,Pedrinho,4,6,0.74,0.0,False,pedrinho,Pedrinho,262,,,,,,,,,,,,,,,,,,,,,
654,Thiago Nicolás Borbas Silva,25,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_y6Ph2tU.png,,31,Bragantino,0.97,117314,10.1,T. Borbas,5,2,8.03,3.84,True,thiago-borbas,Thiago Borbas,280,10.0,15.0,11.0,7.0,36.0,15.0,,,,,2.0,,2.0,7.0,,,,,,,
655,João Luiz da Silva Cipriano,1,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO_jkA9tzz.png,,31,Bragantino,0.0,117336,0.0,Cipriano,3,5,3.12,6.4,False,cipriano,Cipriano,280,3.0,,,1.0,4.0,,,,1.0,,,,,,,,,,,,
656,Renato Marques de Oliveira Júnior,7,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_mDKWEgg.png,,31,América-MG,0.0,117403,0.0,R. Marques,5,6,2.12,1.82,False,renato-marques,Renato Marques,327,2.0,1.0,1.0,2.0,6.0,,,,,,1.0,,2.0,1.0,,,,,,,
657,Leonardo Mana Hernandes,3,https://s.sde.globo.com/media/person_role/2022/07/02/5c3199a34de47846ae66a0560d4e7417_FORMATO.png,,31,Corinthians,0.0,117459,0.0,L. Maná,2,6,1.45,0.67,False,leo-mana,Léo Maná,264,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,
658,Giuliano Galoppo,0,https://s.sde.globo.com/media/person_role/2022/07/26/2ca20d35cbccce7d03bb8c585af8fddc_FORMATO.png,,31,São Paulo,0.0,117579,0.0,Galoppo,4,5,5.0,0.0,False,galoppo,Galoppo,276,,,,,,,,,,,,,,,,,,,,,
659,Pedro Miguel Faria Caixinha,29,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LvzP4JH.png,,31,Bragantino,0.96,117711,8.95,P. Caixinha,6,7,12.62,6.04,True,pedro-caixinha,Pedro Caixinha,280,,,,,,,,,,14.0,,,,,,,,,,,
660,Young Navarro Moraes,0,https://s.sde.globo.com/media/person_role/2023/06/07/photo_FORMATO.png,,31,São Paulo,0.0,117818,0.0,Young,1,6,1.0,0.0,False,young,Young,276,,,,,,,,,,,,,,,,,,,,,
661,Giovane Santana do Nascimento,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_TquvINB.png,,31,Corinthians,0.0,117849,0.0,Giovane,5,5,2.14,1.4,False,giovane,Giovane,264,1.0,2.0,,,,,,,,,,,,,,,,,,,
662,Estevão Barreto de Oliveira,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_HFq77iJ.png,,31,Internacional,0.0,117870,0.0,Estevão,4,6,2.11,0.2,False,estevao,Estevão,285,,,1.0,,1.0,,,,,,,,,,,,,,,,
663,Wesley Gassova Ribeiro Teixeira,18,https://s.sde.globo.com/media/person_role/2022/04/19/e9c12ff02569765cb5c876412fae8bb8_FORMATO.png,,31,Corinthians,0.48,117909,4.2,Wesley,5,6,3.91,2.33,True,wesley,Wesley,264,14.0,6.0,25.0,2.0,9.0,3.0,,,,,,,1.0,1.0,,1.0,,,,,
664,Valentín Nicolás Adamo Reyes,0,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_m5MUr53.png,,31,Botafogo,0.0,117934,0.0,Adamo,5,6,3.0,0.0,False,adamo,Adamo,263,,,,,,,,,,,,,,,,,,,,,
665,Nathan Camargo dos Santos,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JrPbIiU.png,,31,Bragantino,0.0,118175,0.0,N. Camargo,4,5,1.53,0.5,False,nathan-camargo,Nathan Camargo,280,,,1.0,,,,,,,,,,,,,,,,,,
666,Ronald Cardoso Falkoski,6,https://s.sde.globo.com/media/person_role/2023/07/04/photo_FORMATO_juUTHsW.png,,31,Grêmio,0.0,118238,0.0,Ronald,4,6,1.21,1.98,False,ronald,Ronald,284,2.0,2.0,3.0,1.0,2.0,,,,,,,,,1.0,,,,,,,
667,Pedro Junqueira de Oliveira,1,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_vpwMN7R.png,,31,Goiás,0.0,118304,0.0,Pedrinho,5,6,1.31,-0.3,False,pedrinho,Pedrinho,290,,,,,1.0,,,,,,,,,,,,,,,,
668,Denzel Nogueira Damasceno,1,https://s.sde.globo.com/media/person_role/2023/09/20/photo_FORMATO_h89EHCY.png,,31,Goiás,0.0,118367,0.0,Denzel,5,6,0.74,0.0,False,denzel,Denzel,290,,,,,,,,,,,,,,,,,,,,,
669,José Welinton Campos Menezes,0,https://s.sde.globo.com/media/person_role/2022/06/29/eb9c2188bfd2d30e670faa55785ea3f2_FORMATO.png,,31,Flamengo,0.0,118501,0.0,Z. Welinton,2,6,1.0,0.0,False,ze-welinton,Zé Welinton,262,,,,,,,,,,,,,,,,,,,,,
670,Rodrigo Huendra Almeida Mendonça,11,https://s.sde.globo.com/media/person_role/2022/07/03/2c39fe8401bb55ea80a9a5bf0fde08ef_FORMATO.png,,31,São Paulo,0.0,118563,0.0,Rodriguinho,4,6,0.93,0.56,False,rodriguinho,Rodriguinho,276,7.0,1.0,1.0,3.0,12.0,,,,,,,1.0,,,,,,,,,
671,Weslley Pinto Batista,6,https://s.sde.globo.com/media/person_role/2022/07/10/a604fa10e6f654cdd7a69453df88ea07_FORMATO.jpeg,,31,Santos,0.0,118676,0.0,W. Patati,5,6,2.21,2.25,False,weslley-patati,Weslley Patati,277,7.0,2.0,3.0,,1.0,2.0,,,,,,,1.0,,,,,,,,
672,Kevyson Costa e Silva,12,https://s.sde.globo.com/media/person_role/2023/09/29/photo_FORMATO_RW7aWbF.png,,31,Santos,0.33,118701,3.0,Kevyson,2,7,1.6,1.55,True,kevyson,Kevyson,277,16.0,2.0,5.0,1.0,7.0,2.0,,,,,,,,,1.0,,,1.0,,,
673,Calebe Oliveira Costa,0,https://s.sde.globo.com/media/person_role/2023/06/04/photo_FORMATO_ILdcwWv.png,,31,Cuiabá,0.0,118709,0.0,Calebe,4,6,1.0,0.0,False,calebe,Calebe,1371,,,,,,,,,,,,,,,,,,,,,
674,Ed Carlos de Arruda Amorim,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7WKkp5D.png,,31,Santos,0.0,118747,0.0,E. Carlos,4,6,2.0,0.5,False,ed-carlos,Ed Carlos,277,1.0,1.0,,,,,,,,,,,,,,,,,,,
