,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
38,Uilson de Souza Paula Júnior,3,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,,31,Santos,0.0,63011,0.0,J. Caiçara,2,6,2.19,0.8,False,junior-caicara,Júnior Caiçara,277,3.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,
39,Marcos Luis Rocha Aquino,14,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,,31,Palmeiras,0.0,63013,0.0,M. Rocha,2,7,6.73,5.63,False,marcos-rocha,Marcos Rocha,275,22.0,2.0,8.0,1.0,14.0,,,,8.0,,1.0,,,1.0,,,,1.0,,,
40,Fransérgio Rodrigues Barbosa,14,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,,31,Coritiba,0.0,63024,0.0,Fransérgio,4,6,3.43,0.97,False,fransergio,Fransérgio,294,7.0,5.0,7.0,1.0,8.0,1.0,,,,,,,1.0,,,,,,,,
41,Willian Roberto Farias,9,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,,31,Coritiba,1.41,63058,5.8,W. Farias,4,7,3.7,1.2,True,willian-farias,Willian Farias,294,11.0,3.0,7.0,2.0,11.0,,,,,,,,,,,,1.0,,,,
42,Edenílson Andrade dos Santos,22,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,,31,Atlético-MG,-0.21,63289,0.0,Edenílson,4,6,4.63,1.76,True,edenilson,Edenílson,282,20.0,1.0,11.0,,14.0,2.0,,,,,2.0,,,,,,,,,,
43,Rodrigo Modesto da Silva Moledo,7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,,31,Internacional,0.0,63354,0.0,R. Moledo,3,3,2.82,1.26,False,rodrigo-moledo,Rodrigo Moledo,285,4.0,,3.0,3.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,
44,Alan Patrick Lourenço,28,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,,31,Internacional,-1.0,68685,4.5,A. Patrick,4,7,9.39,3.61,True,alan-patrick,Alan Patrick,285,15.0,16.0,47.0,5.0,23.0,6.0,,,,,5.0,1.0,4.0,3.0,,,,,,,
45,Carlos Eduardo de Oliveira Alves,27,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,,31,Botafogo,0.66,68708,8.0,Eduardo,4,7,13.2,4.35,True,eduardo,Eduardo,263,16.0,9.0,43.0,5.0,28.0,10.0,,,,,5.0,2.0,,5.0,,,,,,,
46,José Rodolfo Pires Ribeiro,15,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,,31,Santos,0.0,68727,0.0,Dodô,2,7,4.03,2.11,False,dodo,Dodô,277,24.0,2.0,8.0,3.0,11.0,,,,,,1.0,,3.0,,,,,1.0,,,
47,Guilherme de Aguiar Camacho,10,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,,31,Santos,0.0,68770,0.0,Camacho,4,6,1.79,0.63,False,camacho,Camacho,277,14.0,,2.0,3.0,18.0,,,,,,,,1.0,,,,1.0,,,,
48,Marcelo Lomba do Nascimento,3,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,31,Palmeiras,0.0,68872,0.0,M. Lomba,1,6,6.17,4.83,False,marcelo-lomba,Marcelo Lomba,275,,,1.0,,,,12.0,3.0,1.0,,,,,,,,,,,,
49,Wellington Alves da Silva,26,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,,31,Cuiabá,-0.1,68895,-0.3,W. Silva,5,6,4.3,2.52,True,wellington-silva,Wellington Silva,1371,24.0,6.0,36.0,1.0,13.0,5.0,,,,,1.0,,3.0,1.0,,,,,,,
50,Vinicius Santos Silva,19,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,,31,Goiás,-0.47,68917,2.2,Vinicius,5,7,6.68,2.64,True,vinicius,Vinicius,290,16.0,13.0,11.0,1.0,13.0,6.0,,,,,2.0,1.0,4.0,,,,,,,,
51,Eduardo Pereira Rodrigues,14,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,,31,Palmeiras,0.0,68920,0.0,Dudu,5,5,14.16,6.04,False,dudu,Dudu,275,7.0,11.0,40.0,,9.0,7.0,,,,,3.0,1.0,3.0,3.0,,,,,,,
52,Carlos Gilberto do Nascimento Silva,27,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,,31,Corinthians,-0.06,68923,5.0,Gil,3,7,6.76,3.77,True,gil,Gil,264,29.0,7.0,6.0,8.0,27.0,7.0,,,8.0,,2.0,,4.0,2.0,,,,,,,
53,Rafael Pires Monteiro,26,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,31,São Paulo,1.32,68928,9.0,Rafael,1,6,8.47,2.97,True,rafael,Rafael,276,1.0,,2.0,1.0,,,67.0,31.0,8.0,,,,,,,,,,,,
54,Rafael Cabral Barbosa,28,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,,31,Cruzeiro,-0.31,68940,3.0,R. Cabral,1,7,10.25,3.95,True,rafael-cabral,Rafael Cabral,283,1.0,,4.0,3.0,,,81.0,25.0,11.0,,,,,,,,,1.0,,,
55,Luciano Castán da Silva,27,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,,31,Cruzeiro,-0.46,68942,2.9,L. Castán,3,7,6.86,3.44,True,luciano-castan,Luciano Castán,283,18.0,8.0,14.0,6.0,20.0,6.0,,,11.0,,,,1.0,1.0,,,,,,,
