,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.media_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.posicao_id,atletas.atleta_id,CA,DS,FC,FF,FS,FD,G,I,SG,A,FT,CV,DE,DP,GC,GS,PS,PC,PP,V
44,263,12,Carlos Eduardo de Oliveira Alves,5.03,10,1.5,Eduardo,12.55,Eduardo,eduardo,Botafogo,7,-0.31,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,2.4,4,68708,3.0,8.0,16.0,1.0,25.0,1.0,2.0,,,3.0,1.0,,,,,,,,,
45,282,12,José Rodolfo Pires Ribeiro,2.2,1,4.95,Dodô,3.94,Dodô,dodo,Atlético-MG,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,0.0,2,68727,,1.0,,,2.0,,,,,,,,,,,,,,,
46,277,12,Guilherme de Aguiar Camacho,1.06,5,0.18,Camacho,1.91,Camacho,camacho,Santos,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,0.0,4,68770,1.0,10.0,12.0,,2.0,,,1.0,,,,1.0,,,,,,,,
47,327,12,Henrique Almeida Caixeta Nascentes,1.17,3,0.9,Henrique Almeida,3.37,H. Almeida,henrique-almeida,América-MG,6,0.0,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,0.0,5,68773,,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,
48,275,12,Marcelo Lomba do Nascimento,1.0,1,7.91,Marcelo Lomba,5.89,M. Lomba,marcelo-lomba,Palmeiras,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,1,68872,,,,,,,,,,,,,2.0,,,1.0,,,,
49,1371,12,Wellington Alves da Silva,1.62,11,0.49,Wellington Silva,3.52,W. Silva,wellington-silva,Cuiabá,7,0.02,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,0.8,5,68895,1.0,7.0,6.0,3.0,15.0,2.0,,2.0,,,,,,,,,,,,
50,284,12,Diego Souza de Andrade,0.0,0,9.64,Diego Souza,7.0,D. Souza,diego-souza,Grêmio,5,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,0.0,5,68911,,,,,,,,,,,,,,,,,,,,
51,290,12,Vinicius Santos Silva,3.58,6,2.1,Vinicius,7.3,Vinicius,vinicius,Goiás,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,0.0,5,68917,1.0,9.0,4.0,6.0,7.0,4.0,,2.0,,,,,,,,,,,,
52,275,12,Eduardo Pereira Rodrigues,5.85,12,0.36,Dudu,14.65,Dudu,dudu,Palmeiras,7,-0.66,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,0.7,5,68920,,5.0,7.0,9.0,34.0,7.0,2.0,3.0,,3.0,1.0,,,,,,,,,
53,264,12,Carlos Gilberto do Nascimento Silva,2.15,11,0.68,Gil,4.6,Gil,gil,Corinthians,7,-0.61,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,1.1,3,68923,4.0,11.0,13.0,4.0,3.0,3.0,,,2.0,,,,,,,,,,,
