,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.preco_num,atletas.pontos_num,atletas.jogos_num,atletas.clube.id.full.name,atletas.foto,atletas.atleta_id,atletas.posicao_id,atletas.media_num,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.nome,atletas.clube_id,atletas.slug,atletas.apelido,atletas.rodada_id,CA,DS,FC,FF,FS,G,SG,A,FD,PS,I,CV,PC,FT,PP,DE,GS,GC,V,DP,PI
44,True,,12.23,1.4,22,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,68708,4,4.27,7,-0.42,Eduardo,Carlos Eduardo de Oliveira Alves,263,eduardo,Eduardo,25,4.0,13.0,26.0,7.0,39.0,4.0,,4.0,6.0,,,,,2.0,,,,,,,
45,True,,4.02,3.6,11,Santos,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,68727,2,1.75,7,0.12,Dodô,José Rodolfo Pires Ribeiro,277,dodo,Dodô,25,3.0,12.0,6.0,2.0,7.0,,,1.0,,,3.0,,,,,,,,,,
46,True,,2.0,1.2,9,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,68770,4,0.71,6,0.17,Camacho,Guilherme de Aguiar Camacho,277,camacho,Camacho,25,2.0,13.0,17.0,,2.0,,,,,,1.0,1.0,,,,,,,,,
47,True,,6.17,4.5,3,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,68872,1,4.83,7,-0.61,M. Lomba,Marcelo Lomba do Nascimento,275,marcelo-lomba,Marcelo Lomba,25,,,,,1.0,,1.0,,,,,,,,,12.0,3.0,,,,
48,True,,4.96,3.7,22,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,68895,5,2.84,6,0.33,W. Silva,Wellington Alves da Silva,1371,wellington-silva,Wellington Silva,25,1.0,22.0,11.0,6.0,33.0,1.0,,1.0,5.0,,2.0,,,,,,,,,,
49,False,,6.52,0.0,15,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,68917,5,2.81,6,0.0,Vinicius,Vinicius Santos Silva,290,vinicius,Vinicius,25,1.0,15.0,9.0,10.0,10.0,,,1.0,6.0,,3.0,,,1.0,,,,,,,
50,False,,14.16,0.0,14,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,68920,5,6.04,5,0.0,Dudu,Eduardo Pereira Rodrigues,275,dudu,Dudu,25,,7.0,9.0,11.0,40.0,3.0,,3.0,7.0,,3.0,,,1.0,,,,,,,
51,True,,5.51,-0.6,21,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,68923,3,3.47,7,-2.28,Gil,Carlos Gilberto do Nascimento Silva,264,gil,Gil,25,7.0,22.0,21.0,6.0,6.0,2.0,6.0,,5.0,,4.0,,,,,,,,,,
52,True,,7.0,0.0,20,São Paulo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,68928,1,2.86,7,-0.26,Rafael,Rafael Pires Monteiro,276,rafael,Rafael,25,,1.0,,,2.0,,5.0,,,,,,,,,53.0,23.0,,,,
53,True,,10.66,5.0,24,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,68940,1,4.1,7,0.43,R. Cabral,Rafael Cabral Barbosa,283,rafael-cabral,Rafael Cabral,25,3.0,1.0,,,4.0,,9.0,,,,,,1.0,,,76.0,22.0,,,,
54,True,,7.64,9.2,23,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,68942,3,3.4,7,0.97,L. Castán,Luciano Castán da Silva,283,luciano-castan,Luciano Castán,25,6.0,15.0,18.0,6.0,14.0,1.0,9.0,,6.0,,1.0,,,,,,,,,,
55,False,,4.38,0.0,14,Fortaleza,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,68952,5,3.32,6,0.0,Marinho,Mário Sérgio Santos Costa,356,marinho,Marinho,25,5.0,10.0,17.0,8.0,39.0,1.0,,1.0,6.0,3.0,5.0,,,,1.0,,,,,,
56,True,,6.87,7.2,13,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,68991,4,3.28,7,0.85,L. Sasha,Lucas Pacheco Affini,356,lucas-sasha,Lucas Sasha,25,2.0,34.0,19.0,3.0,12.0,,,,1.0,,1.0,,,,,,,,,,
57,False,,3.0,0.0,0,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,69010,1,0.0,6,0.0,J. Carlos,João Carlos Heidemann,1371,joao-carlos,João Carlos,25,,,,,,,,,,,,,,,,,,,,,
58,False,,9.47,0.0,6,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,69012,1,3.25,6,0.0,Santos,Aderbar Melo dos Santos Neto,262,santos,Santos,25,,,,,1.0,,2.0,,,,,,,,,17.0,8.0,,,,
