,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
39,Coritiba,2.3,0.0,3,W. Farias,6,Willian Roberto Farias,willian-farias,3.8,Willian Farias,7,4,2.43,0.0,294,63058,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
40,Atlético-MG,0.88,1.2,6,Edenílson,6,Edenílson Andrade dos Santos,edenilson,5.14,Edenílson,6,4,2.2,-0.1,282,63289,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,,6.0,4.0,1.0,,2.0,,,,,,,,,,1.0,,,,
41,Internacional,2.1,0.0,3,R. Moledo,6,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,3.12,Rodrigo Moledo,7,3,0.9,0.0,285,63354,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,2.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
42,Internacional,3.52,0.0,5,A. Patrick,6,Alan Patrick Lourenço,alan-patrick,9.44,Alan Patrick,7,4,2.96,0.0,285,68685,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,1.0,2.0,3.0,1.0,2.0,13.0,,,,,,,,,,1.0,,,,
43,Botafogo,3.09,4.6,6,Eduardo,6,Carlos Eduardo de Oliveira Alves,eduardo,13.71,Eduardo,7,4,6.07,-0.73,263,68708,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,1.0,5.0,8.0,,1.0,14.0,2.0,,,,,,,,,2.0,,,,
44,Atlético-MG,5.65,0.0,0,Dodô,6,José Rodolfo Pires Ribeiro,dodo,5.0,Dodô,6,2,0.0,0.0,282,68727,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,,,,,,,,,,,,,,,,,,,,
45,Santos,0.59,0.0,3,Camacho,6,Guilherme de Aguiar Camacho,camacho,2.73,Camacho,7,4,1.8,0.0,277,68770,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,1.0,7.0,8.0,,,1.0,,1.0,,,,,,,,,,,,
46,América-MG,1.09,0.0,2,H. Almeida,6,Henrique Almeida Caixeta Nascentes,henrique-almeida,4.23,Henrique Almeida,6,5,1.45,0.0,327,68773,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,,,3.0,,1.0,,,,1.0,,,,,,,,,,,
47,Palmeiras,9.04,0.0,0,M. Lomba,6,Marcelo Lomba do Nascimento,marcelo-lomba,8.0,Marcelo Lomba,6,1,0.0,0.0,275,68872,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,,,,,,,,,,,,,,,,,,,
48,Cuiabá,2.53,4.4,5,W. Silva,6,Wellington Alves da Silva,wellington-silva,3.77,Wellington Silva,7,5,1.56,0.65,1371,68895,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,,4.0,2.0,1.0,,5.0,,1.0,,,,,,,,,,,,
49,Grêmio,7.91,0.0,0,D. Souza,6,Diego Souza de Andrade,diego-souza,7.0,Diego Souza,6,5,0.0,0.0,284,68911,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,,,,,,,,,,,,,,,,,,,,
50,Goiás,2.51,0.0,5,Vinicius,6,Vinicius Santos Silva,vinicius,7.92,Vinicius,7,5,3.96,0.0,290,68917,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,1.0,8.0,4.0,4.0,6.0,6.0,,2.0,,,,,,,,,,,,
51,Palmeiras,1.49,1.5,6,Dudu,6,Eduardo Pereira Rodrigues,dudu,14.75,Dudu,7,5,6.43,-1.15,275,68920,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,,3.0,2.0,4.0,6.0,10.0,1.0,,1.0,,,,,,,2.0,,,,
52,Corinthians,-0.63,-1.6,6,Gil,6,Carlos Gilberto do Nascimento Silva,gil,3.36,Gil,7,3,0.45,-0.58,264,68923,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,2.0,4.0,7.0,1.0,1.0,,,,,,,,,,,,,,,
53,São Paulo,0.82,1.0,6,Rafael,6,Rafael Pires Monteiro,rafael,8.12,Rafael,7,1,5.33,-1.33,276,68928,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,,,,,,,,,3.0,,,21.0,4.0,,,,,,
