,atletas.clube.id.full.name,atletas.posicao_id,atletas.jogos_num,atletas.atleta_id,atletas.nome,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.foto,CA,DS,FC,FD,FF,FS,FT,G,SG,A,I,V,PP,PS,DE,GS,CV,DP,GC,PC
31,Flamengo,3,7,52827,David Luiz Moreira Marinho,-0.3,11,D. Luiz,,-0.93,6,david-luiz,David Luiz,4.5,262,6.78,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1.0,7.0,9.0,1.0,2.0,2.0,,1.0,2.0,1.0,,,,,,,,,,
32,Vasco,4,11,60793,Alex Teixeira Santos,5.5,11,A. Teixeira,,0.26,7,alex-teixeira,Alex Teixeira,3.03,267,6.88,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,1.0,5.0,18.0,4.0,9.0,15.0,,,,3.0,7.0,,,,,,,,,
33,América-MG,5,10,60825,Felipe Azevedo dos Santos,0.0,11,F. Azevedo,,0.0,6,felipe-azevedo,Felipe Azevedo,2.76,327,5.56,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,,6.0,8.0,3.0,3.0,12.0,1.0,1.0,,,1.0,,,,,,,,,
34,Cuiabá,2,0,60852,Uendel Pereira Gonçalves,0.0,11,Uendel,,0.0,6,uendel,Uendel,0.0,1371,4.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,,,,,,,,,,,,,,,,,,,
35,Bahia,2,4,61106,Neuciano de Jesus Gusmão,6.3,11,Cicinho,,0.55,7,cicinho,Cicinho,5.0,265,4.42,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,2.0,7.0,12.0,1.0,,6.0,1.0,,2.0,,,,,,,,,,,
36,Cruzeiro,5,11,61188,Gilberto Oliveira Souza Júnior,0.5,11,Gilberto,,-0.91,7,gilberto,Gilberto,4.57,283,8.76,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,2.0,5.0,11.0,5.0,15.0,6.0,,3.0,,1.0,4.0,,,,,,,,,
37,Fluminense,5,1,62969,Alan Douglas Borges de Carvalho,0.0,11,Alan,,0.0,6,alan,Alan,8.0,266,5.29,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,,,,,,,,1.0,,,,,,,,,,,,
38,Fluminense,4,10,62977,Paulo Henrique Chagas de Lima,4.3,11,Ganso,,-0.56,7,ganso,Ganso,5.93,266,12.01,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,1.0,9.0,4.0,2.0,1.0,17.0,,3.0,,3.0,1.0,,,,,,,,,
39,Palmeiras,2,2,63013,Marcos Luis Rocha Aquino,0.0,11,M. Rocha,,0.0,6,marcos-rocha,Marcos Rocha,3.3,275,5.12,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,,5.0,3.0,,,3.0,,,,,,,,,,,,,,
40,Coritiba,4,3,63058,Willian Roberto Farias,0.0,11,W. Farias,,0.0,6,willian-farias,Willian Farias,2.43,294,3.8,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
41,Atlético-MG,4,10,63289,Edenílson Andrade dos Santos,0.5,11,Edenílson,,0.02,6,edenilson,Edenílson,1.82,282,4.84,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,,9.0,4.0,1.0,,5.0,,,,1.0,,,,,,,,,,
