,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.entrou_em_campo,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.media_num,atletas.atleta_id,atletas.clube_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.foto,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PC,SG,PS,PP,DE,GS,PI,DP,GC,V
41,,4,Edenílson Andrade dos Santos,Atlético-MG,edenilson,16,6,True,19,-0.3,Edenílson,1.87,63289,282,Edenílson,4.75,-0.1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,2.0,,15.0,12.0,1.0,1.0,7.0,,,,,,,,,,,,,,
42,,3,Rodrigo Modesto da Silva Moledo,Internacional,rodrigo-moledo,7,3,False,19,0.0,Rodrigo Moledo,1.26,63354,285,R. Moledo,2.82,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,,1.0,,,,,,,,
43,,4,Alan Patrick Lourenço,Internacional,alan-patrick,16,7,True,19,0.9,Alan Patrick,2.31,68685,285,A. Patrick,8.04,-0.19,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,2.0,4.0,6.0,13.0,4.0,8.0,27.0,1.0,,2.0,,,,,,,,,,,
44,,4,Carlos Eduardo de Oliveira Alves,Botafogo,eduardo,16,7,True,19,7.1,Eduardo,5.06,68708,263,Eduardo,13.34,1.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,4.0,4.0,8.0,22.0,5.0,3.0,31.0,2.0,4.0,,,,,,,,,,,,
45,,2,José Rodolfo Pires Ribeiro,Santos,dodo,6,7,True,19,0.0,Dodô,2.15,68727,277,Dodô,3.51,-0.73,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,,1.0,10.0,2.0,,,5.0,,,,,,,,,,,,,,
46,,4,Guilherme de Aguiar Camacho,Santos,camacho,8,6,True,19,-0.6,Camacho,0.65,68770,277,Camacho,1.83,0.11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,,2.0,12.0,17.0,,,2.0,,,1.0,1.0,,,,,,,,,,
47,,1,Marcelo Lomba do Nascimento,Palmeiras,marcelo-lomba,2,7,True,19,9.0,Marcelo Lomba,5.0,68872,275,M. Lomba,6.78,0.89,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,,,,,,,,,,,,1.0,,,6.0,1.0,,,,
48,,5,Wellington Alves da Silva,Cuiabá,wellington-silva,16,6,False,19,0.0,Wellington Silva,2.24,68895,1371,W. Silva,4.54,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,1.0,1.0,16.0,7.0,2.0,3.0,20.0,,,2.0,,,,,,,,,,,
49,,5,Vinicius Santos Silva,Goiás,vinicius,11,6,True,19,4.2,Vinicius,3.0,68917,290,Vinicius,7.14,0.69,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,,1.0,13.0,8.0,5.0,9.0,10.0,1.0,,3.0,,,,,,,,,,,
50,,5,Eduardo Pereira Rodrigues,Palmeiras,dudu,13,6,False,19,0.0,Dudu,6.36,68920,275,Dudu,16.34,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,3.0,,6.0,8.0,7.0,11.0,38.0,1.0,3.0,3.0,,,,,,,,,,,
