,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
42,Rodrigo Modesto da Silva Moledo,0.0,,9,5,3.93,63354,0.0,3,R. Moledo,rodrigo-moledo,Internacional,1.86,Rodrigo Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,6,285,,4.0,2.0,1.0,,2.0,,,1.0,2.0,1.0,,,,,,,,,
43,Alan Patrick Lourenço,2.6,,9,8,9.18,68685,0.05,4,A. Patrick,alan-patrick,Internacional,3.26,Alan Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,7,285,2.0,4.0,6.0,3.0,3.0,18.0,,,,2.0,,,,,,,,,,
44,Carlos Eduardo de Oliveira Alves,0.0,,9,8,14.08,68708,0.0,4,Eduardo,eduardo,Botafogo,5.64,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,6,263,3.0,6.0,13.0,,1.0,18.0,1.0,2.0,,2.0,,,,,,,,,,
45,José Rodolfo Pires Ribeiro,0.0,,9,1,3.94,68727,0.0,2,Dodô,dodo,Atlético-MG,2.2,Dodô,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,6,282,,1.0,,,,2.0,,,,,,,,,,,,,,
46,Guilherme de Aguiar Camacho,0.0,,9,4,2.9,68770,0.0,4,Camacho,camacho,Santos,2.0,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,6,277,,9.0,9.0,,,2.0,,,1.0,1.0,,,,,,,,,,
47,Henrique Almeida Caixeta Nascentes,0.6,,9,3,3.37,68773,-0.86,5,H. Almeida,henrique-almeida,América-MG,1.17,Henrique Almeida,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,6,327,,,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,
48,Marcelo Lomba do Nascimento,0.0,,9,0,8.0,68872,0.0,1,M. Lomba,marcelo-lomba,Palmeiras,0.0,Marcelo Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,6,275,,,,,,,,,,,,,,,,,,,,
49,Wellington Alves da Silva,5.4,,9,8,4.19,68895,0.71,5,W. Silva,wellington-silva,Cuiabá,1.93,Wellington Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,7,1371,,7.0,3.0,2.0,2.0,10.0,,,1.0,1.0,,,,,,,,,,
50,Diego Souza de Andrade,0.0,,9,0,7.0,68911,0.0,5,D. Souza,diego-souza,Grêmio,0.0,Diego Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,6,284,,,,,,,,,,,,,,,,,,,,
51,Vinicius Santos Silva,1.7,,9,6,7.3,68917,-0.62,5,Vinicius,vinicius,Goiás,3.58,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,7,290,,9.0,4.0,4.0,6.0,7.0,,,2.0,1.0,,,,,,,,,,
