,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.status_id,atletas.jogos_num,atletas.media_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.preco_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.nome,atletas.foto,A,CA,DS,FC,FF,FS,G,I,PC,SG,CV,DE,DP,GC,GS,FD,FT,PS,V,PP,PI
63,35,,293,M. Cirino,6,4,0.6,False,Athlético-PR,3.44,marcelo-cirino,0.0,Marcelo Cirino,69022,0.0,5,Marcelo Cirino da Silva,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,1.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,
64,35,,264,Paulinho,5,4,2.1,False,Corinthians,4.5,paulinho,0.0,Paulinho,69034,0.0,4,José Paulo Bezerra Maciel Júnior,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
65,35,,277,Vladimir,6,3,-1.0,False,Santos,1.51,vladimir,0.0,Vladimir,69040,0.0,1,Vladimir Orlando Cardoso de Araújo Filho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,,,,,,,,,,1.0,10.0,,,13.0,,,,,,
66,35,,265,D. Fernandes,6,1,6.0,False,Bahia,3.42,danilo-fernandes,0.0,Danilo Fernandes,69051,0.0,1,Danilo Fernandes Batista,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,,2.0,,,,,,,,,,7.0,,,,,,,,,
67,35,,276,J. Rodríguez,2,11,2.81,True,São Paulo,9.3,james-rodriguez,1.6,James Rodríguez,69063,-0.59,4,James David Rodríguez Rubio,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,2.0,,5.0,9.0,6.0,7.0,1.0,1.0,,,,,,,,2.0,1.0,,,1.0,
68,35,,282,Vargas,5,12,1.24,False,Atlético-MG,4.1,vargas,0.0,Vargas,69102,0.0,5,Eduardo Jesús Vargas Rojas,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,,3.0,4.0,7.0,2.0,4.0,1.0,,,,,,,,,2.0,,1.0,,,
69,35,,293,Pablo,5,24,4.69,False,Athlético-PR,10.59,pablo,0.0,Pablo,69138,0.0,5,Pablo Felipe Teixeira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,2.0,3.0,17.0,22.0,20.0,19.0,7.0,12.0,,,,,,,,7.0,1.0,,,,
70,35,,262,Pablo,6,6,3.28,False,Flamengo,4.1,pablo,0.0,Pablo,69165,0.0,3,Pablo Nascimento Castro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,,4.0,6.0,,1.0,,,,3.0,,,,,,1.0,,,,,
71,35,,290,Sidimar,6,18,2.0,False,Goiás,2.65,sidimar,0.0,Sidimar,69189,0.0,3,Sidimar Fernando Cigolini,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,,2.0,8.0,9.0,5.0,8.0,,2.0,,5.0,,,,1.0,,1.0,,,,,
72,35,,284,L. Suárez,7,29,9.17,True,Grêmio,16.8,luis-suarez,5.5,Luis Suárez,69318,0.07,5,Luis Alberto Suárez Díaz,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,10.0,8.0,10.0,28.0,38.0,65.0,13.0,24.0,,,,,,,,31.0,7.0,1.0,,1.0,
