,atletas.preco_num,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.entrou_em_campo,atletas.status_id,atletas.posicao_id,atletas.foto,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.apelido,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,G,PS,SG,I,PP,CV,PC,FT,DE,GS,DP,GC,V,PI
50,14.16,14,dudu,6.04,275,0.0,False,5,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,68920,Dudu,Palmeiras,Eduardo Pereira Rodrigues,24,0.0,Dudu,,3.0,,7.0,9.0,7.0,11.0,40.0,3.0,,,3.0,,,,1.0,,,,,,
51,7.79,20,gil,3.67,264,14.6,True,7,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,68923,Gil,Corinthians,Carlos Gilberto do Nascimento Silva,24,2.34,Gil,,,7.0,22.0,19.0,5.0,6.0,6.0,2.0,,6.0,4.0,,,,,,,,,,
52,7.26,19,rafael,3.01,276,0.0,False,7,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,68928,Rafael,São Paulo,Rafael Pires Monteiro,24,0.0,Rafael,,,,1.0,,,,2.0,,,5.0,,,,,,52.0,22.0,,,,
53,10.23,23,rafael-cabral,4.06,283,2.0,True,7,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,68940,R. Cabral,Cruzeiro,Rafael Cabral Barbosa,24,-0.75,Rafael Cabral,,,3.0,1.0,,,,4.0,,,9.0,,,,1.0,,70.0,21.0,,,,
54,6.67,22,luciano-castan,3.14,283,0.0,False,7,3,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,68942,L. Castán,Cruzeiro,Luciano Castán da Silva,24,0.0,Luciano Castán,,,6.0,14.0,18.0,6.0,6.0,14.0,,,9.0,1.0,,,,,,,,,,
55,4.38,14,marinho,3.32,356,5.3,True,7,5,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,68952,Marinho,Fortaleza,Mário Sérgio Santos Costa,24,0.07,Marinho,,1.0,5.0,10.0,17.0,6.0,8.0,39.0,1.0,3.0,,5.0,1.0,,,,,,,,,
56,6.02,12,lucas-sasha,2.95,356,2.1,True,6,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,68991,L. Sasha,Fortaleza,Lucas Pacheco Affini,24,-0.29,Lucas Sasha,,,2.0,30.0,18.0,,3.0,9.0,,,,1.0,,,,,,,,,,
57,3.0,0,joao-carlos,0.0,1371,0.0,False,6,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,69010,J. Carlos,Cuiabá,João Carlos Heidemann,24,0.0,João Carlos,,,,,,,,,,,,,,,,,,,,,,
58,9.47,6,santos,3.25,262,0.0,False,6,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,69012,Santos,Flamengo,Aderbar Melo dos Santos Neto,24,0.0,Santos,,,,,,,,1.0,,,2.0,,,,,,17.0,8.0,,,,
59,5.19,6,manoel,1.97,266,0.0,False,3,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,69014,Manoel,Fluminense,Manoel Messias Silva Carvalho,24,0.0,Manoel,,,1.0,3.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,
60,3.44,4,marcelo-cirino,0.6,293,0.0,False,6,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,69022,M. Cirino,Athlético-PR,Marcelo Cirino da Silva,24,0.0,Marcelo Cirino,,,1.0,2.0,2.0,,1.0,2.0,,,,2.0,,,,,,,,,,
61,4.5,4,paulinho,2.1,264,0.0,False,5,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,69034,Paulinho,Corinthians,José Paulo Bezerra Maciel Júnior,24,0.0,Paulinho,,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
62,3.05,2,vladimir,1.5,277,0.0,False,6,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,69040,Vladimir,Santos,Vladimir Orlando Cardoso de Araújo Filho,24,0.0,Vladimir,,,,,,,,,,,,,,1.0,,,9.0,6.0,,,,
63,4.64,1,danilo-fernandes,7.0,265,0.0,False,6,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,69051,D. Fernandes,Bahia,Danilo Fernandes Batista,24,0.0,Danilo Fernandes,,,1.0,,,,,,,,,,,,,,7.0,,,,,
64,11.44,4,james-rodriguez,3.48,276,9.1,True,6,4,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,69063,J. Rodríguez,São Paulo,James David Rodríguez Rubio,24,0.72,James Rodríguez,,,,4.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,
65,4.1,12,vargas,1.24,282,0.0,False,6,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,69102,Vargas,Atlético-MG,Eduardo Jesús Vargas Rojas,24,0.0,Vargas,,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,
66,10.16,17,pablo,4.08,293,0.1,True,3,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,69138,Pablo,Athlético-PR,Pablo Felipe Teixeira,24,-0.34,Pablo,,2.0,3.0,13.0,14.0,5.0,12.0,17.0,3.0,,,2.0,,,,1.0,,,,,,
67,4.9,4,pablo,3.15,262,8.3,True,6,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,69165,Pablo,Flamengo,Pablo Nascimento Castro,24,1.28,Pablo,,,,3.0,5.0,,,1.0,,,2.0,,,,,,,,,,,
68,2.5,10,sidimar,2.06,290,0.0,False,6,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,69189,Sidimar,Goiás,Sidimar Fernando Cigolini,24,0.0,Sidimar,,,1.0,5.0,7.0,1.0,2.0,6.0,,,3.0,1.0,,,,,,,,1.0,,
69,16.08,19,luis-suarez,8.37,284,6.9,True,7,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,69318,L. Suárez,Grêmio,Luis Alberto Suárez Díaz,24,0.71,Luis Suárez,,6.0,4.0,10.0,18.0,22.0,25.0,45.0,6.0,,,19.0,1.0,,,5.0,,,,,,
70,6.82,10,aranguiz,1.11,285,0.0,False,6,4,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,69325,Aránguiz,Internacional,Charles Mariano Aránguiz Sandoval,24,0.0,Aránguiz,,,1.0,5.0,8.0,,5.0,9.0,,,,,,,,,,,,,,
71,4.75,8,medel,1.44,267,2.9,True,6,4,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,69355,Medel,Vasco,Gary Alexis Medel Soto,24,0.4,Medel,,,3.0,13.0,7.0,,,2.0,,,,,,,,,,,,,,
72,5.23,12,vidal,2.21,293,0.0,False,5,4,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,69375,Vidal,Athlético-PR,Arturo Erasmo Vidal Pardo,24,0.0,Vidal,,,5.0,16.0,13.0,2.0,6.0,12.0,,,,,,,,1.0,,,,,,
73,4.07,6,joao-pedro-galvao,0.3,284,-1.7,True,7,5,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,69686,J. Galvão,Grêmio,João Pedro Geraldino dos Santos Galvão,24,-0.44,João Pedro Galvão,,,1.0,3.0,14.0,,2.0,4.0,,,,2.0,,,,,,,,,,
74,3.61,11,nikao,1.95,283,1.7,True,6,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,69705,Nikão,Cruzeiro,Maycon Vinícius Ferreira da Cruz,24,-1.74,Nikão,,1.0,1.0,7.0,4.0,,,5.0,1.0,,,3.0,,,,,,,,,,
75,12.24,5,lucas-moura,5.44,276,0.0,False,7,5,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,70164,L. Moura,São Paulo,Lucas Rodrigues Moura da Silva,24,0.0,Lucas Moura,,,,6.0,3.0,1.0,4.0,13.0,1.0,,,,,,1.0,1.0,,,,,,
76,6.7,9,rafael,5.16,263,0.0,False,5,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,70171,Rafael,Botafogo,Rafael Pereira da Silva,24,0.0,Rafael,,,2.0,22.0,12.0,1.0,,5.0,,,5.0,,,1.0,,,,,,,,
77,3.79,7,fabio,2.49,284,0.0,False,6,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,70172,Fábio,Grêmio,Fábio Pereira da Silva,24,0.0,Fábio,,2.0,3.0,8.0,5.0,,1.0,3.0,,,,,,,,,,,,,,
78,4.33,14,bruno-uvini,2.32,284,8.3,True,2,3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,70221,B. Uvini,Grêmio,Bruno Uvini,24,1.36,Bruno Uvini,,,4.0,8.0,10.0,3.0,4.0,6.0,1.0,,2.0,,,,1.0,1.0,,,,,,
79,8.83,5,diego-costa,3.98,263,-0.1,True,6,5,https://s.sde.globo.com/media/person_role/2023/08/12/photo_FORMATO_RCzvL0a.png,70316,D. Costa,Botafogo,Diego da Silva Costa,24,-0.41,Diego Costa,,,2.0,4.0,5.0,,1.0,4.0,2.0,,,2.0,,,,,,,,,,
80,10.41,19,eduardo-sasha,4.92,280,0.0,False,7,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,70360,E. Sasha,Bragantino,Eduardo Colcenti Antunes,24,0.0,Eduardo Sasha,,2.0,3.0,8.0,15.0,5.0,10.0,28.0,6.0,,,6.0,,,,2.0,,,,,,
