,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
45,Dodô,7,2,22,,José Rodolfo Pires Ribeiro,-0.1,Santos,1.39,dodo,9,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,Dodô,3.38,True,68727,-0.03,277,,5.0,,,6.0,,1.0,,2.0,11.0,,,,,,,,,,,
46,Camacho,6,4,22,,Guilherme de Aguiar Camacho,0.0,Santos,0.65,camacho,8,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Camacho,1.83,False,68770,0.0,277,1.0,17.0,,,2.0,,1.0,,2.0,12.0,,,,,,,,,,,
47,M. Lomba,6,1,22,,Marcelo Lomba do Nascimento,0.0,Palmeiras,5.0,marcelo-lomba,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,Marcelo Lomba,6.78,False,68872,0.0,275,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
48,W. Silva,7,5,22,,Wellington Alves da Silva,2.2,Cuiabá,2.54,wellington-silva,19,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,Wellington Silva,4.46,True,68895,-0.54,1371,,9.0,4.0,4.0,30.0,,2.0,,1.0,20.0,,,1.0,,,,,,,,
49,Vinicius,6,5,22,,Vinicius Santos Silva,0.0,Goiás,3.26,vinicius,13,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Vinicius,7.03,False,68917,0.0,290,,8.0,6.0,10.0,10.0,,3.0,,1.0,15.0,,,1.0,,,1.0,,,,,
50,Dudu,5,5,22,,Eduardo Pereira Rodrigues,0.0,Palmeiras,6.04,dudu,14,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Dudu,14.16,False,68920,0.0,275,,9.0,7.0,11.0,40.0,3.0,3.0,,,7.0,,,3.0,,,1.0,,,,,
51,Gil,7,3,22,,Carlos Gilberto do Nascimento Silva,7.5,Corinthians,3.19,gil,18,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Gil,6.39,True,68923,-0.22,264,,16.0,3.0,4.0,5.0,1.0,4.0,,5.0,21.0,,5.0,,,,,,,,,
52,Rafael,6,1,22,,Rafael Pires Monteiro,0.0,São Paulo,3.12,rafael,18,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,Rafael,7.2,False,68928,0.0,276,,,,,2.0,,,,,1.0,,5.0,,49.0,20.0,,,,,,
53,R. Cabral,7,1,22,,Rafael Cabral Barbosa,10.5,Cruzeiro,3.99,rafael-cabral,21,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,Rafael Cabral,11.33,True,68940,2.1,283,,,,,3.0,,,,3.0,1.0,1.0,8.0,,65.0,20.0,,,,,,
54,L. Castán,7,3,22,,Luciano Castán da Silva,9.4,Cruzeiro,3.11,luciano-castan,21,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,Luciano Castán,7.47,True,68942,1.64,283,,17.0,6.0,6.0,14.0,,1.0,,5.0,14.0,,8.0,,,,,,,,,
55,Marinho,3,5,22,,Mário Sérgio Santos Costa,0.0,Fortaleza,2.94,marinho,12,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Marinho,4.65,False,68952,0.0,356,,14.0,5.0,6.0,32.0,1.0,5.0,,3.0,6.0,,,,,,,,,1.0,,
56,L. Sasha,6,4,22,,Lucas Pacheco Affini,0.0,Fortaleza,3.03,lucas-sasha,11,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,Lucas Sasha,6.31,False,68991,0.0,356,,17.0,,3.0,9.0,,1.0,,2.0,28.0,,,,,,,,,,,
57,J. Carlos,6,1,22,,João Carlos Heidemann,0.0,Cuiabá,0.0,joao-carlos,0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,João Carlos,3.0,False,69010,0.0,1371,,,,,,,,,,,,,,,,,,,,,
58,Santos,6,1,22,,Aderbar Melo dos Santos Neto,0.0,Flamengo,3.25,santos,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Santos,9.47,False,69012,0.0,262,,,,,1.0,,,,,,,2.0,,17.0,8.0,,,,,,
59,Manoel,3,3,22,,Manoel Messias Silva Carvalho,0.0,Fluminense,1.97,manoel,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Manoel,5.19,False,69014,0.0,266,,1.0,,,1.0,,,,1.0,3.0,1.0,2.0,,,,,,,,,
60,M. Cirino,6,5,22,,Marcelo Cirino da Silva,0.0,Athlético-PR,0.6,marcelo-cirino,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Marcelo Cirino,3.44,False,69022,0.0,293,,2.0,,1.0,2.0,,2.0,,1.0,2.0,,,,,,,,,,,
