,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido_abreviado,atletas.nome,atletas.rodada_id,atletas.atleta_id,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.foto,atletas.pontos_num,A,CA,DS,FC,FF,FS,G,PP,SG,V,FD,FT,I,PC,CV,GC,PS,DE,GS,DP,PI
53,True,Corinthians,3,0.0,6.27,7,,30,gil,Gil,Carlos Gilberto do Nascimento Silva,37,68923,Gil,3.71,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,1.9,2.0,9.0,34.0,28.0,9.0,8.0,2.0,,8.0,,9.0,,5.0,,,,,,,,
54,True,São Paulo,1,-1.59,7.18,7,,31,rafael,Rafael,Rafael Pires Monteiro,37,68928,Rafael,3.43,276,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,-2.0,,1.0,1.0,,,4.0,,,12.0,,,,,,,,,77.0,33.0,,
55,True,Cruzeiro,1,0.92,10.73,7,,33,rafael-cabral,R. Cabral,Rafael Cabral Barbosa,37,68940,Rafael Cabral,3.84,283,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,7.0,,3.0,1.0,,,6.0,,,13.0,,,,,1.0,,,,90.0,29.0,,
56,True,Cruzeiro,3,0.81,7.27,7,,32,luciano-castan,L. Castán,Luciano Castán da Silva,37,68942,Luciano Castán,3.38,283,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,5.4,,7.0,21.0,24.0,9.0,18.0,1.0,,13.0,,7.0,,1.0,,,,,,,,
57,True,Fortaleza,5,0.48,4.19,6,,22,marinho,Marinho,Mário Sérgio Santos Costa,37,68952,Marinho,3.05,356,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,2.7,1.0,6.0,13.0,21.0,15.0,57.0,1.0,1.0,,,10.0,,7.0,,,,3.0,,,,
58,True,Fortaleza,4,0.21,6.7,6,,17,lucas-sasha,L. Sasha,Lucas Pacheco Affini,37,68991,Lucas Sasha,3.71,356,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,5.3,,3.0,53.0,27.0,3.0,14.0,,,,,1.0,,2.0,,,,,,,,
59,True,Cuiabá,1,0.5,2.4,7,,2,joao-carlos,J. Carlos,João Carlos Heidemann,37,69010,João Carlos,0.0,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,2.0,,,,,,,,,,,,,,,,,,4.0,4.0,,
60,False,Flamengo,1,0.0,9.47,6,,6,santos,Santos,Aderbar Melo dos Santos Neto,37,69012,Santos,3.25,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,0.0,,,,,,1.0,,,2.0,,,,,,,,,17.0,8.0,,
61,False,Fluminense,3,0.0,5.19,3,,6,manoel,Manoel,Manoel Messias Silva Carvalho,37,69014,Manoel,1.97,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,0.0,,1.0,3.0,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,
62,False,Athlético-PR,5,0.0,3.44,6,,4,marcelo-cirino,M. Cirino,Marcelo Cirino da Silva,37,69022,Marcelo Cirino,0.6,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,,1.0,2.0,2.0,1.0,2.0,,,,,,,2.0,,,,,,,,
