,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.pontos_num,atletas.jogos_num,atletas.preco_num,atletas.entrou_em_campo,atletas.status_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.foto,atletas.nome,atletas.apelido_abreviado,atletas.slug,atletas.rodada_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PC,PP,DE,DP,GS,CV,PS,GC,V,PI
58,262,1,3.25,Flamengo,0.0,0.0,6,9.47,False,6,,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Aderbar Melo dos Santos Neto,Santos,santos,26,69012,,,,,,,1.0,,,2.0,,,,17.0,,8.0,,,,,
59,266,3,1.97,Fluminense,0.0,0.0,6,5.19,False,3,,Manoel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Manoel Messias Silva Carvalho,Manoel,manoel,26,69014,,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,,,
60,293,5,0.6,Athlético-PR,0.0,0.0,4,3.44,False,6,,Marcelo Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Marcelo Cirino da Silva,M. Cirino,marcelo-cirino,26,69022,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,
61,264,4,2.1,Corinthians,0.0,0.0,4,4.5,False,5,,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,José Paulo Bezerra Maciel Júnior,Paulinho,paulinho,26,69034,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
62,277,1,1.5,Santos,0.0,0.0,2,3.05,False,6,,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,vladimir,26,69040,,,,,,,,,,,,,,9.0,,6.0,1.0,,,,
63,265,1,7.0,Bahia,0.0,0.0,1,4.64,False,6,,Danilo Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,Danilo Fernandes Batista,D. Fernandes,danilo-fernandes,26,69051,,1.0,,,,,,,,,,,,7.0,,,,,,,
64,276,4,2.33,São Paulo,-0.13,0.4,6,9.7,True,7,,James Rodríguez,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,James David Rodríguez Rubio,J. Rodríguez,james-rodriguez,26,69063,,,4.0,5.0,1.0,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,
65,282,5,1.24,Atlético-MG,0.0,0.0,12,4.1,False,5,,Vargas,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,Eduardo Jesús Vargas Rojas,Vargas,vargas,26,69102,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,,,,,,,,,,1.0,,,
66,293,5,4.38,Athlético-PR,1.35,9.4,18,11.51,True,7,,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Pablo Felipe Teixeira,Pablo,pablo,26,69138,2.0,3.0,13.0,17.0,6.0,14.0,17.0,4.0,7.0,,1.0,,,,,,,,,,
67,262,3,3.15,Flamengo,0.0,0.0,4,4.9,False,6,,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Pablo Nascimento Castro,Pablo,pablo,26,69165,,,3.0,5.0,,,1.0,,,2.0,,,,,,,,,,,
68,290,3,1.71,Goiás,-0.03,0.0,12,2.26,True,6,,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Sidimar Fernando Cigolini,Sidimar,sidimar,26,69189,,1.0,5.0,7.0,1.0,2.0,6.0,,1.0,3.0,,,,,,,,,1.0,,
69,284,5,8.65,Grêmio,-0.55,9.0,21,16.64,True,7,,Luis Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,Luis Alberto Suárez Díaz,L. Suárez,luis-suarez,26,69318,6.0,4.0,10.0,21.0,22.0,27.0,51.0,8.0,21.0,,6.0,,1.0,,,,,,,,
70,285,4,1.31,Internacional,0.72,4.6,12,7.28,True,7,,Aránguiz,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,Charles Mariano Aránguiz Sandoval,Aránguiz,aranguiz,26,69325,,1.0,7.0,10.0,1.0,7.0,9.0,,,,,,,,,,,,,,
71,267,4,0.95,Vasco,0.0,0.0,9,3.64,False,3,,Medel,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,Gary Alexis Medel Soto,Medel,medel,26,69355,,3.0,13.0,7.0,,,2.0,,,,,,,,,,1.0,,,,
72,293,4,2.21,Athlético-PR,0.0,0.0,12,5.23,False,5,,Vidal,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,Arturo Erasmo Vidal Pardo,Vidal,vidal,26,69375,,5.0,16.0,13.0,2.0,6.0,12.0,,,,1.0,,,,,,,,,,
73,284,5,0.33,Grêmio,0.0,0.0,7,4.26,False,6,,João Pedro Galvão,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,João Pedro Geraldino dos Santos Galvão,J. Galvão,joao-pedro-galvao,26,69686,,1.0,3.0,14.0,,2.0,5.0,,2.0,,,,,,,,,,,,
74,283,4,2.35,Cruzeiro,0.0,0.0,12,4.48,False,6,,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,Maycon Vinícius Ferreira da Cruz,Nikão,nikao,26,69705,2.0,1.0,7.0,4.0,,1.0,7.0,1.0,3.0,,,,,,,,,,,,
75,276,5,5.09,São Paulo,-0.19,3.7,7,12.06,True,7,,Lucas Moura,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,Lucas Rodrigues Moura da Silva,L. Moura,lucas-moura,26,70164,,,7.0,4.0,3.0,6.0,20.0,1.0,,,1.0,1.0,,,,,,,,,
