,atletas.pontos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.preco_num,atletas.slug,atletas.nome,atletas.foto,atletas.variacao_num,atletas.status_id,atletas.entrou_em_campo,atletas.atleta_id,atletas.rodada_id,atletas.clube.id.full.name,CV,DE,DP,FC,FS,GC,GS,SG,A,CA,DS,FD,FF,G,I,FT,PP,PC,PS,V,PI
66,0.0,Vargas,282,,1.24,5,Vargas,12,4.1,vargas,Eduardo Jesús Vargas Rojas,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,0.0,5,False,69102,33,Atlético-MG,,,,7.0,4.0,,,,,3.0,4.0,2.0,2.0,1.0,,,,,1.0,,
67,0.0,Pablo,293,,4.69,5,Pablo,24,10.59,pablo,Pablo Felipe Teixeira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,0.0,5,False,69138,33,Athlético-PR,,,,22.0,19.0,,,,2.0,3.0,17.0,7.0,20.0,7.0,12.0,1.0,,,,,
68,0.0,Pablo,262,,3.28,3,Pablo,6,4.1,pablo,Pablo Nascimento Castro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,6,False,69165,33,Flamengo,,,,6.0,1.0,,,3.0,,,4.0,1.0,,,,,,,,,
69,0.0,Sidimar,290,,2.06,3,Sidimar,17,3.22,sidimar,Sidimar Fernando Cigolini,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.0,6,False,69189,33,Goiás,,,,8.0,7.0,1.0,,5.0,,2.0,8.0,1.0,4.0,,2.0,,,,,,
70,26.2,L. Suárez,284,,9.51,5,Luis Suárez,27,19.87,luis-suarez,Luis Alberto Suárez Díaz,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,2.71,7,True,69318,33,Grêmio,,,,26.0,62.0,,,,10.0,6.0,10.0,29.0,32.0,13.0,23.0,6.0,1.0,,1.0,,
71,0.2,Aránguiz,285,,1.83,4,Aránguiz,18,6.64,aranguiz,Charles Mariano Aránguiz Sandoval,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,-0.56,2,True,69325,33,Internacional,,,,16.0,15.0,,,,1.0,2.0,15.0,1.0,10.0,,,,,,,,
72,0.0,Medel,267,,0.68,4,Medel,14,3.44,medel,Gary Alexis Medel Soto,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,0.0,7,False,69355,33,Vasco,1.0,,,10.0,3.0,,,,,4.0,15.0,,,,,,,,,,
73,0.0,Vidal,293,,2.21,4,Vidal,12,5.23,vidal,Arturo Erasmo Vidal Pardo,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,0.0,5,False,69375,33,Athlético-PR,,,,13.0,12.0,,,,,5.0,16.0,2.0,6.0,,,1.0,,,,,
74,-0.3,J. Galvão,284,,0.62,5,João Pedro Galvão,11,3.73,joao-pedro-galvao,João Pedro Geraldino dos Santos Galvão,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,-0.61,6,True,69686,33,Grêmio,,,,17.0,8.0,,,,,1.0,5.0,,4.0,,3.0,,,,,,
75,0.0,Nikão,283,,2.57,4,Nikão,16,4.02,nikao,Maycon Vinícius Ferreira da Cruz,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,0.0,6,False,69705,33,Cruzeiro,,,,4.0,10.0,,,,2.0,1.0,11.0,2.0,6.0,1.0,3.0,,,,,,
76,0.0,L. Moura,276,,3.71,5,Lucas Moura,10,11.07,lucas-moura,Lucas Rodrigues Moura da Silva,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,0.0,5,False,70164,33,São Paulo,,,,8.0,23.0,,,,,,8.0,3.0,6.0,1.0,,1.0,,1.0,,,
77,0.0,Rafael,263,,5.16,2,Rafael,9,6.7,rafael,Rafael Pereira da Silva,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,0.0,5,False,70171,33,Botafogo,1.0,,,12.0,5.0,,,5.0,,2.0,22.0,1.0,,,,,,,,,
78,0.0,Fábio,284,,2.14,2,Fábio,10,4.13,fabio,Fábio Pereira da Silva,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,0.0,6,False,70172,33,Grêmio,,,,7.0,3.0,,,,2.0,4.0,12.0,,2.0,,,,,,,,
79,0.0,B. Uvini,284,,2.13,3,Bruno Uvini,19,4.08,bruno-uvini,Bruno Uvini,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,0.0,7,False,70221,33,Grêmio,,,,13.0,6.0,,,3.0,,4.0,11.0,3.0,4.0,1.0,,1.0,,1.0,,,
80,11.9,D. Costa,263,,3.36,5,Diego Costa,10,9.54,diego-costa,Diego da Silva Costa,https://s.sde.globo.com/media/person_role/2023/08/12/photo_FORMATO_RCzvL0a.png,2.15,6,True,70316,33,Botafogo,,,,10.0,9.0,,,,,4.0,5.0,4.0,2.0,3.0,3.0,,,,,,
