,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.preco_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.apelido,A,CA,CV,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,V,DE,GS,PP,PS,DP,PI
63,Santos,0.0,Vladimir Orlando Cardoso de Araújo Filho,36,0.0,-1.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,69040,1.51,False,1,Vladimir,6,,277,vladimir,3,Vladimir,,,1.0,,,,,,,,,,,,,10.0,13.0,,,,
64,Bahia,0.0,Danilo Fernandes Batista,36,0.0,6.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,69051,3.42,False,1,D. Fernandes,6,,265,danilo-fernandes,1,Danilo Fernandes,,2.0,,,,,,,,,,,,,,7.0,,,,,
65,São Paulo,0.0,James David Rodríguez Rubio,36,0.0,2.81,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,69063,9.3,False,4,J. Rodríguez,5,,276,james-rodriguez,11,James Rodríguez,2.0,,,5.0,9.0,2.0,6.0,7.0,1.0,,,,1.0,1.0,,,,1.0,,,
66,Atlético-MG,0.0,Eduardo Jesús Vargas Rojas,36,0.0,1.24,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,69102,4.1,False,5,Vargas,5,,282,vargas,12,Vargas,,3.0,,4.0,7.0,2.0,2.0,4.0,,,,,1.0,,,,,,1.0,,
67,Athlético-PR,0.0,Pablo Felipe Teixeira,36,0.0,4.69,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,69138,10.59,False,5,Pablo,5,,293,pablo,24,Pablo,2.0,3.0,,17.0,22.0,7.0,20.0,19.0,1.0,,,,7.0,12.0,,,,,,,
68,Flamengo,0.0,Pablo Nascimento Castro,36,0.0,3.28,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,69165,4.1,False,3,Pablo,6,,262,pablo,6,Pablo,,,,4.0,6.0,1.0,,1.0,,,,3.0,,,,,,,,,
69,Goiás,0.0,Sidimar Fernando Cigolini,36,0.0,2.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,69189,2.65,False,3,Sidimar,6,,290,sidimar,18,Sidimar,,2.0,,8.0,9.0,1.0,5.0,8.0,,1.0,,5.0,,2.0,,,,,,,
70,Grêmio,9.8,Luis Alberto Suárez Díaz,36,0.86,9.19,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,69318,17.66,True,5,L. Suárez,7,,284,luis-suarez,30,Luis Suárez,11.0,8.0,,11.0,28.0,34.0,38.0,65.0,7.0,,,,13.0,24.0,,,,1.0,1.0,,
71,Internacional,2.7,Charles Mariano Aránguiz Sandoval,36,0.56,1.7,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,69325,6.92,True,4,Aránguiz,7,,285,aranguiz,20,Aránguiz,1.0,3.0,,16.0,18.0,1.0,10.0,18.0,,,,,,,,,,,,,
72,Vasco,0.0,Gary Alexis Medel Soto,36,0.0,0.67,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,69355,3.49,False,4,Medel,2,,267,medel,16,Medel,,4.0,1.0,16.0,10.0,,,3.0,,,,,,,,,,,,,
73,Athlético-PR,0.0,Arturo Erasmo Vidal Pardo,36,0.0,2.21,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,69375,5.23,False,4,Vidal,5,,293,vidal,12,Vidal,,5.0,,16.0,13.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,
74,Grêmio,0.0,João Pedro Geraldino dos Santos Galvão,36,0.0,0.69,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,69686,4.02,False,5,J. Galvão,6,,284,joao-pedro-galvao,12,João Pedro Galvão,,1.0,,6.0,18.0,,4.0,9.0,,,,,,3.0,,,,,,,
75,Cruzeiro,5.0,Maycon Vinícius Ferreira da Cruz,36,0.07,2.84,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,69705,4.51,True,4,Nikão,6,,283,nikao,18,Nikão,3.0,1.0,,13.0,5.0,2.0,7.0,14.0,,,,,1.0,3.0,,,,,,,
76,São Paulo,2.3,Lucas Rodrigues Moura da Silva,36,0.12,3.43,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,70164,10.39,True,5,L. Moura,7,,276,lucas-moura,12,Lucas Moura,,,,8.0,8.0,4.0,7.0,27.0,1.0,,1.0,,1.0,,,,,,,,
77,Botafogo,0.0,Rafael Pereira da Silva,36,0.0,5.16,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,70171,6.7,False,2,Rafael,5,,263,rafael,9,Rafael,,2.0,1.0,22.0,12.0,1.0,,5.0,,,,5.0,,,,,,,,,
78,Grêmio,2.2,Fábio Pereira da Silva,36,0.04,2.06,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,70172,4.02,True,2,Fábio,7,,284,fabio,13,Fábio,2.0,5.0,,18.0,13.0,,2.0,5.0,,,,,,,,,,,,,
