,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.apelido,atletas.pontos_num,atletas.slug,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.preco_num,V,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,CV,FT,GC,PC,PS,PP,DP,PI
54,1.42,3.54,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,38,Rafael Pires Monteiro,Rafael,7.0,rafael,True,32,São Paulo,68928,276,-0.93,7,1,8.6,,,1.0,1.0,,,,4.0,,,13.0,79.0,33.0,,,,,,,,
55,-0.57,3.82,R. Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,38,Rafael Cabral Barbosa,Rafael Cabral,3.0,rafael-cabral,True,34,Cruzeiro,68940,283,6.41,7,1,10.16,,,3.0,1.0,,,,6.0,,,13.0,94.0,30.0,,,,1.0,,,,
56,-0.7,3.3,L. Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,38,Luciano Castán da Silva,Luciano Castán,0.7,luciano-castan,True,33,Cruzeiro,68942,283,4.84,7,3,6.57,,,7.0,21.0,25.0,7.0,9.0,20.0,1.0,1.0,13.0,,,,,,,,,,
57,1.32,3.37,Marinho,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,38,Mário Sérgio Santos Costa,Marinho,10.5,marinho,True,23,Fortaleza,68952,356,2.43,7,5,5.51,,1.0,6.0,13.0,22.0,10.0,16.0,61.0,2.0,7.0,,,,,,,,3.0,1.0,,
58,-0.08,3.75,L. Sasha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,38,Lucas Pacheco Affini,Lucas Sasha,4.4,lucas-sasha,True,18,Fortaleza,68991,356,4.65,6,4,6.62,,1.0,3.0,53.0,29.0,1.0,3.0,14.0,,2.0,,,,,,,,,,,
59,1.02,2.67,J. Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,38,João Carlos Heidemann,João Carlos,8.0,joao-carlos,True,3,Cuiabá,69010,1371,2.08,7,1,3.42,,,,,,,,,,,1.0,7.0,4.0,,,,,,,,
60,0.0,3.25,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,38,Aderbar Melo dos Santos Neto,Santos,0.0,santos,False,6,Flamengo,69012,262,7.4,6,1,9.47,,,,,,,,1.0,,,2.0,17.0,8.0,,,,,,,,
61,0.0,1.97,Manoel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,38,Manoel Messias Silva Carvalho,Manoel,0.0,manoel,False,6,Fluminense,69014,266,1.6,3,3,5.19,,,1.0,3.0,1.0,,,1.0,,,2.0,,,,,,1.0,,,,
62,0.0,0.6,M. Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,38,Marcelo Cirino da Silva,Marcelo Cirino,0.0,marcelo-cirino,False,4,Athlético-PR,69022,293,1.34,6,5,3.44,,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,
63,0.0,2.1,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,38,José Paulo Bezerra Maciel Júnior,Paulinho,0.0,paulinho,False,4,Corinthians,69034,264,3.47,5,4,4.5,,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
