,atletas.clube.id.full.name,atletas.foto,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.status_id,atletas.apelido,atletas.variacao_num,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,PC,PS,CV,DP,GC,V,PI
66,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,False,,34,Vargas,Eduardo Jesús Vargas Rojas,12,282,5,1.24,vargas,4.1,69102,5,Vargas,0.0,0.0,,3.0,4.0,7.0,2.0,2.0,4.0,,1.0,,,,,,,1.0,,,,,
67,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,False,,34,Pablo,Pablo Felipe Teixeira,24,293,5,4.69,pablo,10.59,69138,5,Pablo,0.0,0.0,2.0,3.0,17.0,22.0,7.0,20.0,19.0,1.0,7.0,12.0,,,,,,,,,,,
68,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,False,,34,Pablo,Pablo Nascimento Castro,6,262,3,3.28,pablo,4.1,69165,6,Pablo,0.0,0.0,,,4.0,6.0,1.0,,1.0,,,,,,,3.0,,,,,,,
69,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,True,,34,Sidimar,Sidimar Fernando Cigolini,18,290,3,2.0,sidimar,2.65,69189,6,Sidimar,-0.57,1.0,,2.0,8.0,9.0,1.0,5.0,8.0,,,2.0,,,,5.0,,,,,1.0,,
70,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,True,,34,L. Suárez,Luis Alberto Suárez Díaz,28,284,5,9.3,luis-suarez,16.73,69318,7,Luis Suárez,-3.14,3.5,10.0,7.0,10.0,27.0,30.0,36.0,63.0,6.0,13.0,24.0,1.0,,,,,1.0,,,,,
71,Internacional,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,True,,34,Aránguiz,Charles Mariano Aránguiz Sandoval,19,285,4,1.65,aranguiz,6.36,69325,3,Aránguiz,-0.28,-1.6,1.0,3.0,15.0,18.0,1.0,10.0,15.0,,,,,,,,,,,,,,
72,Vasco,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,True,,34,Medel,Gary Alexis Medel Soto,15,267,4,0.71,medel,3.75,69355,7,Medel,0.31,1.2,,4.0,16.0,10.0,,,3.0,,,,,,,,,,1.0,,,,
73,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,False,,34,Vidal,Arturo Erasmo Vidal Pardo,12,293,4,2.21,vidal,5.23,69375,5,Vidal,0.0,0.0,,5.0,16.0,13.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,,
74,Grêmio,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,True,,34,J. Galvão,João Pedro Geraldino dos Santos Galvão,12,284,5,0.69,joao-pedro-galvao,4.02,69686,6,João Pedro Galvão,0.29,1.4,,1.0,6.0,18.0,,4.0,9.0,,,3.0,,,,,,,,,,,
75,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,True,,34,Nikão,Maycon Vinícius Ferreira da Cruz,17,283,4,2.71,nikao,4.44,69705,7,Nikão,0.42,4.9,2.0,1.0,13.0,5.0,2.0,7.0,14.0,,1.0,3.0,,,,,,,,,,,
