,atletas.clube_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.jogos_num,atletas.apelido,atletas.status_id,atletas.slug,atletas.pontos_num,atletas.atleta_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.clube.id.full.name,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,PS,PC,SG,DE,GS,V,CV,DP,GC
59,262,0.0,3.25,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Santos,6,Santos,6,santos,0.0,69012,1,,18,Aderbar Melo dos Santos Neto,Flamengo,9.47,,,,,,,1.0,,,,,,,2.0,17.0,8.0,,,,
60,266,0.0,1.97,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Manoel,6,Manoel,3,manoel,0.0,69014,3,,18,Manoel Messias Silva Carvalho,Fluminense,5.19,,1.0,3.0,1.0,,,1.0,,,,,,1.0,2.0,,,,,,
61,293,-0.13,0.6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,M. Cirino,4,Marcelo Cirino,6,marcelo-cirino,1.2,69022,5,,18,Marcelo Cirino da Silva,Athlético-PR,3.44,,1.0,2.0,2.0,,1.0,2.0,,,2.0,,,,,,,,,,
62,264,0.0,2.1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,Paulinho,4,Paulinho,5,paulinho,0.0,69034,4,,18,José Paulo Bezerra Maciel Júnior,Corinthians,4.5,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
63,277,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Vladimir,1,Vladimir,6,vladimir,0.0,69040,1,,18,Vladimir Orlando Cardoso de Araújo Filho,Santos,2.61,,,,,,,,,,,,,,,2.0,2.0,,1.0,,
64,265,0.0,7.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,D. Fernandes,1,Danilo Fernandes,5,danilo-fernandes,0.0,69051,1,,18,Danilo Fernandes Batista,Bahia,4.64,,1.0,,,,,,,,,,,,,7.0,,,,,
65,276,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,J. Rodríguez,0,James Rodríguez,6,james-rodriguez,0.0,69063,4,,18,James David Rodríguez Rubio,São Paulo,15.0,,,,,,,,,,,,,,,,,,,,
66,282,0.0,1.24,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Vargas,11,Vargas,6,vargas,0.0,69102,5,,18,Eduardo Jesús Vargas Rojas,Atlético-MG,3.95,,3.0,3.0,7.0,2.0,2.0,4.0,,1.0,,,1.0,,,,,,,,
67,293,-0.17,5.47,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Pablo,12,Pablo,6,pablo,10.7,69138,5,,18,Pablo Felipe Teixeira,Athlético-PR,12.03,2.0,2.0,13.0,9.0,3.0,9.0,14.0,1.0,3.0,1.0,,,,,,,,,,
68,262,-0.11,1.43,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Pablo,3,Pablo,7,pablo,-0.3,69165,3,,18,Pablo Nascimento Castro,Flamengo,3.62,,,,4.0,,,1.0,,,,,,,1.0,,,,,,
69,290,0.87,2.14,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Sidimar,9,Sidimar,7,sidimar,5.0,69189,3,,18,Sidimar Fernando Cigolini,Goiás,2.99,,1.0,4.0,6.0,1.0,2.0,5.0,,,,,,,3.0,,,,,,1.0
70,284,0.43,8.16,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,L. Suárez,14,Luis Suárez,7,luis-suarez,4.5,69318,5,,18,Luis Alberto Suárez Díaz,Grêmio,15.03,3.0,2.0,8.0,13.0,18.0,20.0,32.0,5.0,4.0,12.0,1.0,,,,,,,,,
71,285,-0.16,1.28,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,Aránguiz,6,Aránguiz,6,aranguiz,0.8,69325,4,,18,Charles Mariano Aránguiz Sandoval,Internacional,7.03,,,4.0,5.0,,3.0,4.0,,,,,,,,,,,,,
72,267,-0.45,2.0,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,Medel,3,Medel,7,medel,0.9,69355,4,,18,Gary Alexis Medel Soto,Vasco,4.84,,,6.0,4.0,,,,,,,,,,,,,,,,
73,293,0.0,2.47,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,Vidal,9,Vidal,6,vidal,0.0,69375,4,,18,Arturo Erasmo Vidal Pardo,Athlético-PR,5.62,,3.0,11.0,8.0,2.0,5.0,10.0,1.0,,,,,,,,,,,,
74,284,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,J. Galvão,0,João Pedro Galvão,6,joao-pedro-galvao,0.0,69686,5,,18,João Pedro Geraldino dos Santos Galvão,Grêmio,7.0,,,,,,,,,,,,,,,,,,,,
75,283,-0.42,0.63,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,Nikão,7,Nikão,6,nikao,0.0,69705,4,,18,Maycon Vinícius Ferreira da Cruz,Cruzeiro,3.01,,1.0,4.0,4.0,,,4.0,,,2.0,,,,,,,,,,
76,276,-1.17,5.5,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,L. Moura,1,Lucas Moura,6,lucas-moura,5.5,70164,5,,18,Lucas Rodrigues Moura da Silva,São Paulo,11.83,,,1.0,,,1.0,3.0,1.0,,,,,1.0,,,,,,,
77,263,0.0,5.16,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,Rafael,9,Rafael,5,rafael,0.0,70171,2,,18,Rafael Pereira da Silva,Botafogo,6.7,,2.0,22.0,12.0,1.0,,5.0,,,,,,,5.0,,,,1.0,,
78,284,0.0,2.54,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,Fábio,5,Fábio,6,fabio,0.0,70172,2,,18,Fábio Pereira da Silva,Grêmio,4.16,1.0,,5.0,2.0,,1.0,3.0,,,,,,,,,,,,,
79,284,-0.13,1.86,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,B. Uvini,13,Bruno Uvini,7,bruno-uvini,-0.6,70221,3,,18,Bruno Uvini,Grêmio,2.97,,4.0,5.0,9.0,3.0,4.0,6.0,1.0,1.0,,,,1.0,1.0,,,,,,
80,280,0.01,5.21,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,E. Sasha,18,Eduardo Sasha,7,eduardo-sasha,0.9,70360,5,,18,Eduardo Colcenti Antunes,Bragantino,11.09,2.0,2.0,8.0,14.0,5.0,10.0,26.0,2.0,6.0,6.0,,,,,,,,,,
81,294,0.11,2.84,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,Gabriel,16,Gabriel,7,gabriel,0.0,70449,1,,18,Gabriel Vasconcelos Ferreira - Vasconcellos,Coritiba,4.59,1.0,3.0,,,,,1.0,,,,,,,3.0,58.0,30.0,,,,
82,1371,0.47,3.37,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,Marllon,17,Marllon,6,marllon,5.0,70666,3,,18,Marllon Gonçalves Jerônimo Borges,Cuiabá,7.59,1.0,4.0,17.0,13.0,,4.0,9.0,,1.0,,,,1.0,5.0,,,,,,
