,atletas.rodada_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.slug,atletas.media_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,PC,PS,V,FT,PP,DE,DP,GS,CV,GC,PI
49,29,Cuiabá,24,5,Wellington Alves da Silva,wellington-silva,2.74,2,W. Silva,4.47,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,True,Wellington Silva,68895,0.5,,1371,-0.38,1.0,1.0,24.0,11.0,5.0,6.0,35.0,1.0,2.0,,,,,,,,,,,,
50,29,Goiás,17,5,Vinicius Santos Silva,vinicius,2.49,6,Vinicius,6.26,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,False,Vinicius,68917,0.0,,290,0.0,1.0,1.0,15.0,11.0,6.0,11.0,10.0,,4.0,,,,,1.0,,,,,,,
51,29,Palmeiras,14,5,Eduardo Pereira Rodrigues,dudu,6.04,5,Dudu,14.16,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,False,Dudu,68920,0.0,,275,0.0,3.0,,7.0,9.0,7.0,11.0,40.0,3.0,3.0,,,,,1.0,,,,,,,
52,29,Corinthians,25,3,Carlos Gilberto do Nascimento Silva,gil,3.63,7,Gil,7.19,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,True,Gil,68923,9.3,,264,0.44,2.0,8.0,26.0,24.0,5.0,6.0,6.0,2.0,4.0,7.0,,,,,,,,,,,
53,29,São Paulo,24,1,Rafael Pires Monteiro,rafael,2.8,7,Rafael,6.72,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,True,Rafael,68928,-2.0,,276,-1.43,,,1.0,,,,2.0,,,7.0,,,,,,60.0,,30.0,,,
54,29,Cruzeiro,27,1,Rafael Cabral Barbosa,rafael-cabral,3.98,6,R. Cabral,10.56,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,True,Rafael Cabral,68940,5.0,,283,-0.13,,3.0,1.0,,,,4.0,,,11.0,1.0,,,,,77.0,,24.0,,,
55,29,Cruzeiro,26,3,Luciano Castán da Silva,luciano-castan,3.46,6,L. Castán,7.32,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,True,Luciano Castán,68942,6.2,,283,0.18,,6.0,16.0,19.0,6.0,7.0,14.0,1.0,1.0,11.0,,,,,,,,,,,
56,29,Fortaleza,16,5,Mário Sérgio Santos Costa,marinho,3.33,6,Marinho,4.51,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,False,Marinho,68952,0.0,,356,0.0,1.0,5.0,10.0,19.0,9.0,9.0,45.0,1.0,5.0,,,3.0,,,1.0,,,,,,
57,29,Fortaleza,14,4,Lucas Pacheco Affini,lucas-sasha,3.22,6,L. Sasha,6.17,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,False,Lucas Sasha,68991,0.0,,356,0.0,,3.0,37.0,21.0,1.0,3.0,13.0,,2.0,,,,,,,,,,,,
58,29,Cuiabá,0,1,João Carlos Heidemann,joao-carlos,0.0,6,J. Carlos,3.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,False,João Carlos,69010,0.0,,1371,0.0,,,,,,,,,,,,,,,,,,,,,
