,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.foto,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.apelido,atletas.clube.id.full.name,atletas.variacao_num,atletas.posicao_id,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,G,V,A,CA,I,DE,GS,PC,PS,SG,CV,FT,DP,PP,GC
43,7,eduardo,5,Eduardo,9.4,263,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,6.36,68708,5,Carlos Eduardo de Oliveira Alves,14.44,Eduardo,Botafogo,1.18,4,,3.0,7.0,,1.0,9.0,2.0,,2.0,1.0,,,,,,,,,,,
44,6,dodo,5,Dodô,0.0,282,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,0.0,68727,0,José Rodolfo Pires Ribeiro,5.0,Dodô,Atlético-MG,0.0,2,,,,,,,,,,,,,,,,,,,,,
45,7,camacho,5,Camacho,1.1,277,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,1.8,68770,3,Guilherme de Aguiar Camacho,2.73,Camacho,Santos,-0.5,4,,7.0,8.0,,,1.0,,,,1.0,1.0,,,,,,,,,,
46,6,henrique-almeida,5,H. Almeida,0.0,327,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,1.45,68773,2,Henrique Almeida Caixeta Nascentes,4.23,Henrique Almeida,América-MG,0.0,5,,,3.0,,1.0,,,,,,,,,,,,,1.0,,,
47,6,nino-paraiba,5,N. Paraíba,0.0,327,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_LO6uOVK.png,1.2,68808,4,Severino do Ramo Clementino da Silva,3.73,Nino Paraíba,América-MG,0.0,2,,3.0,4.0,1.0,1.0,5.0,,,,1.0,1.0,,,1.0,,,,,,,
48,6,marcelo-lomba,5,M. Lomba,0.0,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,68872,0,Marcelo Lomba do Nascimento,8.0,Marcelo Lomba,Palmeiras,0.0,1,,,,,,,,,,,,,,,,,,,,,
49,6,wellington-silva,5,W. Silva,1.7,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,0.85,68895,4,Wellington Alves da Silva,3.12,Wellington Silva,Cuiabá,0.17,5,,2.0,,,,2.0,,,,,,,,,,,,,,,
50,6,diego-souza,5,D. Souza,0.0,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,0.0,68911,0,Diego Souza de Andrade,7.0,Diego Souza,Grêmio,0.0,5,,,,,,,,,,,,,,,,,,,,,
51,7,vinicius,5,Vinicius,0.0,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,3.96,68917,5,Vinicius Santos Silva,7.92,Vinicius,Goiás,-0.87,5,,8.0,4.0,4.0,6.0,6.0,,,,1.0,2.0,,,,,,,,,,
52,7,dudu,5,Dudu,6.1,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,7.42,68920,5,Eduardo Pereira Rodrigues,15.9,Dudu,Palmeiras,-0.81,5,,3.0,2.0,4.0,6.0,7.0,1.0,,2.0,,,,,,,,,1.0,,,
53,7,gil,5,Gil,-0.1,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,0.86,68923,5,Carlos Gilberto do Nascimento Silva,3.94,Gil,Corinthians,-0.48,3,,4.0,5.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
54,7,rafael,5,Rafael,10.0,276,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,6.2,68928,5,Rafael Pires Monteiro,9.45,Rafael,São Paulo,1.05,1,,,,,,,,,,,,19.0,3.0,,,3.0,,,,,
55,7,rafael-cabral,5,R. Cabral,1.0,283,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,5.7,68940,5,Rafael Cabral Barbosa,10.29,Rafael Cabral,Cruzeiro,-0.63,1,,,,,,1.0,,,,,,23.0,5.0,,,2.0,,,,,
