,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,DS,FC,FS,CA,FD,FF,G,PS,SG,I,V,A,FT,CV,DE,GS,DP,PC,PP,GC
410,4.95,vitor-mendes,2,Vitor Mendes,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_L4w297p.png,2.86,104401,6.66,6,0.0,0.0,Vitor Mendes Alves,266,V. Mendes,3,Fluminense,8,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,
411,1.7,reinaldo,1,Reinaldo,https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png,2.83,104420,2.39,6,0.0,0.0,Reinaldo Nascimento Satorno,293,Reinaldo,5,Athlético-PR,8,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
412,0.0,felipe-scheibig,0,Felipe Scheibig,https://s.sde.globo.com/media/person_role/2021/07/16/79af8f6f344db19983598078705340fc_FORMATO.png,1.12,104424,1.0,6,0.0,0.0,Felipe Mateus Scheibig,284,F. Scheibig,1,Grêmio,8,,,,,,,,,,,,,,,,,,,,
413,5.72,christian,6,Christian,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,2.09,104502,9.48,7,-0.36,3.4,Christian Roberto Alves Cardoso,293,Christian,4,Athlético-PR,8,10.0,7.0,6.0,,,3.0,2.0,,,,,,1.0,,,,,,,
414,0.83,vinicius-zanocelo,4,Vinícius Zanocelo,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_OPlr7ly.png,0.99,104521,3.77,6,0.0,0.0,Vinícius Nelson de Souza Zanocelo,356,V. Zanocelo,4,Fortaleza,8,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
415,0.0,sandry,0,Sandry,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_bbHXWKZ.png,5.38,104580,4.0,6,0.0,0.0,Sandry Roberto Santos Goes,277,Sandry,4,Santos,8,,,,,,,,,,,,,,,,,,,,
416,0.0,fabricio,0,Fabrício,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AAId2Kq.png,1.12,104588,1.0,6,0.0,0.0,Fabrício Oliveira de Souza,280,Fabrício,1,Bragantino,8,,,,,,,,,,,,,,,,,,,,
417,0.2,darlan,1,Darlan,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NzyHepN.png,3.51,104593,2.71,6,0.0,0.0,Darlan Pereira Mendes,284,Darlan,4,Grêmio,8,1.0,,,1.0,,,,,,,,,,,,,,,,
418,0.17,matheus-bianqui,4,Matheus Bianqui,https://s.sde.globo.com/media/person_role/2023/04/21/photo_FORMATO.png,-0.25,104640,2.25,6,-0.3,-0.6,Matheus Henrique Bianqui,294,M. Bianqui,4,Coritiba,8,2.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,
419,6.42,moises,6,Moisés,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_217hwXw.png,1.73,104666,12.3,7,-0.01,2.7,Moisés Vieira da Veiga,356,Moisés,5,Fortaleza,8,2.0,2.0,3.0,1.0,9.0,2.0,3.0,,,2.0,,,,,,,,,,
420,6.17,juan-vojvoda,8,Juan Vojvoda,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,4.79,104754,12.62,7,1.01,8.03,Juan Pablo Vojvoda Rizzo,356,J. Vojvoda,6,Fortaleza,8,,,,,,,,,,,3.0,,,,,,,,,
421,2.26,acevedo,7,Acevedo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,1.61,104783,4.24,6,0.0,0.0,Nicolás Brian Acevedo Tabárez,265,Acevedo,4,Bahia,8,13.0,14.0,8.0,2.0,,3.0,,,,,,,,,,,,,,
422,0.0,igo-gabriel,0,Igo Gabriel,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_C8GywEv.png,1.12,104991,1.0,6,0.0,0.0,Igo Gabriel Santos Pereira,263,I. Gabriel,1,Botafogo,8,,,,,,,,,,,,,,,,,,,,
423,2.11,luis-henrique,8,Luis Henrique,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,4.7,105049,5.38,6,1.44,8.0,Luis Henrique Tomaz de Lima,263,L. Henrique,5,Botafogo,8,5.0,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,
424,2.42,khellven,6,Khellven,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7lRpDNN.png,0.12,105175,6.23,2,-0.71,0.0,Khellven Douglas Silva Oliveira,293,Khellven,2,Athlético-PR,8,7.0,7.0,5.0,,,1.0,,,1.0,1.0,,,,,,,,,,
425,2.94,bento,8,Bento,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,0.13,105208,8.71,7,-0.25,0.0,Bento Matheus Krepski,293,Bento,1,Athlético-PR,8,,,1.0,1.0,,,,,2.0,,,1.0,,,20.0,11.0,,,,
426,0.0,de-lucca,0,De Lucca,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_J73ZkrF.png,3.96,105294,3.0,5,0.0,0.0,Patrick de Lucca Chaves de Oliveira,267,D. Lucca,4,Vasco,8,,,,,,,,,,,,,,,,,,,,
427,0.0,ferraresi,0,Ferraresi,https://s.sde.globo.com/media/person_role/2022/08/13/a5301263d96806640ddf67cec70f99e7_FORMATO.png,8.22,105300,6.0,6,0.0,0.0,Nahuel Adolfo Ferraresi Hernández,276,Ferraresi,3,São Paulo,8,,,,,,,,,,,,,,,,,,,,
428,2.53,gabriel-xavier,3,Gabriel Xavier,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,1.86,105373,3.26,6,0.0,0.0,Gabriel Lheman Xavier - Lhman,265,G. Xavier,3,Bahia,8,5.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,
429,0.0,trindade,0,Trindade,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_IfD8fQ4.png,5.38,105433,4.0,6,0.0,0.0,Jesús Emiliano Trindade Flores,294,Trindade,4,Coritiba,8,,,,,,,,,,,,,,,,,,,,
430,4.63,matheus-bidu,6,Matheus Bidu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,5.76,105531,7.1,7,1.49,9.8,Matheus Lima Beltrão Oliveira Valin,264,M. Bidu,2,Corinthians,8,10.0,5.0,13.0,1.0,3.0,4.0,,,1.0,,,,,,,,,,,
431,0.0,davo,0,Davó,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Y26zRnV.png,3.96,105533,3.0,6,0.0,0.0,Matheus Alvarenga de Oliveira,283,Davó,5,Cruzeiro,8,,,,,,,,,,,,,,,,,,,,
