,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.apelido,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.variacao_num,atletas.posicao_id,atletas.slug,DS,FC,FS,PC,SG,CA,DE,GS,CV,DP,GC,FD,FF,G,I,A,PP,PS,FT,V,PI
59,262,9.47,6,69012,3.25,Flamengo,0.0,Aderbar Melo dos Santos Neto,Santos,Santos,7.33,False,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,21,6,0.0,1,santos,,,1.0,,2.0,,17.0,8.0,,,,,,,,,,,,,
60,266,5.19,3,69014,1.97,Fluminense,0.0,Manoel Messias Silva Carvalho,Manoel,Manoel,1.76,False,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,21,6,0.0,3,manoel,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
61,293,3.44,6,69022,0.6,Athlético-PR,0.0,Marcelo Cirino da Silva,Marcelo Cirino,M. Cirino,1.21,False,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,21,4,0.0,5,marcelo-cirino,2.0,2.0,2.0,,,1.0,,,,,,,1.0,,2.0,,,,,,
62,264,4.5,5,69034,2.1,Corinthians,0.0,José Paulo Bezerra Maciel Júnior,Paulinho,Paulinho,3.64,False,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,21,4,0.0,4,paulinho,6.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,
63,277,3.05,6,69040,1.5,Santos,0.0,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,Vladimir,2.55,False,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,21,2,0.0,1,vladimir,,,,,,,9.0,6.0,1.0,,,,,,,,,,,,
64,265,4.64,6,69051,7.0,Bahia,0.0,Danilo Fernandes Batista,Danilo Fernandes,D. Fernandes,2.9,False,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,21,1,0.0,1,danilo-fernandes,,,,,,1.0,7.0,,,,,,,,,,,,,,
65,276,10.72,6,69063,1.6,São Paulo,3.4,James David Rodríguez Rubio,James Rodríguez,J. Rodríguez,2.96,True,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,21,3,0.31,4,james-rodriguez,3.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,
66,282,4.1,6,69102,1.24,Atlético-MG,0.0,Eduardo Jesús Vargas Rojas,Vargas,Vargas,1.43,False,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,21,12,0.0,5,vargas,4.0,7.0,4.0,,,3.0,,,,,,2.0,2.0,1.0,,,,1.0,,,
67,293,10.34,7,69138,4.78,Athlético-PR,0.5,Pablo Felipe Teixeira,Pablo,Pablo,0.84,True,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,21,14,-0.16,5,pablo,13.0,9.0,15.0,,,2.0,,,,,,3.0,10.0,3.0,1.0,2.0,,,1.0,,
68,262,3.62,6,69165,1.43,Flamengo,0.0,Pablo Nascimento Castro,Pablo,Pablo,0.13,False,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,21,3,0.0,3,pablo,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,
