,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.atleta_id,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido,atletas.foto,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,DS,FC,FD,FF,FS,FT,G,I,CA,CV,SG,PS,DE,GS,DP,A,PC,PP,V,GC
72,7,Flamengo,262,2.6,6.36,69375,Arturo Erasmo Vidal Pardo,1.61,5,vidal,Vidal,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,0.31,2.78,Vidal,4,6,5.0,4.0,2.0,4.0,5.0,1.0,,,2.0,,,,,,,,,,,
73,7,Cruzeiro,283,0.2,3.48,69705,Maycon Vinícius Ferreira da Cruz,0.22,5,nikao,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,-0.32,0.3,Nikão,4,6,2.0,4.0,,,3.0,,,2.0,1.0,,,,,,,,,,,
74,7,Goiás,290,0.0,5.0,70116,Fellipe Ramos Ignez Bastos,5.65,0,fellipe-bastos,Fellipe Bastos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,0.0,0.0,F. Bastos,4,6,,,,,,,,,,,,,,,,,,,,
75,7,Botafogo,263,8.0,5.45,70171,Rafael Pereira da Silva,4.7,4,rafael,Rafael,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,1.0,3.9,Rafael,2,2,12.0,6.0,,,2.0,,,,,1.0,1.0,,,,,,,,,
76,7,Grêmio,284,1.1,4.38,70172,Fábio Pereira da Silva,0.74,2,fabio,Fábio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,-1.02,3.65,Fábio,2,7,2.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,
77,7,Grêmio,284,0.0,2.09,70221,Bruno Uvini,0.1,4,bruno-uvini,Bruno Uvini,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,-0.06,0.02,B. Uvini,3,7,2.0,1.0,,,2.0,,,,2.0,,,,,,,,1.0,,,
78,7,Bragantino,280,10.0,11.05,70360,Eduardo Colcenti Antunes,5.9,7,eduardo-sasha,Eduardo Sasha,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,1.46,5.09,E. Sasha,5,7,4.0,4.0,,3.0,10.0,1.0,3.0,4.0,2.0,,,,,,,,,,,
79,7,Coritiba,294,0.0,3.58,70449,Gabriel Vasconcelos Ferreira - Vasconcellos,1.17,6,gabriel,Gabriel,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,0.0,1.33,Gabriel,1,7,,,,,,,,,1.0,,,,23.0,14.0,,,,,,
80,7,Cuiabá,1371,6.2,7.36,70666,Marllon Gonçalves Jerônimo Borges,3.71,7,marllon,Marllon,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,0.96,3.69,Marllon,3,7,7.0,4.0,,2.0,4.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,
81,7,Flamengo,262,6.95,10.85,70800,Jorge Sampaoli,4.13,6,jorge-sampaoli,Jorge Sampaoli,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,0.34,5.86,J. Sampaoli,6,7,,,,,,,,,,,,,,,,,,,3.0,
