,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.variacao_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.slug,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.media_num,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FD,FF,FS,FT,I,PC,SG,A,CV,GC,DE,GS,G,PP,V,PS,DP,PI
56,False,Marinho,0.0,30,Fortaleza,356,5,68952,0.0,4.51,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,marinho,Mário Sérgio Santos Costa,16,7,3.33,Marinho,,5.0,10.0,19.0,9.0,9.0,45.0,,5.0,,,1.0,,,,,1.0,1.0,,3.0,,
57,False,L. Sasha,0.0,30,Fortaleza,356,4,68991,0.0,6.17,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,lucas-sasha,Lucas Pacheco Affini,14,3,3.22,Lucas Sasha,,3.0,37.0,21.0,1.0,3.0,13.0,,2.0,,,,,,,,,,,,,
58,False,J. Carlos,0.0,30,Cuiabá,1371,1,69010,0.0,3.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,joao-carlos,João Carlos Heidemann,0,7,0.0,João Carlos,,,,,,,,,,,,,,,,,,,,,,
59,False,Santos,0.0,30,Flamengo,262,1,69012,0.0,9.47,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,santos,Aderbar Melo dos Santos Neto,6,6,3.25,Santos,,,,,,,1.0,,,,2.0,,,,17.0,8.0,,,,,,
60,False,Manoel,0.0,30,Fluminense,266,3,69014,0.0,5.19,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,manoel,Manoel Messias Silva Carvalho,6,3,1.97,Manoel,,1.0,3.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,
61,False,M. Cirino,0.0,30,Athlético-PR,293,5,69022,0.0,3.44,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,marcelo-cirino,Marcelo Cirino da Silva,4,6,0.6,Marcelo Cirino,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,,
62,False,Paulinho,0.0,30,Corinthians,264,4,69034,0.0,4.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,paulinho,José Paulo Bezerra Maciel Júnior,4,5,2.1,Paulinho,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,
63,False,Vladimir,0.0,30,Santos,277,1,69040,0.0,1.51,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,vladimir,Vladimir Orlando Cardoso de Araújo Filho,3,6,-1.0,Vladimir,,,,,,,,,,,,,1.0,,10.0,13.0,,,,,,
64,False,D. Fernandes,0.0,30,Bahia,265,1,69051,0.0,3.42,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,danilo-fernandes,Danilo Fernandes Batista,1,6,6.0,Danilo Fernandes,,2.0,,,,,,,,,,,,,7.0,,,,,,,
65,True,J. Rodríguez,-0.34,30,São Paulo,276,4,69063,0.0,9.65,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,james-rodriguez,James David Rodríguez Rubio,9,7,3.02,James Rodríguez,,,4.0,8.0,1.0,4.0,7.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,
