,atletas.apelido,atletas.variacao_num,atletas.nome,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.status_id,atletas.slug,atletas.jogos_num,atletas.rodada_id,atletas.media_num,atletas.foto,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,SG,V,PS,DE,GS,DP,PP,PC,GC
23,Titi,-0.51,Christian Chagas Tarouco,Titi,,7,titi,9,10,4.98,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,356,2.3,7.52,Fortaleza,3,50353,,2.0,16.0,8.0,1.0,1.0,8.0,,,,,5.0,,,,,,,1.0,
24,Henrique,1.21,Henrique Adriano Buss,Henrique,,7,henrique,7,10,1.13,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,294,5.9,3.51,Coritiba,3,50856,,2.0,4.0,7.0,1.0,,2.0,,,,,1.0,,,,,,,,
25,Apodi,0.58,Luiz Diallison de Souza Alves,Apodi,,6,apodi,6,10,2.32,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,290,3.5,5.25,Goiás,2,51042,,,1.0,2.0,3.0,,2.0,,1.0,3.0,,,,1.0,,,,,,
26,Walter,-0.26,Walter Leandro Capeloza Artune,Walter,,7,walter,10,10,2.85,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1371,5.0,5.82,Cuiabá,1,51413,,1.0,,,,,1.0,,,,,2.0,,,33.0,14.0,,,,
27,Giuliano,0.0,Giuliano Victor de Paula,Giuliano,,6,giuliano,7,10,0.32,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,264,0.0,2.31,Corinthians,4,51548,,1.0,2.0,5.0,,1.0,3.0,,,,,,,,,,,,,
28,Everton Ribeiro,-1.21,Everton Augusto de Barros Ribeiro,E. Ribeiro,,7,everton-ribeiro,6,10,5.18,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,262,5.0,9.45,Flamengo,4,51772,1.0,,9.0,7.0,2.0,2.0,11.0,,1.0,1.0,,,,,,,,,,
29,Réver,0.0,Réver Humberto Alves Araújo,Réver,,6,rever,2,10,4.85,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,282,0.0,4.52,Atlético-MG,3,52253,,1.0,,1.0,,,,,,,,2.0,,,,,,,,
30,David Luiz,0.66,David Luiz Moreira Marinho,D. Luiz,,2,david-luiz,6,10,5.3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,262,5.9,7.71,Flamengo,3,52827,1.0,1.0,7.0,8.0,1.0,2.0,2.0,,1.0,,,2.0,,,,,,,,
31,Alex Teixeira,0.37,Alex Teixeira Santos,A. Teixeira,,7,alex-teixeira,10,10,2.78,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,267,5.5,6.62,Vasco,4,60793,3.0,1.0,5.0,16.0,3.0,6.0,10.0,,,7.0,,,,,,,,,,
32,Felipe Azevedo,0.49,Felipe Azevedo dos Santos,F. Azevedo,,7,felipe-azevedo,10,10,2.76,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,327,7.4,5.56,América-MG,5,60825,,,6.0,8.0,3.0,3.0,12.0,1.0,1.0,1.0,,,,,,,,,,
33,Uendel,0.0,Uendel Pereira Gonçalves,Uendel,,6,uendel,0,10,0.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,1371,0.0,4.0,Cuiabá,2,60852,,,,,,,,,,,,,,,,,,,,
34,Cicinho,-0.31,Neuciano de Jesus Gusmão,Cicinho,,7,cicinho,3,10,4.57,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,265,4.8,3.87,Bahia,2,61106,,2.0,6.0,9.0,1.0,,4.0,1.0,,,,1.0,,,,,,,,
35,Gilberto,0.98,Gilberto Oliveira Souza Júnior,Gilberto,,7,gilberto,10,10,4.98,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,283,6.7,9.67,Cruzeiro,5,61188,1.0,2.0,5.0,11.0,5.0,15.0,5.0,,3.0,4.0,,,,,,,,,,
