"atletas.atleta_id","atletas.apelido","atletas.clube.id.full.name","atletas.posicao_id","atletas.foto"
101796,"Carneiro","São Paulo","Atacante","https://s.glbimg.com/es/sde/f/2018/04/02/e87f821cc4b18fbb78bcfbf44eb0f17f_140x140.png"
36540,"Juan","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_140x140.jpeg"
102413,"Luis David","Ceará","Atacante",NA
88412,"Lucas","Vasco","Meia","https://s.glbimg.com/es/sde/f/2018/03/28/e8c799411d6ba80da004148110333f35_140x140.png"
94214,"Léo Duarte","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_140x140.jpeg"
94930,"Lucas Paquetá","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_140x140.jpeg"
101314,"Ademir","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/04/10/785797e137683aa3f4810b86b8ffc886_140x140.png"
94138,"Felipe Vizeu","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/16/140c5ea3e34ec32fead4a646cbe63642_140x140.jpeg"
100985,"Ferreira","Sport","Meia","https://s.glbimg.com/es/sde/f/2018/04/12/1a8922ffc1c19237faf02beed71c102d_140x140.png"
84917,"Jeferson","Vitória","Lateral","https://s.glbimg.com/es/sde/f/2018/04/13/b82201ef35f9d51daf417ce9f8294859_140x140.png"
99440,"Baralhas","Atlético-PR","Meia","https://s.glbimg.com/es/sde/f/2018/04/11/0b2cfec906944f485df6f12ce37ccd4b_140x140.png"
71799,"Silvinho","Paraná","Atacante","https://s.glbimg.com/es/sde/f/2018/04/13/b6a038ad5a16a3e2f3114ee929016abb_140x140.png"
82634,"Matheus Galdezani","Atlético-MG","Meia","https://s.glbimg.com/es/sde/f/2018/04/11/4a77484db9df610f4fb1cbe909c85547_140x140.png"
91156,"Jesiel","Paraná","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/13/f5667beb83b89214d559349a7bcfe52b_140x140.png"
98515,"Lucas Silva","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/04/24/685913465b4d1ad49e7160a89ef627fd_140x140.png"
100065,"Lincoln","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/18/c31fbfdb9ed0a96f765bb7707ec1e618_140x140.png"
79334,"Ricardo Silva","América-MG","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/12/8610e2094215d8b769b8c83cb1b66934_140x140.png"
99535,"Vinicius Junior","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/22/0d561ddc8dda735fc3ab96a8866e90d0_140x140.jpeg"
78077,"Madson","Grêmio","Lateral","https://s.glbimg.com/es/sde/f/2018/04/13/695988b1d73d53bec9423a7af3348dda_140x140.png"
72491,"Bressan","Grêmio","Zagueiro","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_140x140.png"
51495,"Tiago Alves","Ceará","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/12/4ac64e59708b5d650a2eaa4d53c9c1db_140x140.png"
98517,"Jean Lucas","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/04/24/51b0b51b6e93e3be827dfbed26355d91_140x140.png"
102553,"Léo Xavier","Vitória","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/13/0e1b28895cd742c8eeb558bbec613ed4_140x140.png"
100125,"Thuler","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/24/f7bd3bfb4fa279ba10f4f95d4d2aa80e_140x140.jpeg"
78715,"Ramiro","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_140x140.png"
81845,"Alisson","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2018/04/17/9ea46df360d901ff5fe748aa898991e9_140x140.png"
80853,"Pedro Geromel","Grêmio","Zagueiro","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_140x140.png"
86759,"Luan","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_140x140.png"
100126,"Kleber","Flamengo","Lateral","https://s.glbimg.com/es/sde/f/2017/09/05/6fc335d35eb2a8f269f2cf230475150c_140x140.png"
100127,"Pablo Maldini","Flamengo","Lateral",NA
86757,"Everton","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_140x140.png"
101577,"Michael","Flamengo","Lateral",NA
101574,"Hugo Souza","Flamengo","Goleiro",NA
86973,"Leonardo","Grêmio","Lateral","https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_140x140.png"
101573,"Pepê","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/e7607f8d20077dbbbeb1d032794914ca_140x140.png"
