"slug","atleta_id","team","posicao","shotsX_mean","faltas_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean","score_no_cleansheets_mean","pontuacao_mean"
"ronaldo-alves",68950,"Sport - PE","zag",0.344827586206897,1.3448275862069,1.31034482758621,1.17241379310345,0,0.137931034482759,1.10344827586207,0.310344827586207,0,0,0,1.24827586206897,2.4551724137931
"leandro-damiao",68953,"Internacional - RS","ata",2.16,1.48,0.28,1.64,0.08,0.32,1.28,1,0.4,0,0,4.64,4.64
"santos",69012,"Atlético - PR","gol",0,0.133333333333333,0,0.733333333333333,0,0,0.2,0,0,1.6,0,4.46333333333333,5.06333333333333
"eduardo-sasha",70360,"Santos - SP","ata",0.727272727272727,0.863636363636364,0.636363636363636,1.45454545454545,0.136363636363636,0.409090909090909,1.22727272727273,0.454545454545455,0.0454545454545455,0,0,2.19090909090909,2.19090909090909
"danilo-avelar",72142,"Corinthians - SP","lat",0.947368421052632,2.52631578947368,1.26315789473684,3.47368421052632,0.0526315789473684,0.157894736842105,1.05263157894737,0.421052631578947,0.0526315789473684,0,0,1.3,2.35263157894737
"bruno-peres",73962,"São Paulo - SP","lat",0.3125,2,2.5,2.25,0,0,1,0.25,0.0625,0,0,2.80625,4.36875
"rene",73978,"Paraná - PR","zag",0.210526315789474,1.10526315789474,1.78947368421053,1.89473684210526,0,0.0526315789473684,0.684210526315789,0.157894736842105,0,0,0,1.51578947368421,1.77894736842105
"elber",74140,"Bahia - BA","mei",0.821428571428571,1,1.17857142857143,2.10714285714286,0.142857142857143,0.142857142857143,1.96428571428571,0.142857142857143,0.142857142857143,0,0,3.73214285714286,3.73214285714286
"thiago-santos",78855,"Palmeiras - SP","mei",0.409090909090909,3,3.45454545454545,1.45454545454545,0.0454545454545455,0.0454545454545455,1.18181818181818,0.227272727272727,0.0454545454545455,0,0,4.49090909090909,4.49090909090909
"renatinho",80395,"Botafogo - RJ","mei",0.714285714285714,0.642857142857143,1.07142857142857,1.21428571428571,0,0.0714285714285714,1.14285714285714,0.285714285714286,0,0,0,1.98571428571429,1.98571428571429
"leo-pereira",83528,"Atlético - PR","zag",0.6,1,0.866666666666667,3.2,0,0,0.466666666666667,0.266666666666667,0.2,0,0,1.64666666666667,4.31333333333333
"neilton",83772,"Vitória - BA","ata",1.1875,1.59375,1.15625,2.9375,0.125,0.125,1.75,0.6875,0.21875,0,0,3.775,3.775
"leonardo",86973,"Grêmio - RS","lat",0.384615384615385,1.07692307692308,2.15384615384615,2,0.0769230769230769,0,0.692307692307692,0.230769230769231,0,0,0,2.96153846153846,5.65384615384615
"thaciano",87470,"Grêmio - RS","mei",0.6875,1.1875,1.1875,0.6875,0,0.125,0.4375,0.1875,0.0625,0,0,2.03125,2.03125
"sornoza",87877,"Fluminense - RJ","mei",1.46428571428571,0.821428571428571,0.928571428571429,2.53571428571429,0.0357142857142857,0,0.642857142857143,0.821428571428571,0.0357142857142857,0,0,1.975,1.975
"rodrigo-andrade",89646,"Vitória - BA","mei",0.454545454545455,1.54545454545455,1.09090909090909,2.18181818181818,0,0,0.772727272727273,0.272727272727273,0,0,0,0.622727272727273,0.622727272727273
"marlos",89827,"Flamengo - RJ","ata",0.888888888888889,0.888888888888889,0.777777777777778,0.611111111111111,0.0555555555555556,0.222222222222222,1.27777777777778,0.444444444444444,0.0555555555555556,0,0,2.36111111111111,2.36111111111111
"christian",91928,"América - MG","mei",1.1,0.9,1.5,1.9,0,0.1,1.5,0.7,0.1,0,0,3.68,3.68
"raphael-veiga",94509,"Atlético - PR","mei",1.61538461538462,1.5,0.461538461538462,2.11538461538462,0.230769230769231,0.115384615384615,1.15384615384615,0.730769230769231,0.230769230769231,0,0,3.86153846153846,3.86153846153846
