AtletaID,Rodada,Posicao,ClubeID,Pontos,PontosMedia,Preco,PrecoVariacao,media,roll.media,Jogos,CA,CV,DD,DP,FC,GC,GS,RB,SG,A,FD,FF,FS,FT,G,I,PE,PP
36540,5,2,16,1.2,1.52,10.45,-0.16,1.26666666666667,1.52,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36540,7,2,16,1.9,1.58,10.14,-0.31,1.1875,0.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
36540,8,2,16,10.7,2.88,11.87,1.73,2.24444444444444,2.94,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
36540,9,2,16,4.1,3.03,11.2,-0.67,2.43,3.58,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36540,10,2,16,0.4,2.74,10.7,-0.5,2.2454545454545496,3.42,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
36540,11,2,16,10.0,3.47,12.69,1.99,2.8916666666666697,5.42,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36540,12,2,16,2.3,3.36,11.47,-1.22,2.84615384615385,5.5,11.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
36540,13,2,16,7.1,3.67,12.55,1.08,3.15,4.78,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36540,14,2,16,6.6,3.9,12.72,0.17,3.38,5.28,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
36540,15,2,16,7.3,4.14,13.15,0.43,3.625,6.66,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36540,16,2,16,1.8,3.98,12.04,-1.11,3.5176470588235302,5.02,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
36540,17,2,16,5.0,4.04,12.86,0.82,3.6,5.56,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
36540,23,2,16,9.8,4.38,13.33,0.47,3.1083333333333303,1.96,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36540,24,2,16,7.4,4.55,13.21,-0.12,3.28,3.44,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
36540,25,2,16,10.0,4.84,13.82,0.61,3.53846153846154,5.44,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
36540,26,2,16,-2.5,4.47,11.69,-2.13,3.31481481481481,4.94,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36540,27,2,16,4.8,4.49,12.76,1.07,3.36785714285714,5.9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36540,1,2,13,11.7,11.7,13.75,6.75,1.55,1.18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
36540,2,2,13,2.2,6.95,15.22,1.47,1.55822784810127,2.78,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36540,3,2,13,-2.8,3.7,12.95,-2.27,1.50375,2.22,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36540,15,2,13,1.1,3.05,11.32,-1.63,1.3195652173913,0.22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36540,16,2,13,3.5,3.14,11.6,0.28,1.3430107526881698,0.92,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
36540,17,2,13,4.4,3.35,11.91,0.31,1.37553191489362,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36540,35,2,13,4.9,3.57,11.6,-0.31,1.19821428571429,0.98,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
36540,38,2,13,2.9,3.58,11.02,-0.45,1.2304347826087,2.44,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
36540,4,2,13,7.5,7.5,6.11,1.11,1.24166666666667,1.5,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
