A,Apelido,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,media,roll.media
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,True,11.2,5.28,mei,18.74,1.72,1.0,36,0.0,0,2014,3.4243243243243198,4.96
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,True,4.7,5.26,mei,17.78,-0.96,0.0,37,0.0,0,2014,3.4578947368421,3.88
0.0,0,36522,1.0,0.0,Coritiba,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,True,-0.3,5.05,mei,16.75,-1.03,1.0,38,0.0,0,2014,3.3615384615384603,3.82
0.0,0,36540,1.0,0.0,Internacional,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,2.0,2.0,zag,12.88,-2.12,0.0,1,1.0,0,2014,1.0,1.0
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,True,3.4,2.7,zag,12.04,-0.84,2.0,2,0.0,0,2014,1.8,1.0
0.0,0,36540,1.0,0.0,Internacional,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,True,0.1,1.83,zag,10.85,-1.19,1.0,3,0.0,0,2014,1.375,1.0
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,True,0.9,1.6,zag,10.61,-0.24,0.0,4,0.0,0,2014,1.28,1.28
0.0,0,36540,1.0,0.0,Internacional,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,1.2,1.52,zag,10.45,-0.16,0.0,5,1.0,0,2014,1.26666666666667,1.52
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,True,1.9,1.58,zag,10.14,-0.31,0.0,7,0.0,0,2014,1.1875,0.82
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,True,10.7,2.88,zag,11.87,1.73,3.0,8,1.0,0,2014,2.24444444444444,2.94
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,True,4.1,3.03,zag,11.2,-0.67,2.0,9,0.0,0,2014,2.43,3.58
