"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","CV","FC","FD","FF","FS","I","PE","RB","SG","FT","A","G","PP","DD","GS","GC","DP"
"192","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/25/49f339ad5e5c362acf8628d9d617d724_FORMATO.png",50407,24,"FLU","mei","Contundido",0,2.98,0,-0.4,4,"Fluminense",1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,24,"COR","ata","Dúvida",2.8,14,0.21,3.85,20,"Coritiba",4,NA,24,11,15,36,15,47,20,NA,1,1,5,1,NA,NA,NA,NA
"194","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,24,"GRE","ata","Dúvida",7.3,12.54,0.52,5.83,19,"Grêmio",1,NA,20,12,10,57,2,36,20,NA,NA,1,6,NA,NA,NA,NA,NA
"195","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2017/08/30/be14f1dad39de4605e99b4889d96758f_FORMATO.png",50421,24,"SPO","mei","Dúvida",-2.2,3.01,-0.31,0.3,5,"Sport",1,NA,4,1,NA,5,NA,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,24,"AVA","ata","Provável",1.3,8.49,-1.07,5.16,18,"Avaí",2,NA,29,7,19,28,4,50,20,NA,2,1,6,NA,NA,NA,NA,NA
"197","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,24,"COR","zag","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2017/02/18/25a86aa5d44e9bdbf64ffd3c0f0a0c25_FORMATO.png",72490,24,"VIT","zag","Nulo",0,3.95,0,1.85,11,"Vitória",3,NA,11,3,5,2,NA,30,12,1,NA,NA,1,NA,NA,NA,NA,NA
"199","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2017/07/25/ac2070c9ec995dd5cc0efc710891a97a_FORMATO.png",50362,24,"FLU","lat","Provável",0,1.48,0,0.52,18,"Fluminense",5,NA,37,1,4,14,5,59,22,1,NA,1,NA,NA,NA,NA,NA,NA
"200","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,24,"COR","ata","Nulo",0,8.29,0,2.14,13,"Coritiba",2,NA,9,2,8,13,5,23,8,NA,NA,2,1,NA,NA,NA,NA,NA
"201","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2017/07/25/3877f66bdd821cbbcd81de82eeebcb3c_FORMATO.png",50856,24,"FLU","zag","Contundido",0,9.14,0,2.28,20,"Fluminense",3,NA,19,1,1,23,NA,33,24,2,2,NA,NA,NA,NA,NA,NA,NA
"202","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,24,"CRU","zag","Suspenso",14.1,11.29,2.37,3.25,22,"Cruzeiro",6,NA,14,4,3,12,NA,51,16,10,1,1,1,NA,NA,NA,NA,NA
"203","Keirrison de Souza Carneiro","Keirrison","https://s.glbimg.com/es/sde/f/2017/07/27/e66b2c78e9f0ae24320e10cc36d11f56_FORMATO.png",50880,24,"COR","ata","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Rafael Galhardo de Souza","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2017/08/31/c9a63e2ac3d3f9ff545be82843a56f28_FORMATO.jpeg",68821,24,"CRU","lat","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2017/07/28/eaa5d401b5faf55be5cb064b19e97744_FORMATO.png",50645,24,"BAH","lat","Provável",0.5,6.17,-0.22,2.63,23,"Bahia",5,NA,34,1,4,21,2,119,41,7,NA,1,NA,NA,NA,NA,NA,NA
"206","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,24,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,24,"FLU","zag","Contundido",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2017/08/30/59b84512a1f8464d9476589c93df7a53_FORMATO.png",68834,24,"SPO","mei","Provável",0.9,10.84,-0.56,4.18,20,"Sport",5,NA,29,7,17,19,1,65,48,NA,NA,2,1,NA,NA,NA,NA,NA
"209","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,24,"BOT","zag","Nulo",3.6,5.9,0.08,4.78,5,"Botafogo",1,NA,3,NA,2,6,NA,13,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"210","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,24,"SAO","gol","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Luiz Diallison de Souza Alves","Apodi","https://s.glbimg.com/es/sde/f/2017/04/24/287a66acd6363a7d660701c832982d75_FORMATO.png",51042,24,"CHA","lat","Provável",3.8,7.76,0.25,2.8,21,"Chapecoense",7,NA,46,7,11,40,2,46,27,6,NA,NA,NA,NA,NA,NA,NA,NA
"212","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2017/07/25/f6a981f0f20a4b82ddc029c4cb983564_FORMATO.png",68827,24,"FLU","zag","Contundido",0,2.66,0,2.16,7,"Fluminense",2,NA,10,3,1,2,1,11,6,1,NA,NA,1,NA,NA,NA,NA,NA
"213","Renato Adriano Jacó de Morais","Renato Cajá","https://s.glbimg.com/es/sde/f/2017/05/02/c6dd544b90a2c4194626f51e05b53b4e_FORMATO.png",51319,24,"PON","mei","Nulo",2.8,7.2,0.47,1.75,14,"Ponte Preta",1,1,16,1,9,14,1,53,14,NA,NA,2,1,NA,NA,NA,NA,NA
"214","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,24,"CRU","zag","Provável",0,5.25,0,1.65,2,"Cruzeiro",NA,1,3,NA,1,2,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"215","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2017/05/02/7c58801a7248a49556b48b3d0b29ca4d_FORMATO.png",51318,24,"SAN","mei","Suspenso",-1.9,3.32,-0.38,-0.26,9,"Santos",3,NA,10,NA,2,8,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,24,"VIT","ata","Nulo",0,7.1,0,2.65,10,"Vitória",1,NA,16,3,5,9,4,18,4,NA,NA,2,2,NA,NA,NA,NA,NA
"217","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2017/04/28/050f2523a89b53c80e67a8b25d407fea_FORMATO.png",51415,24,"ATL","zag","Contundido",0,7.51,0,2.63,19,"Atlético-GO",NA,NA,29,NA,10,31,NA,41,24,1,1,1,NA,NA,NA,NA,NA,NA
"218","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,24,"PON","lat","Dúvida",-1.4,18.92,-0.93,5.11,20,"Ponte Preta",3,NA,23,7,5,38,4,85,38,6,NA,3,1,NA,NA,NA,NA,NA
"219","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/27/0d5457a07c57dd1908db4421fa48b276_FORMATO.png",68896,24,"VAS","lat","Provável",4,9.7,-1.53,7.12,10,"Vasco",NA,NA,12,1,3,25,NA,35,23,3,NA,2,1,NA,NA,NA,NA,NA
"220","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,24,"ATL","gol","Nulo",0,0.83,0,-3.1,3,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,9,NA,NA
"221","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,24,"SPO","mei","Dúvida",1.2,5.79,-0.14,3.25,8,"Sport",2,NA,14,NA,4,6,NA,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Walter Leandro Capeloza Artune","Walter","https://s.glbimg.com/es/sde/f/2017/04/20/196790f232d428bcd861ad55c55dd8cc_FORMATO.png",51413,24,"COR","gol","Nulo",0,6,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Darío Leonardo Conca","Conca","https://s.glbimg.com/es/sde/f/2017/08/22/78ca498fcf5cadcc0cd8ae43c4e186b8_FORMATO.jpeg",50348,24,"FLA","mei","Nulo",0,8.35,0,-0.95,2,"Flamengo",1,NA,1,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png",51700,24,"COR","lat","Nulo",1.9,5.13,-0.9,5.25,8,"Coritiba",NA,NA,7,7,3,7,NA,29,8,3,NA,1,1,NA,NA,NA,NA,NA
"225","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2017/04/23/d52f6bea6aa2f1491f7bd22855a3e821_FORMATO.png",51705,24,"GRE","zag","Nulo",0,5.49,0,3.68,4,"Grêmio",1,NA,4,1,1,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"226","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,24,"FLU","ata","Provável",-1.8,8.34,-0.98,2.63,12,"Fluminense",NA,NA,6,1,2,22,4,44,9,NA,NA,1,2,NA,NA,NA,NA,NA
"227","Éverton Augusto de Barros Ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_FORMATO.png",51772,24,"FLA","mei","Provável",7.9,13.9,0.52,4.26,15,"Flamengo",1,NA,14,6,6,30,NA,73,15,NA,NA,4,3,NA,NA,NA,NA,NA
"228","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,24,"BOT","ata","Provável",0,8.25,0,3.36,20,"Botafogo",3,NA,30,13,11,24,5,85,25,NA,NA,5,2,NA,NA,NA,NA,NA
"229","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,24,"VIT","lat","Nulo",0,5.87,0,3.4,7,"Vitória",1,NA,15,NA,2,16,NA,22,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"230","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,24,"ATL","zag","Provável",2.8,8.76,0.58,1.43,11,"Atlético-MG",4,NA,16,1,4,17,1,18,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"231","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,24,"ATL","gol","Provável",-1.8,10.76,-1.57,4.32,22,"Atlético-MG",3,NA,2,NA,NA,3,NA,12,NA,4,NA,NA,NA,NA,36,26,NA,4
"232","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,24,"BOT","lat","Nulo",7.1,9.68,1.25,3.65,16,"Botafogo",4,NA,16,NA,2,21,1,21,13,7,2,1,NA,NA,NA,NA,NA,NA
"233","Anderson Vieira Martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2017/07/24/b1c36aceb7c5d5fb95b9079cf23fe5fe_FORMATO.png",52618,24,"VAS","zag","Provável",4,9.64,0.02,3.17,4,"Vasco",1,NA,5,NA,2,NA,NA,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"234","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/02/20/2a67dc4c7c97236fb27abf4dbe5a39fc_FORMATO.png",51792,24,"VIT","zag","Provável",-0.9,8.74,-1.74,4.69,18,"Vitória",4,NA,14,3,10,10,5,44,21,6,1,1,4,NA,NA,NA,1,NA
"235","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,24,"SPO","zag","Provável",1.1,8.42,-0.48,4.35,18,"Sport",4,NA,22,4,4,34,2,48,21,8,NA,1,1,NA,NA,NA,NA,NA
"236","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,24,"PAL","ata","Provável",10.7,17.36,1.91,4.43,12,"Palmeiras",3,NA,12,4,3,52,5,46,12,NA,NA,1,3,NA,NA,NA,NA,NA
"237","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/08/16/85d20e5a1ac2e527a5eca70e709f7b10_FORMATO.jpeg",52253,24,"FLA","zag","Nulo",17.9,13.4,2.32,4.61,19,"Flamengo",2,NA,11,4,2,17,2,20,26,6,NA,NA,2,NA,NA,NA,NA,NA
"238","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,24,"COR","mei","Nulo",0,4.85,0,0.96,7,"Corinthians",1,NA,2,NA,1,2,1,11,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"239","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,24,"SAN","ata","Nulo",-0.2,4.7,-0.14,0.16,10,"Santos",1,NA,11,3,4,6,4,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,24,"CRU","gol","Provável",0,7.19,0,-3.6,1,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA
"241","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,24,"SAO","gol","Contundido",0,8.9,0,2.06,20,"São Paulo",2,NA,1,NA,NA,1,NA,15,NA,5,NA,NA,NA,NA,27,28,NA,NA
"242","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2017/08/30/0bede49c732eaf2c30db3293389d7ddd_FORMATO.png",68911,24,"SPO","mei","Provável",0,14.94,0,4.04,15,"Sport",5,NA,25,5,10,37,2,67,6,NA,3,1,6,NA,NA,NA,NA,NA
"243","Leonardo Gamalho de Souza","Léo Gamalho","https://s.glbimg.com/es/sde/f/2017/08/24/cb79c4aff8a8ded85c29f01203f775d8_FORMATO.png",53865,24,"PON","ata","Provável",4.5,8.02,0,4.85,4,"Ponte Preta",NA,NA,7,2,1,4,NA,4,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"244","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,24,"AVA","mei","Nulo",0,5,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,24,"ATL","mei","Suspenso",-3.5,11.21,-1.21,2.84,20,"Atlético-MG",2,1,24,6,6,15,2,69,34,NA,NA,NA,3,NA,NA,NA,NA,NA
"246","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,24,"COR","mei","Nulo",4.5,9.15,0.5,2.88,15,"Corinthians",3,NA,11,4,5,18,1,31,7,NA,NA,4,2,NA,NA,NA,NA,NA
"247","Lucas Pereira Ribeiro de Souza","Lucas",NA,100100,24,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Pedro Augusto Borges da Costa","Pedro Augusto",NA,100085,24,"SAO","mei","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,24,"CHA","ata","Nulo",0,5.47,0,2.3,15,"Chapecoense",1,NA,18,5,8,7,NA,14,2,NA,NA,NA,4,NA,NA,NA,NA,NA
"250","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,24,"VIT","zag","Provável",1.9,8.45,-0.12,4.67,9,"Vitória",3,NA,12,NA,NA,17,NA,17,16,4,1,NA,NA,NA,NA,NA,NA,NA
"251","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png",81898,24,"CHA","ata","Contundido",0,2.99,0,1.23,7,"Chapecoense",2,NA,5,NA,4,1,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"252","Pablo Carneiro Freitas","Pablo Maldini",NA,100127,24,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Lucas Soares de Almeida","Lucas Soares",NA,100158,24,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Ronaldo Rodrigues de Souza","Ronaldo",NA,100162,24,"CRU","zag","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Matheus Soares Thuler","Thuler",NA,100125,24,"FLA","zag","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Lucas Poletto Costa","Lucas Poletto",NA,100132,24,"GRE","ata","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Kleber Augusto Caetano Leite Filho","Klebinho","https://s.glbimg.com/es/sde/f/2017/09/05/6fc335d35eb2a8f269f2cf230475150c_FORMATO.png",100126,24,"FLA","lat","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Vander Tavares Silva","Vander",NA,100159,24,"CRU","mei","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Pedro Henrique de Oliveira Correira","Pedrão","https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg",100322,24,"PAL","zag","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,24,"VIT","gol","Provável",1.1,10.74,-0.2,3.68,22,"Vitória",2,NA,NA,NA,NA,3,NA,19,NA,7,NA,NA,NA,NA,37,32,NA,1
"261","Paulo Henrique Pereira da Silva","Paulo Bóia","https://s.glbimg.com/es/sde/f/2017/09/16/ed8ef66b36eaa70be2d7ff9b56149fdf_FORMATO.png",100333,24,"SAO","ata","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,24,"GRE","mei","Dúvida",5.3,9.81,0.41,5.2,16,"Grêmio",5,NA,37,2,10,17,2,45,45,NA,NA,NA,4,NA,NA,NA,NA,NA
"263","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_FORMATO.jpeg",71709,24,"FLA","mei","Nulo",-0.3,4.43,-0.97,2.93,15,"Flamengo",2,NA,13,2,NA,7,NA,24,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,24,"VAS","ata","Nulo",0,4.45,0,2.11,12,"Vasco",NA,NA,6,2,3,8,2,11,2,NA,NA,1,2,NA,NA,NA,NA,NA
"265","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,24,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",NA,NA,3,3,NA,8,2,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2017/08/30/4df3a999db97ae40b152429edc607db4_FORMATO.png",71724,24,"SPO","gol","Nulo",0,4.57,0,6.05,4,"Sport",NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,8,4,NA,NA
"267","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,24,"PON","mei","Suspenso",-1.9,5.07,-0.5,1.58,18,"Ponte Preta",3,1,32,1,5,16,2,38,25,NA,NA,1,1,NA,NA,NA,NA,NA
"268","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,24,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,24,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,24,"ATL","gol","Provável",1,4.57,0.5,3.36,21,"Atlético-PR",1,NA,NA,NA,NA,5,NA,19,1,7,NA,NA,NA,NA,29,24,NA,NA
"271","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,24,"BOT","lat","Nulo",9.8,7.73,1.62,3.3,5,"Botafogo",NA,NA,4,NA,NA,NA,NA,11,4,1,NA,2,NA,NA,NA,NA,NA,NA
"272","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,24,"AVA","lat","Nulo",0,5.65,0,2.71,12,"Avaí",1,NA,10,NA,4,13,1,15,6,5,NA,NA,NA,NA,NA,NA,NA,NA
"273","Alisson Raimundo de Sousa ","Alisson",NA,100337,24,"AVA","ata","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_FORMATO.png",82411,24,"SAO","mei","Provável",18.5,12.75,3.4,3.63,18,"São Paulo",3,NA,13,6,9,28,5,71,26,NA,1,3,2,1,NA,NA,NA,NA
"275","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,24,"AVA","mei","Provável",7.1,3.7,0.87,1.35,20,"Avaí",3,NA,17,3,7,23,3,36,9,NA,1,NA,2,NA,NA,NA,NA,NA
"276","José Rafael Vivian","Zé Rafael ","https://s.glbimg.com/es/sde/f/2017/07/28/ec8b41ce26f473fab0f1e1de432cc88f_FORMATO.png",82455,24,"BAH","mei","Provável",6,20.24,-0.87,6.33,23,"Bahia",4,NA,48,18,12,73,7,49,57,NA,NA,4,2,NA,NA,NA,NA,NA
