"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"47","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,38,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,NA,21,11,19,22,NA,10,19,44,11,NA,1,NA,NA,NA,NA
"48","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,38,"CHA","ata","Provável",1.4,9.86,-1.32,3.13,32,"Chapecoense",2,6,NA,47,22,21,42,2,9,12,73,10,NA,NA,NA,NA,NA,NA
"49","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,38,"ATL","zag","Provável",5.9,9.08,0.69,3.09,28,"Atlético-PR",NA,8,NA,25,3,9,13,NA,4,2,48,22,9,NA,NA,NA,NA,NA
"50","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,38,"FLU","gol","Provável",1,3.8,-0.17,1.48,16,"Fluminense",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,2,NA,21,24,NA,NA
"51","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,38,"PAL","gol","Provável",3.5,14.68,0.95,4.11,33,"Palmeiras",NA,3,NA,1,NA,NA,10,NA,NA,NA,14,1,8,NA,59,42,1,NA
"52","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,38,"FLU","mei","Nulo",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,38,"CRU","mei","Provável",-4.9,5.87,-1.63,3.22,27,"Cruzeiro",1,3,1,32,7,13,57,2,3,4,85,36,NA,NA,NA,NA,NA,NA
"54","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,38,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,38,"COR","mei","Nulo",0,10.29,0,1.79,29,"Corinthians",2,3,NA,19,6,16,18,2,6,3,131,10,NA,NA,NA,NA,NA,NA
"56","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,38,"VIT","mei","Nulo",0,5.48,0,1.63,17,"Vitória",3,4,NA,20,6,10,8,1,NA,1,49,15,NA,NA,NA,NA,NA,NA
"57","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,38,"VIT","ata","Nulo",2.2,4.13,-1.2,2.22,10,"Vitória",2,NA,NA,4,1,1,4,NA,1,NA,9,3,NA,NA,NA,NA,NA,NA
"58","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,38,"PAL","mei","Suspenso",0,7.83,0,2.4,10,"Palmeiras",1,3,NA,15,2,3,13,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA
