"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FC","FS","PE","PP","RB","CA","FF","SG","DD","GS","FD","G","I","A","CV","FT","DP"
"49","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,6,"BOT","ata","Provável",9.8,8.48,2.18,3.92,5,5,6,9,NA,4,NA,5,NA,NA,NA,2,1,7,1,NA,NA,NA
"50","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2017/04/23/4fec179a98d9e087859253a2bbf830e4_FORMATO.png",38230,6,"ATL","ata","Dúvida",-0.3,7.91,-0.79,1.35,4,2,3,5,NA,NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,1,NA
"51","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,6,"ATL","lat","Provável",0,2.04,0,1.04,5,9,9,20,NA,4,3,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"52","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,6,"CHA","gol","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Luiz Guilherme da Conceição Silva","Muriqui","https://s.glbimg.com/es/sde/f/2017/04/06/321312e4d04c0676ddf6e5e30503e413_FORMATO.png",38225,6,"VAS","ata","Nulo",0,3.56,0,0.45,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,6,"FLA","mei","Provável",0,7.04,-0.14,1.5,6,10,10,12,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,6,"CHA","ata","Provável",3.5,11.55,0.43,4.63,6,7,4,9,NA,2,2,3,NA,NA,NA,4,3,2,NA,NA,1,NA
"56","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,6,"COR","mei","Provável",5.5,9.93,1.26,0.75,6,6,1,33,NA,2,NA,5,NA,NA,NA,3,1,2,NA,NA,NA,NA
"57","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,6,"BOT","lat","Nulo",2.8,9.64,0.08,4.57,6,3,12,7,NA,5,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA
"58","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,6,"ATL","gol","Provável",1.7,11.31,-1.68,5.87,6,NA,NA,6,NA,NA,1,NA,2,12,7,NA,NA,NA,NA,NA,NA,1
"59","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,6,"ATL","mei","Provável",4.8,8.81,0.51,3.4,5,1,8,13,NA,4,NA,3,NA,NA,NA,5,NA,NA,NA,NA,1,NA
"60","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2017/05/02/152a2c73a115dd6eaae434c953a9c05b_FORMATO.png",53669,6,"PON","ata","Nulo",0,4.37,0,1.55,4,7,6,12,NA,2,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA
"61","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,6,"FLU","gol","Nulo",0,3.91,0,-1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA
"62","Vinícius Pacheco dos Santos","Vinícius Pacheco","https://s.glbimg.com/es/sde/f/2017/04/28/c75c0312049c7182d2608025b1772f10_FORMATO.png",38400,6,"AVA","mei","Nulo",0,2.8,0,-0.15,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,6,"ATL","zag","Provável",1.1,7.89,-0.64,3.18,4,5,3,5,NA,5,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"64","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,6,"PON","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,6,"ATL","mei","Provável",-1.1,12.59,-0.62,2.3,5,5,4,13,NA,6,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"66","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,6,"VAS","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,6,"CRU","mei","Provável",0,5.67,-0.2,0.78,5,6,10,13,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,6,"AVA","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,6,"FLU","mei","Contundido",0,3.54,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,6,"PAL","mei","Contundido",1.5,8.67,-0.18,1.75,4,8,5,6,NA,7,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"71","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,6,"CHA","ata","Nulo",0,3.69,0,-0.32,4,2,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2017/04/22/4d3ea3f29cc1123b9be48ac36945bc29_FORMATO.png",54424,6,"CRU","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Cássio Luís Rissardo","Xuxa","https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png",55594,6,"PON","mei","Contundido",0,2.44,0,0.55,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,6,"GRE","lat","Provável",8.3,11.08,1.76,4.17,3,3,3,7,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"75","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,6,"SPO","zag","Nulo",0,5.46,0,2.67,3,7,1,6,NA,3,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"76","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,6,"BOT","lat","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,6,"GRE","mei","Contundido",0,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,6,"VIT","mei","Nulo",5.7,6.05,1.22,1.15,6,7,4,16,NA,2,NA,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA
"79","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,6,"COR","mei","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,6,"AVA","lat","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","André Luiz Tavares","Andrezinho","https://s.glbimg.com/es/sde/f/2017/04/27/6dc513717c37f2d182e388d21a117216_FORMATO.png",38768,6,"VAS","mei","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2017/04/03/902e1c13569f1c4cc9f929691cc6d625_FORMATO.png",60784,6,"ATL","mei","Provável",4.3,7.16,0.53,2.32,6,5,10,12,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,6,"PAL","mei","Nulo",-2.1,5.01,-1.07,0.44,5,1,2,21,NA,5,2,5,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"84","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,6,"ATL","zag","Provável",-0.2,4.08,-0.4,0.87,4,4,4,10,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
