"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","PP","SG","DD","GS","DP","GC"
"53","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,23,"VIT","mei","Nulo",0,5.18,0,1.8,14,"Vitória",3,2,NA,18,6,10,8,NA,NA,1,46,12,NA,NA,NA,NA,NA,NA
"54","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,23,"PAL","ata","Suspenso",1.8,7.37,-3.15,3.83,17,"Palmeiras",3,4,1,27,6,7,24,1,5,6,29,15,1,NA,NA,NA,NA,NA
"55","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,23,"ATL","mei","Nulo",0,5.67,0,1.7,5,"Atlético-MG",NA,1,NA,12,NA,NA,9,NA,NA,1,15,10,NA,NA,NA,NA,NA,NA
"56","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,23,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,23,"VIT","ata","Nulo",0,3.42,0,0.1,3,"Vitória",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
"58","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,23,"PON","tec","Provável",3.03,12.37,0.14,3.87,22,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,23,"ATL","zag","Dúvida",4.2,4.85,0.52,2.01,14,"Atlético-PR",NA,4,NA,12,2,NA,10,1,NA,NA,29,12,NA,4,NA,NA,NA,NA
"60","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,23,"CRU","mei","Provável",1.1,4.72,0.28,1.74,15,"Cruzeiro",NA,3,1,15,3,2,22,NA,NA,NA,33,23,NA,NA,NA,NA,NA,NA
"61","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,23,"GRE","lat","Dúvida",-0.5,9.84,-0.86,4.49,8,"Grêmio",NA,NA,NA,4,1,3,12,NA,NA,3,33,6,NA,6,NA,NA,NA,NA
"62","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/04/7684f4365ab5d1b7f034caf1792fe6f3_FORMATO.png",37608,23,"GRE","mei","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,23,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,23,"AVA","lat","Nulo",0,5.29,0,-0.5,2,"Avaí",NA,NA,NA,1,NA,1,2,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1
"65","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,23,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,23,"SAN","mei","Nulo",1.9,6.27,-0.16,1.62,14,"Santos",NA,NA,NA,10,1,1,15,NA,NA,NA,29,16,NA,NA,NA,NA,NA,NA
"67","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,23,"CRU","ata","Nulo",0,4.14,0,1.46,11,"Cruzeiro",NA,NA,NA,3,2,5,9,NA,1,1,22,4,NA,NA,NA,NA,NA,NA
"68","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,23,"FLA","mei","Dúvida",0,20.17,0,5.24,17,"Flamengo",2,3,NA,21,7,12,56,NA,5,7,72,24,1,NA,NA,NA,NA,NA
"69","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,23,"BOT","mei","Provável",-0.1,3.34,-1.1,0.67,10,"Botafogo",NA,3,NA,12,1,NA,9,NA,NA,NA,18,11,NA,NA,NA,NA,NA,NA
"70","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,23,"VAS","mei","Provável",2.6,12.46,-0.01,2.87,16,"Vasco",3,4,NA,18,7,10,37,NA,2,2,67,12,NA,NA,NA,NA,NA,NA
"71","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,23,"SAN","ata","Nulo",11.4,11.35,2.23,2.27,10,"Santos",NA,1,NA,14,5,10,7,1,2,5,14,2,NA,NA,NA,NA,NA,NA
"72","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,23,"FLU","lat","Nulo",0,3.07,0,1.05,7,"Fluminense",NA,2,NA,10,1,6,7,NA,NA,NA,14,4,NA,1,NA,NA,NA,NA
"73","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,23,"VAS","zag","Nulo",0,2.3,0,1.08,12,"Vasco",NA,3,NA,12,1,1,6,1,NA,2,31,13,NA,1,NA,NA,NA,NA
"74","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,23,"PON","mei","Provável",0.6,7.97,-0.59,2.57,11,"Ponte Preta",NA,2,NA,23,NA,1,13,NA,NA,1,35,28,NA,NA,NA,NA,NA,NA
"75","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,23,"COR","mei","Dúvida",0,2.88,0,0.37,7,"Coritiba",NA,2,1,8,3,NA,10,NA,NA,NA,20,8,NA,NA,NA,NA,NA,NA
"76","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,23,"PAL","lat","Provável",5.2,7.99,0.84,5.12,12,"Palmeiras",1,1,NA,12,3,NA,16,NA,NA,2,55,27,NA,5,NA,NA,NA,NA
