"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"710","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,16,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",NA,1,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"711","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,16,"COR","ata","Suspenso",0,12.46,0,3.74,10,"Coritiba",1,28,26,6,32,4,1,10,6,NA,NA,4,1,NA,NA,NA,NA,NA
"712","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,16,"SPO","tec","Provável",2.72,8.46,-1.07,5.14,13,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,16,"SAO","tec","Provável",2.61,9.25,-0.28,2.46,8,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,16,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",1,2,2,2,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,16,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",1,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,16,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,16,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,16,"GRE","gol","Provável",0.4,7.53,0.35,1.15,12,"Grêmio",1,NA,NA,NA,4,NA,NA,NA,NA,NA,6,NA,1,4,10,NA,NA,NA
"719","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2017/07/11/e970a2c4345e6e515eef8ee166c54f05_FORMATO.png",50408,16,"VAS","zag","Nulo",0,3.57,0,1.22,11,"Vasco",3,9,6,NA,22,6,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"720","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,16,"CHA","mei","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,16,"SPO","gol","Provável",0,6.68,0,4.47,13,"Sport",NA,NA,NA,NA,5,1,NA,NA,NA,NA,6,NA,NA,20,16,NA,NA,NA
"722","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,16,"PON","mei","Contundido",0,8.36,0,2.6,9,"Ponte Preta",2,20,12,1,32,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,16,"COR","gol","Provável",8,13.61,0.82,5.95,16,"Corinthians",2,NA,4,NA,6,NA,NA,NA,NA,NA,12,NA,NA,13,7,2,NA,NA
"724","Luiz Rhodolfo Dini Gaioto","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_FORMATO.png",42501,16,"FLA","zag","Contundido",0,8.7,0,4.88,4,"Flamengo",NA,4,NA,1,4,4,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"725","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,16,"CHA","ata","Nulo",-0.5,9.54,-0.12,2.17,15,"Chapecoense",3,18,15,4,28,3,NA,10,11,1,NA,3,NA,NA,NA,NA,NA,NA
