"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","I","A","FD","G","FT","PP","CV","DD","GS","DP","GC"
"40","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,15,"PON","zag","Provável",7.4,9.31,1.24,3.26,10,"Ponte Preta",2,5,5,17,19,9,4,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"41","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,15,"PAL","zag","Dúvida",0,8.45,0,3.3,7,"Palmeiras",1,10,2,10,5,6,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"42","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,15,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,15,"AVA","zag","Provável",1.3,6.62,0.18,2.45,14,"Avaí",4,9,1,14,35,11,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"44","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2015/01/15/a8e42c4983ac87ffae524122491a9824_FORMATO.jpeg",37653,15,"SAN","ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,15,"CRU","gol","Provável",4.5,12.67,0.81,3.57,15,"Cruzeiro",NA,1,NA,2,7,NA,5,NA,NA,NA,NA,NA,NA,NA,20,15,NA,NA
"46","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,15,"ATL","lat","Nulo",7.4,8.74,-0.5,3.64,12,"Atlético-PR",3,9,2,13,35,14,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"47","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,15,"COR","ata","Nulo",0,2.19,0,-1.56,8,"Coritiba",3,13,1,5,16,3,NA,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"48","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,15,"PAL","mei","Provável",0,4.09,0,0.08,6,"Palmeiras",1,3,2,5,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"49","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,15,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
