"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","I","CV","DD","GS","G","PP","DP","GC"
"427","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,27,"VAS","zag","Nulo",0,1.5,0,0,5,"Vasco",NA,2,7,NA,NA,5,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,27,"SAO","zag","Provável",4.3,9.62,0,2.48,22,"São Paulo",NA,8,15,2,7,12,1,41,32,4,1,NA,NA,NA,NA,NA,NA,NA
"429","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,27,"CRU","lat","Nulo",0,3.09,0,-0.33,4,"Cruzeiro",NA,2,7,NA,NA,4,NA,14,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"430","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,27,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Geuvânio Santos Silva","Geuvânio","https://s.glbimg.com/es/sde/f/2017/08/19/6ed768c25192e0409297a3bc10cc1eca_FORMATO.png",73896,27,"FLA","ata","Nulo",0,10.63,0,2.66,10,"Flamengo",NA,1,7,4,1,22,NA,14,13,NA,3,NA,NA,NA,NA,NA,NA,NA
"432","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,27,"VIT","zag","Nulo",0,2.39,0,1.79,11,"Vitória",NA,3,16,1,1,7,NA,17,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"433","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,27,"SAN","mei","Provável",6.9,6.04,2.33,3.21,17,"Santos",NA,2,20,NA,2,19,NA,27,34,NA,NA,NA,NA,NA,1,NA,NA,NA
"434","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,27,"COR","zag","Nulo",0,4.44,0,2.37,11,"Coritiba",NA,NA,12,2,1,1,NA,23,19,2,1,NA,NA,NA,NA,NA,NA,1
"435","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/08/22/3d68a6ab1db666a905e96248e4bcd4d9_FORMATO.jpeg",73992,27,"FLA","lat","Provável",1.4,9.43,-1.11,4.28,15,"Flamengo",3,2,22,3,3,11,NA,30,13,6,1,1,NA,NA,2,NA,NA,NA
"436","Michael Antonio Arroyo Mina","Arroyo","https://s.glbimg.com/es/sde/f/2017/07/24/c4c6af5bdd03f02c1d29ada3f5d33e39_FORMATO.png",74134,27,"GRE","ata","Provável",0.7,3.91,-0.23,0.98,5,"Grêmio",NA,1,3,4,1,2,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA
"437","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,27,"CHA","mei","Nulo",0,7.73,0,1.82,20,"Chapecoense",1,3,17,10,4,8,2,34,10,NA,1,NA,NA,NA,2,NA,NA,NA
"438","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,27,"BOT","gol","Provável",-2,19.28,0.38,5.1,20,"Botafogo",NA,2,NA,NA,NA,4,NA,18,NA,8,NA,NA,29,23,NA,NA,4,NA
"439","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,27,"VAS","mei","Nulo",0,4.94,0,2.25,8,"Vasco",2,1,6,1,1,8,NA,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"440","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,27,"CRU","mei","Nulo",-0.5,4.7,-0.2,2.41,15,"Cruzeiro",NA,NA,3,6,8,22,1,23,7,NA,3,NA,NA,NA,1,NA,NA,NA
"441","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/07/28/8fb3bca6fb3b7df0b863748403f1b763_FORMATO.png",74271,27,"BAH","ata","Provável",18.9,11.76,3.54,3.25,15,"Bahia",NA,NA,20,8,4,24,1,31,6,NA,1,NA,NA,NA,4,NA,NA,NA
"442","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/07/28/d023203cea9f86b7e0c359ac86f97d9e_FORMATO.png",73281,27,"BAH","mei","Provável",-2.4,10.75,-1.47,6.02,20,"Bahia",NA,4,40,8,21,40,NA,50,56,NA,3,1,NA,NA,4,NA,NA,NA
"443","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,27,"PON","zag","Nulo",0,5.72,0,5,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"444","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_FORMATO.jpeg",75295,27,"FLA","ata","Provável",1.2,11.65,-1.48,4.52,17,"Flamengo",2,3,58,13,20,44,NA,39,13,NA,11,NA,NA,NA,6,NA,NA,NA
"445","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,27,"PAL","mei","Nulo",0,13.03,0,4.91,16,"Palmeiras",3,3,24,8,9,28,NA,58,19,NA,3,NA,NA,NA,5,NA,NA,NA
"446","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,27,"ATL","mei","Provável",-3,5,-0.29,1.77,25,"Atlético-GO",1,2,40,3,8,53,NA,84,26,NA,4,1,NA,NA,2,NA,NA,NA
"447","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,27,"AVA","lat","Provável",0.6,8.55,-0.72,3.44,26,"Avaí",3,1,39,5,9,24,NA,112,37,10,3,1,NA,NA,NA,NA,NA,NA
"448","Rodrigo da Rosa Milanez","Rodrigo Milanez","https://s.glbimg.com/es/sde/f/2017/08/22/68eb2d451977c45881e0bf3f6820894c_FORMATO.png",77555,27,"ATL","zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/08/30/e9a35f97b25633d955a04d16691d85de_FORMATO.png",77967,27,"SPO","lat","Provável",3.2,5.99,0.63,4.51,15,"Sport",4,5,28,1,2,13,NA,37,31,4,4,1,NA,NA,1,NA,NA,NA
"450","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,27,"SPO","mei","Nulo",0,6.42,0,2.66,9,"Sport",NA,1,10,2,2,16,NA,11,9,NA,1,NA,NA,NA,1,NA,NA,NA
"451","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,27,"SAN","zag","Contundido",0,6,0,5.7,2,"Santos",NA,NA,4,2,1,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"452","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,27,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,27,"SAN","ata","Provável",2.7,6.88,0.32,2.97,21,"Santos",1,3,27,9,16,27,NA,67,16,NA,8,NA,NA,NA,5,NA,NA,NA
"454","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,27,"CHA","zag","Provável",-3.6,5.28,-0.55,0.75,16,"Chapecoense",NA,7,38,NA,1,3,NA,25,14,4,3,NA,NA,NA,1,NA,NA,NA
"455","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,27,"VAS","lat","Provável",-1.7,3.09,-1.09,2.05,10,"Vasco",1,2,8,NA,2,14,NA,26,5,3,1,NA,NA,NA,NA,NA,NA,NA
"456","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,27,"ATL","gol","Provável",11.7,3.59,0.9,5.48,6,"Atlético-GO",NA,1,NA,NA,NA,1,NA,2,NA,2,NA,NA,10,6,NA,NA,1,NA
"457","Yuri Lima Lara","Yuri","https://s.glbimg.com/es/sde/f/2017/07/28/9faecc1eba5c2827c12fafed4ec43a87_FORMATO.png",83263,27,"BAH","mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_FORMATO.jpeg",78478,27,"FLA","mei","Provável",3.4,9.54,0.13,3.71,20,"Flamengo",2,1,19,3,4,15,1,50,39,NA,1,NA,NA,NA,1,NA,NA,NA
"459","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_FORMATO.jpeg",78445,27,"FLA","lat","Nulo",0,6.71,0,3.94,12,"Flamengo",NA,1,17,1,2,11,NA,37,27,3,NA,NA,NA,NA,NA,NA,NA,NA
"460","Gabriel Girotto Franco","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/19/a258f3bd57275dfde4062d53fea35126_FORMATO.png",78605,27,"COR","mei","Suspenso",0,8.79,0,3.04,23,"Corinthians",NA,4,29,4,1,22,NA,49,52,NA,NA,1,NA,NA,1,NA,NA,NA
"461","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,27,"ATL","ata","Dúvida",0.8,4.07,-0.03,2.3,13,"Atlético-PR",1,NA,6,8,11,7,NA,20,6,NA,7,NA,NA,NA,1,NA,NA,NA
"462","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2017/04/25/f36c749de572dbbaf8a43b8b71309942_FORMATO.png",78584,27,"AVA","gol","Provável",-4,8.92,-0.65,8.32,18,"Avaí",NA,2,1,NA,NA,5,NA,1,NA,9,NA,NA,46,19,NA,NA,1,NA
"463","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,27,"BOT","lat","Provável",4.8,9.57,1.19,4.53,19,"Botafogo",1,3,27,2,NA,29,NA,50,38,7,1,NA,NA,NA,NA,NA,NA,NA
"464","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,27,"SAN","mei","Nulo",0,5.19,0,3.15,21,"Santos",2,2,12,5,9,24,NA,62,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2016/06/28/e51699e690f5560939a50fdbb0077328_FORMATO.jpeg",78839,27,"SAN","gol","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png",81898,27,"CHA","ata","Contundido",0,2.99,0,1.23,7,"Chapecoense",1,2,5,NA,4,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"467","Reinaldo Manoel da Silva","Reinaldo","https://s.glbimg.com/es/sde/f/2017/04/25/e786acca731a4a88d0504f8b3802f4d8_FORMATO.png",78850,27,"CHA","lat","Provável",6.6,13.49,-0.5,4.98,22,"Chapecoense",3,6,28,5,8,18,NA,101,41,6,1,NA,NA,NA,4,NA,NA,NA
"468","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_FORMATO.png",78715,27,"GRE","mei","Nulo",0,15.77,0,3.55,19,"Grêmio",3,4,38,11,12,30,NA,76,22,NA,3,NA,NA,NA,4,NA,NA,NA
"469","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/07/26/76e3ac62bea2e73cc7ef41c4584caa71_FORMATO.png",78891,27,"SAO","mei","Dúvida",7.4,11.86,-0.2,4.6,17,"São Paulo",1,2,30,NA,2,37,NA,45,46,NA,1,NA,NA,NA,1,NA,NA,NA
"470","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,27,"PAL","mei","Provável",-0.1,5.84,-1.14,3.09,18,"Palmeiras",NA,4,44,NA,3,28,NA,27,46,NA,1,NA,NA,NA,NA,NA,NA,NA
"471","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,27,"PON","mei","Nulo",7.1,8,2.15,3.04,16,"Ponte Preta",NA,5,27,1,4,11,NA,33,37,NA,2,1,NA,NA,2,NA,NA,NA
"472","Marcos Antônio Almeida Silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2017/04/27/1fdbc57e3b15e752149d530d7425e5d3_FORMATO.png",78856,27,"ATL","mei","Nulo",0,7.5,0,3.28,16,"Atlético-GO",NA,5,27,NA,4,11,NA,29,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2017/04/22/b5d1b28ec393ae2be2fba2b5dffe9ce9_FORMATO.png",81845,27,"CRU","mei","Nulo",2,13.36,-0.17,4.56,19,"Cruzeiro",5,NA,23,9,11,36,3,53,22,NA,3,NA,NA,NA,1,NA,NA,NA
"474","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,27,"SPO","ata","Nulo",0,5.86,0,2.3,2,"Sport",NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Pedro Henrique de Castro Silva","Pedro Castro","https://s.glbimg.com/es/sde/f/2017/06/09/95ff53b7b15a7d6719bae7807804fc39_FORMATO.png",78840,27,"AVA","mei","Provável",3.4,3.26,0.4,1.71,22,"Avaí",1,2,24,4,11,32,NA,54,18,NA,3,NA,NA,NA,1,NA,NA,NA
"476","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,27,"CHA","mei","Suspenso",-0.3,3.3,-0.17,1.49,13,"Chapecoense",NA,6,28,NA,2,17,NA,29,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Eduardo Henrique da Silva","Eduardo Henrique","https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png",78994,27,"ATL","mei","Nulo",0.4,3.22,-0.75,3.05,11,"Atlético-PR",NA,1,20,3,1,11,NA,23,16,NA,NA,NA,NA,NA,2,NA,NA,NA
"478","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/05/02/3b3fe001039a93d9ea75e58f817381cf_FORMATO.png",79035,27,"SAN","zag","Nulo",0,3.62,0,2.05,2,"Santos",NA,1,1,NA,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"479","William Augusto Alves Conserva","William Alves","https://s.glbimg.com/es/sde/f/2017/08/08/eb4348a74110c5ac475fc0be6f1b2cd3_FORMATO.png",79032,27,"ATL","zag","Provável",-1.5,2.04,-1.68,1.17,8,"Atlético-GO",NA,NA,8,NA,1,2,NA,12,4,3,1,NA,NA,NA,NA,NA,NA,1
"480","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2017/04/24/3fb41a018fb2c9084cb4800fba9b6607_FORMATO.png",79066,27,"FLA","gol","Nulo",0,5.11,0,3.58,6,"Flamengo",NA,NA,1,NA,NA,3,NA,5,NA,3,NA,NA,5,4,NA,NA,NA,NA
"481","Ricardo César Dantas da Silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png",79334,27,"ATL","zag","Nulo",0,2.94,0,0.28,4,"Atlético-GO",NA,1,8,NA,2,1,NA,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2017/06/22/e7d5b223d7908854c81e04f0e7e0fcc0_FORMATO.png",79578,27,"CRU","ata","Contundido",0,7.43,0,3.75,15,"Cruzeiro",NA,2,32,4,6,25,NA,10,12,NA,13,NA,NA,NA,6,1,NA,NA
"483","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2017/07/28/9fb65a9e8f5831d924c08c76337f8967_FORMATO.png",79042,27,"BAH","zag","Provável",0,9.48,0,2.51,24,"Bahia",NA,6,33,3,2,27,1,43,16,8,6,NA,NA,NA,2,NA,NA,NA
"484","Antonio Thomaz Santos de Barros","Thomaz","https://s.glbimg.com/es/sde/f/2017/04/28/df8a959dc2f3885176d2c02e5d69a246_FORMATO.png",79041,27,"SAO","mei","Nulo",0,4.83,0,2.77,9,"São Paulo",1,1,10,1,3,7,NA,5,9,NA,3,NA,NA,NA,1,NA,NA,NA
"485","Joeliton Lima Santos","Mansur","https://s.glbimg.com/es/sde/f/2016/07/05/885bc2c7afe242e7ce810bccdccd27cc_FORMATO.png",79553,27,"ATL","lat","Nulo",0,5,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Lucas Silva Borges","Lucas Silva","https://s.glbimg.com/es/sde/f/2017/04/06/f4598cc08e1804689d22d338ac6f7d9b_FORMATO.png",79701,27,"CRU","mei","Nulo",0,4.81,0,1.34,15,"Cruzeiro",2,3,23,1,4,12,NA,35,20,NA,1,1,NA,NA,NA,NA,NA,NA
"487","Antônio Carlos Cunha Capocasali Júnior","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,27,"PAL","zag","Nulo",0,3.05,0,0.92,4,"Palmeiras",NA,1,2,1,1,4,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,27,"CRU","lat","Nulo",0,4.49,0,2.22,5,"Cruzeiro",NA,1,5,1,1,5,1,13,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"489","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2017/04/25/cf7dd5cb7c3b2349fc0a5145f894f495_FORMATO.png",79892,27,"CHA","mei","Nulo",0,2.45,0,1.37,7,"Chapecoense",NA,NA,2,2,1,4,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Brenner Marlos Varanda de Oliveira","Brenner","https://s.glbimg.com/es/sde/f/2017/07/21/eba301f5c887ff5cf7a3f94b5f6eb918_FORMATO.png",80080,27,"BOT","ata","Provável",11.6,8.14,0.22,5.2,8,"Botafogo",1,NA,10,1,3,9,NA,6,4,NA,6,NA,NA,NA,4,NA,NA,NA
"491","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2017/04/18/ccce9b9aad578e5dc82e1d75b816fa25_FORMATO.png",79887,27,"PAL","lat","Nulo",0,4.32,0,1.14,5,"Palmeiras",NA,NA,3,1,2,1,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"492","Matheus Mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2017/05/19/5bca9708b9e4c88d08f62e3935fe8cb4_FORMATO.png",80124,27,"ATL","zag","Nulo",0,1.6,0,0.16,5,"Atlético-MG",NA,2,10,NA,2,2,NA,9,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"493","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2017/05/02/e17a729351ce9e086c7f6fdaf907c355_FORMATO.png",80129,27,"PON","mei","Nulo",2.2,4.39,0.08,1.62,16,"Ponte Preta",NA,2,17,1,3,17,NA,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,27,"COR","gol","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Lucas Fonseca da Silva","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2017/07/28/2ee15f7fbeefac55e5b773d1cd8ffa0a_FORMATO.png",80189,27,"BAH","zag","Provável",1.2,5.64,-0.31,2.88,21,"Bahia",1,3,11,2,1,24,NA,40,20,7,NA,1,NA,NA,NA,NA,NA,NA
"496","Glaybson Yago Souza Lisboa","Yago Pikachu","https://s.glbimg.com/es/sde/f/2017/04/24/3021726139e41d1a3fe9ada22058c738_FORMATO.png",80196,27,"VAS","lat","Nulo",-1,8.91,-1.06,4.19,16,"Vasco",2,NA,13,6,4,19,NA,34,12,4,2,NA,NA,NA,2,NA,NA,NA
"497","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,27,"CHA","mei","Nulo",0,0.76,0,-0.07,3,"Chapecoense",NA,NA,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2017/07/25/0ff5aea8f677cff80e0a7a93745453e5_FORMATO.png",80188,27,"FLU","ata","Provável",-2.1,2.15,-0.48,0.48,13,"Fluminense",NA,4,5,2,2,10,NA,11,3,NA,3,NA,NA,NA,1,NA,NA,NA
"499","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2017/04/23/91e18bf15401259ce1466dbccb56d6ae_FORMATO.png",80281,27,"ATL","zag","Nulo",0,2.69,0,-1.2,1,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png",80337,27,"CHA","ata","Nulo",0,11.18,0,4.88,24,"Chapecoense",5,4,40,15,19,54,1,54,24,NA,6,NA,NA,NA,5,NA,NA,NA
"501","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png",80363,27,"CRU","mei","Contundido",0,5.29,0,1.69,13,"Cruzeiro",NA,4,16,NA,8,23,NA,55,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,27,"CRU","lat","Nulo",7.5,6.6,1.12,2.67,15,"Cruzeiro",1,4,22,1,3,13,NA,31,17,5,NA,NA,NA,NA,NA,NA,NA,NA
"503","Lucas Rafael Araujo Lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2017/05/02/acb1d4777b6e76d3ca67054da81d0c42_FORMATO.png",80583,27,"SAN","mei","Provável",0,3.84,-0.75,1.82,17,"Santos",3,10,30,7,6,44,NA,87,21,NA,NA,NA,NA,NA,1,NA,NA,NA
"504","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/07/28/848d6125a9c369432280eafad030d57a_FORMATO.png",80370,27,"BAH","mei","Provável",0,13.16,0,4.51,14,"Bahia",1,3,24,3,10,16,NA,22,37,NA,2,1,NA,NA,1,NA,NA,NA
"505","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,27,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2017/05/04/c43b96f2a0e0c8a8006defaedc1db2ee_FORMATO.png",80537,27,"FLU","ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Johnath Marlone Azevedo da Silva","Marlone","https://s.glbimg.com/es/sde/f/2017/04/25/744a27f04385f2906d5982a7dad3445b_FORMATO.png",80944,27,"ATL","mei","Nulo",0,5.48,0,0.92,12,"Atlético-MG",NA,2,9,3,4,8,NA,37,4,NA,4,NA,NA,NA,2,NA,NA,NA
"508","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,27,"PAL","zag","Nulo",0,5.63,0,2.52,14,"Palmeiras",NA,3,18,1,5,12,NA,14,17,4,NA,1,NA,NA,NA,NA,NA,NA
