"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","CV","PP","DD","GS","FT","DP"
"686","Sidcley Ferreira Pereira","Sidcley","https://s.glbimg.com/es/sde/f/2017/04/23/eff5699ee67d7b1a4f3c4cf923789370_FORMATO.png",86764,8,"ATL","lat","Provável",16.6,14.04,1.19,6.53,7,"Atlético-PR",1,NA,7,NA,2,14,23,11,2,4,2,NA,NA,NA,NA,NA,NA
"687","Bruno da Mota Miranda","Bruno Mota","https://s.glbimg.com/es/sde/f/2015/10/26/aa67c9f3b49a92291155fe8fce73e5a6_FORMATO.png",86765,8,"ATL","mei","Nulo",0,3.4,0,1.8,1,"Atlético-PR",NA,NA,1,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Jean Paulo Fernandes Filho","Jean","https://s.glbimg.com/es/sde/f/2017/02/21/b7de298b3e5349e8acf3d31f1b831ffd_FORMATO.png",90933,8,"BAH","gol","Provável",-5,10.02,-2.5,4.8,8,"Bahia",NA,NA,NA,NA,NA,1,7,NA,3,NA,NA,NA,NA,15,10,NA,NA
"689","Wallace Ribeiro Barato","Wallace","https://s.glbimg.com/es/sde/f/2017/02/20/aa36264462b556b6c72220d5db2ba3f1_FORMATO.png",90892,8,"VIT","gol","Nulo",0,1,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Henrique Gelain Custódio","Henrique Gelain","https://s.glbimg.com/es/sde/f/2017/04/24/048b1eb6ff970a66fa5eb5087290c03b_FORMATO.png",86783,8,"COR","lat","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Jordi Almeida","Jordi","https://s.glbimg.com/es/sde/f/2017/04/17/8a166ba697085a60b3f3b7d74a9c6114_FORMATO.png",86776,8,"VAS","gol","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_FORMATO.png",86797,8,"CRU","ata","Contundido",0,0.73,0,-0.75,2,"Cruzeiro",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Evandro Lima de Oliveira Filho","Evandro","https://s.glbimg.com/es/sde/f/2017/05/01/44325047a16fc8c2d5d2dbee3907eb6a_FORMATO.png",91001,8,"SPO","lat","Nulo",0,0.76,0,-0.33,3,"Sport",NA,NA,9,1,NA,2,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,8,"ATL","mei","Nulo",2.6,5.14,0.15,2.28,7,"Atlético-PR",1,NA,4,2,NA,6,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Alison Vicente da Silva","Alison","https://s.glbimg.com/es/sde/f/2017/02/14/cd74f75d4225633af1942d07603f11cf_FORMATO.png",91003,8,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Ramón Darío Ábila","Ábila","https://s.glbimg.com/es/sde/f/2016/07/06/ca240a78354b4b67a6388a15bdedc4f5_FORMATO.png",91094,8,"CRU","ata","Nulo",-0.3,13.2,-0.3,4.16,8,"Cruzeiro",1,1,3,4,3,9,9,2,NA,7,3,NA,NA,NA,NA,NA,NA
"697","Luís Vinícius da Silva Matos","Vinicius","https://s.glbimg.com/es/sde/f/2017/02/20/d2acf5df4ac30ffcbc7bd264583d6467_FORMATO.png",86861,8,"VIT","zag","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Thiago Rodrigues da Silva","Thiago","https://s.glbimg.com/es/sde/f/2017/04/24/cbff6dc155e200c1acd0f26dfbad6fae_FORMATO.png",91194,8,"FLA","gol","Provável",-1,3.12,-1.8,3.57,3,"Flamengo",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,3,NA,NA
"699","José Welison da Silva","José Welison","https://s.glbimg.com/es/sde/f/2017/04/24/842ad25f4c670bababfa051fb5fb8ca6_FORMATO.png",86859,8,"VIT","mei","Contundido",0,4,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Edson Carlos Santos Lima Junior","Capa","https://s.glbimg.com/es/sde/f/2017/04/28/4a0d17271060eaf419c78016735076ee_FORMATO.png",86874,8,"AVA","lat","Provável",3.9,11.05,0.38,4.54,8,"Avaí",1,1,7,1,4,21,44,16,2,3,NA,NA,NA,NA,NA,NA,NA
"701","Warleson Stellion Lisboa Oliveira","Warleson","https://s.glbimg.com/es/sde/f/2017/04/23/d3b26dce5bc760f7a52d0556eb36b781_FORMATO.png",91204,8,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Ronaldo de Oliveira Strada","Ronaldo","https://s.glbimg.com/es/sde/f/2017/02/20/e49415180708c87913cabd48be5dd49f_FORMATO.png",91101,8,"VIT","gol","Nulo",0,1,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Luiz Otávio da Silva Santos","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2017/04/25/239f4dc20386b0bc2988aa004f7c02b7_FORMATO.png",86863,8,"CHA","zag","Provável",0.9,6,-0.63,2.36,7,"Chapecoense",1,2,7,2,3,NA,18,9,2,NA,NA,1,NA,NA,NA,NA,NA
"704","Éder Ferreira Graminho","Éder ","https://s.glbimg.com/es/sde/f/2017/02/21/48c32809ca3ee7e6b3855d62cd01af0e_FORMATO.png",91203,8,"BAH","zag","Nulo",0,2.95,0,3.4,1,"Bahia",NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Gustavo Henrique da Silva Sousa","Gustavo","https://s.glbimg.com/es/sde/f/2017/02/21/e7a9a7d9b378f749dc3094f28a2465bc_FORMATO.png",86932,8,"BAH","ata","Nulo",0,7.46,0,3.15,4,"Bahia",NA,1,2,1,4,3,2,2,NA,1,1,NA,NA,NA,NA,NA,NA
"706","Jesiel Cardoso Miranda","Jesiel","https://s.glbimg.com/es/sde/f/2017/04/03/b00e4e82879a8aa6d2193c3ed0abd49b_FORMATO.png",91156,8,"ATL","zag","Contundido",0,3,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","Lucas da Silva Izidoro","Lucas Mineiro","https://s.glbimg.com/es/sde/f/2017/04/24/a585ecd4b08d42c62414a32c9103edc3_FORMATO.png",90634,8,"CHA","mei","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Eduardo Gabriel Aquino Cossa","Pepê","https://s.glbimg.com/es/sde/f/2017/06/07/bd6f96fc4d6fbe29bd108c344db1e415_FORMATO.jpeg",91201,8,"GRE","ata","Nulo",0,0.97,0,0.5,1,"Grêmio",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Matheus Gonçalves Savio","Matheus Savio","https://s.glbimg.com/es/sde/f/2017/04/24/60ce53a00324836c87cea5fb79984381_FORMATO.png",91264,8,"FLA","mei","Nulo",0,12.53,0,5.43,3,"Flamengo",NA,NA,1,1,1,NA,3,5,NA,1,1,NA,NA,NA,NA,NA,NA
"710","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2017/04/24/6d1258d426eef6b245dc52182b65814b_FORMATO.png",88417,8,"COR","ata","Nulo",-0.3,4.68,-0.2,-0.1,4,"Coritiba",NA,NA,2,NA,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"711","Lucas Estella Perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2016/05/01/33edb005bdd244f616d094e71ba6c3a8_FORMATO.png",91260,8,"SAO","gol","Nulo",0,2,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","João Vitor Pereira de Alcantara","João Vitor ","https://s.glbimg.com/es/sde/f/2017/04/27/5e240c8d3c51257cd78fe820f6453aa5_FORMATO.png",88539,8,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,8,"AVA","zag","Nulo",1,1,0,1,1,"Avaí",NA,NA,3,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2017/05/02/8546a4c5536f1d3e6ebc74e89daef4c3_FORMATO.png",88136,8,"PON","gol","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2017/05/02/700b428f14849c2f8f5eb9286d7adf03_FORMATO.png",88225,8,"SAN","lat","Nulo",0,3,0,2.8,1,"Santos",NA,NA,5,NA,NA,1,1,3,1,NA,NA,1,NA,NA,NA,NA,NA
"716","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2017/04/23/f49ad5df5316c41a536cbc083724ee17_FORMATO.png",89190,8,"CRU","ata","Nulo",0,4,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Jean Patrick Reis","Jean Patrick","https://s.glbimg.com/es/sde/f/2015/10/28/2a1cbbe058d88fb692c6c254961fc1eb_FORMATO.png",88379,8,"PON","lat","Nulo",0,3,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Maurício Andreazzi Pereira","Andreazzi","https://s.glbimg.com/es/sde/f/2017/04/24/2e3edae4ff2b6836e1ea7f55380193fa_FORMATO.png",89253,8,"BOT","mei","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","Otacilio Brito Alves","Cafu","https://s.glbimg.com/es/sde/f/2017/04/24/f5a23020022200b39bcd392e508e0f33_FORMATO.png",88070,8,"FLA","mei","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Ángel Rodrigo Romero Villamayor","Ángel Romero","https://s.glbimg.com/es/sde/f/2017/04/19/bb57c60e890655dd351f891eb27fdb2c_FORMATO.png",88323,8,"COR","ata","Provável",-3,11.26,-0.86,5.08,7,"Corinthians",NA,1,8,3,NA,25,21,12,NA,8,2,NA,NA,NA,NA,NA,NA
"721","Bruno Bispo dos Anjos","Bruno Bispo","https://s.glbimg.com/es/sde/f/2017/05/28/af8ee442a870d4c045d8eebdb02ccf1a_FORMATO.png",91359,8,"VIT","zag","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","João Pedro Maturano dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2017/04/24/c6945a1446c818fed3c475afef47a6a8_FORMATO.png",89273,8,"CHA","lat","Contundido",0,5.87,0,2.3,1,"Chapecoense",NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
